Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
32601,812,3,230,0,3
32601,813,30,1,0,3
32601,813,13,210,0,3
32601,813,9,220,0,3
32601,813,5,230,0,3
32601,813,3,241,0,3
32601,236,7,1,0,3
32601,236,4,210,0,3
32601,238,20,1,0,3
32601,238,10,210,0,3
32601,238,3,220,0,3
32601,238,3,230,0,3
32601,312,3,1,0,3
32601,339,4,1,0,3
32601,423,10,1,0,3
32601,423,4,210,0,3
32601,423,3,230,0,3
32601,424,9,1,0,3
32601,424,5,210,0,3
32601,441,8,1,0,3
32601,441,3,210,0,3
32601,441,4,230,0,3
32601,442,6,1,0,3
32601,442,3,210,0,3
32601,443,4,1,0,3
32601,444,6,1,0,3
32601,444,3,210,0,3
32601,445,7,210,0,3
32601,445,15,1,0,3
32601,445,3,230,0,3
32601,446,7,1,0,3
32601,446,3,241,0,3
32601,447,14,1,0,3
32601,447,8,210,0,3
32601,447,3,220,0,3
32601,447,3,230,0,3
32601,448,7,1,0,3
32601,448,4,220,0,3
32601,451,3,1,0,3
32601,452,3,1,0,3
32601,453,19,1,0,3
32601,453,12,210,0,3
32601,453,6,220,0,3
32601,454,7,1,0,3
32601,454,3,210,0,3
32601,454,3,220,0,3
32601,484,4,1,0,3
32601,484,3,210,0,3
32601,511,9,1,0,3
32601,511,4,210,0,3
32601,517,9,1,0,3
32601,517,6,210,0,3
32601,519,3,1,0,3
32601,522,4,210,0,3
32601,522,10,1,0,3
32601,522,3,220,0,3
32601,524,14,1,0,3
32601,524,10,210,0,3
32601,531,44,1,0,3
32601,531,28,210,0,3
32601,531,7,220,0,3
32601,531,5,230,0,3
32601,531,4,241,0,3
32601,532,5,1,0,3
32601,532,3,220,0,3
32601,541,135,1,0,3
32601,541,86,210,0,3
32601,541,21,220,0,3
32601,541,17,230,0,3
32601,541,9,241,0,3
32601,551,3,1,0,3
32601,561,33,1,0,3
32601,561,18,210,0,3
32601,561,7,220,0,3
32601,561,3,242,0,3
32601,611,9,1,0,3
32601,621,56,1,0,3
32601,621,32,210,0,3
32601,621,12,220,0,3
32601,621,6,230,0,3
32601,621,4,241,0,3
32601,623,5,1,0,3
32601,624,23,1,0,3
32601,624,5,210,0,3
32601,624,6,220,0,3
32601,624,6,230,0,3
32601,624,5,241,0,3
32601,711,4,1,0,3
32601,711,3,210,0,3
32601,713,6,1,0,3
32601,713,3,210,0,3
32601,721,22,1,0,3
32601,721,6,210,0,3
32601,721,5,220,0,3
32601,721,8,230,0,3
32601,721,3,241,0,3
32601,722,97,1,0,3
32601,722,29,241,0,3
32601,722,21,210,0,3
32601,722,15,220,0,3
32601,722,24,230,0,3
32601,722,7,242,0,3
32601,811,19,1,0,3
32601,811,12,210,0,3
32601,811,7,220,0,3
32601,812,31,1,0,3
32601,812,18,210,0,3
32601,812,9,220,0,3
