	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
0	47	999	Statewide	11	Fishing	47	1141	3.0	1.25
38	47	999	Statewide	31	Leather and hide tanning and finishing	47	3161	5.0	2.5555555555555554
105	47	999	Statewide	33	Railroad rolling stock manufacturing	47	3365	7.0	3.6666666666666665
160	47	999	Statewide	48	Deep sea, coastal, and great lakes water transportation	47	4831	10.0	4.222222222222222
169	47	999	Statewide	48	Pipeline transportation of crude oil	47	4861	8.333333333333334	4.555555555555555
203	47	999	Statewide	52	Monetary authorities - central bank	47	5211	4.0	2.0
208	47	999	Statewide	52	Securities and commodity exchanges	47	5232	1.0	1.0
