fips,state,name,kilometers,lat,lon
54,WV,West Virginia,62266.23,38.6472854,-80.6183274
12,FL,Florida,138947.36,28.4574302,-82.4091477
17,IL,Illinois,143779.86,40.1028754,-89.1526108
27,MN,Minnesota,206230.07,46.3159573,-94.1996043
24,MD,Maryland,25151.73,38.9466584,-76.6744939
44,RI,Rhode Island,2677.79,41.5974187,-71.5272723
16,ID,Idaho,214049.9,44.3484222,-114.5588538
33,NH,New Hampshire,23189.2,43.6726907,-71.5843145
37,NC,North Carolina,125925.93,35.53971,-79.1308636
50,VT,Vermont,23874.2,44.0685773,-72.6691839
09,CT,Connecticut,12542.5,41.5798637,-72.7466572
10,DE,Delaware,5046.62,38.9985661,-75.441644
35,NM,New Mexico,314197.25,34.4346843,-106.1316181
06,CA,California,403660.09,37.1551773,-119.5434183
34,NJ,New Jersey,19048.85,40.1072744,-74.6652012
55,WI,Wisconsin,140293.02,44.6309071,-89.7093916
41,OR,Oregon,248607.78,43.9717125,-120.6229578
31,NE,Nebraska,198953.8,41.5433053,-99.8118646
42,PA,Pennsylvania,115880.46,40.9046013,-77.8275298
53,WA,Washington,172117.95,47.4073238,-120.5757999
22,LA,Louisiana,111899.11,30.8634368,-91.7987173
13,GA,Georgia,149484.6,32.6295789,-83.4235109
01,AL,Alabama,131174.19,32.7396323,-86.8434593
49,UT,Utah,213355.14,39.3349925,-111.6563326
39,OH,Ohio,105823.7,40.4149297,-82.7119975
48,TX,Texas,676668.21,31.4347032,-99.2818238
08,CO,Colorado,268419.88,38.9938482,-105.5083165
45,SC,South Carolina,77864.66,33.8741776,-80.8542639
40,OK,Oklahoma,177662.68,35.5900512,-97.4868149
47,TN,Tennessee,106805.84,35.860803,-86.3499896
56,WY,Wyoming,251458.58,42.9896591,-107.5443922
15,HI,Hawaii,16634.01,19.5977643,-155.5024434
38,ND,North Dakota,178695.64,47.442174,-100.4608258
21,KY,Kentucky,102282.22,37.5336844,-85.2929801
78,VI,United States Virgin Islands,348.02,18.326748,-64.971250800000007
69,MP,Commonwealth of the Northern Mariana Islands,472.29,14.9367835,145.601021
66,GU,Guam,543.56,13.4417451,144.7719021
23,ME,Maine,79887.66,45.4092843,-68.666616
36,NY,New York,122050,42.9133974,-75.5962723
32,NV,Nevada,284537.05,39.3310928,-116.6151469
02,AK,Alaska,1478927.05,63.347356,-152.8397334
60,AS,American Samoa,197.76,-14.267159,-170.6682674
26,MI,Michigan,146608.69,44.8441768,-85.6604907
05,AR,Arkansas,134776.58,34.8955256,-92.4446262
28,MS,Mississippi,121536.58,32.6864714,-89.6561377
29,MO,Missouri,178049.91,38.35075,-92.4567826
30,MT,Montana,376966.83,47.0511771,-109.6348174
20,KS,Kansas,211753.47,38.4985464,-98.3834298
18,IN,Indiana,92790.05,39.9013136,-86.2919129
72,PR,Puerto Rico,8868.7,18.217648,-66.4107992
46,SD,South Dakota,196346.2,44.4467957,-100.2381762
25,MA,Massachusetts,20204.39,42.1565196,-71.4895915
51,VA,Virginia,102258.31,37.5222512,-78.6681938
11,DC,District of Columbia,158.34,38.9042474,-77.0165167
19,IA,Iowa,144660.47,42.0700243,-93.4933473
04,AZ,Arizona,294360.28,34.2039355,-111.6063565
