Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,197677,61783,706005,9759728,12994893,6581655,17098045,2628932,16322686,8307729,7954417,4036924,27783729,2054909,7138277,4480222,6859
2018,196011,125646,2067085,10593808,13082048,6957349,17898184,2768031,16950825,9729665,8241584,4254846,29105164,2135616,7515130,4798901,10715
2019,203703,153620,2128787,11610629,13438885,7777469,18998606,2991619,18409655,9844931,8647449,4507280,30694157,2215988,7984915,5046123,10131
2020,205988,160061,2146352,12176997,13809999,8295450,20899394,3099268,18791196,9318400,8684681,4601616,31947830,1928865,6929628,4983431,12434
2021,211143,178826,2150162,13286375,14573488,9297836,22590180,3457075,21126044,10275168,9602683,4801139,34932838,2228522,8298392,5338780,9176
