Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,807,130,819,23149,11555,3820,13473,12344,24659,1951,13064,2915,24094,3864,21454,24158,183
2018,810,120,583,23777,11320,3915,13310,12831,24874,1903,13110,2966,24448,3967,21756,24260,278
2019,793,122,586,24717,11153,3934,13325,13293,25072,1817,13454,3076,24764,4059,22251,24489,262
2020,779,125,585,25407,11046,4005,13399,13879,25553,1764,13761,3141,25161,4077,22226,24642,312
2021,774,139,594,26505,11096,4003,13305,14729,26522,1710,14375,3235,25849,4224,22625,25159,227
