	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
8	22	999	Statewide	21	Coal mining	22	2121	3.8	3.2
9	22	999	Statewide	21	Metal ore mining	22	2122	1.0	1.0
34	22	999	Statewide	31	Fiber, yarn, and thread mills	22	3131	2.0	1.2
37	22	999	Statewide	31	Leather and hide tanning and finishing	22	3161	3.0	1.6
39	22	999	Statewide	31	Other leather and allied product manufacturing	22	3169	5.0	3.8
45	22	999	Statewide	31	Tobacco manufacturing	22	3122	1.0	1.0
71	22	999	Statewide	33	Audio and video equipment manufacturing	22	3343	4.5	3.0
85	22	999	Statewide	33	Household appliance manufacturing	22	3352	2.0	1.5
89	22	999	Statewide	33	Manufacturing and reproducing magnetic and optical media	22	3346	2.0	1.25
93	22	999	Statewide	33	Motor vehicle manufacturing	22	3361	4.0	2.0
96	22	999	Statewide	33	Nonferrous metal (except aluminum) production and processing	22	3314	2.0	1.2
100	22	999	Statewide	33	Other furniture related product manufacturing	22	3379	1.0	1.0
104	22	999	Statewide	33	Railroad rolling stock manufacturing	22	3365	3.0	2.2
169	22	999	Statewide	48	Scenic and sightseeing transportation, other	22	4879	1.0	1.0
179	22	999	Statewide	48	Urban transit systems	22	4851	9.0	7.8
199	22	999	Statewide	52	Monetary authorities - central bank	22	5211	1.0	1.0
