Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,2250,3870,8585,121893,129187,61705,153836,38532,148090,122831,120863,69610,466357,49487,242594,116583,85
2018,2591,4545,12225,125188,128729,62790,160427,38084,182230,131920,125407,76315,475912,50486,245848,117839,125
2019,2420,4731,12210,128202,133342,59996,158920,38418,179587,127974,119858,73427,476254,50599,246153,117656,76
2020,2406,4890,12581,133848,131731,58265,159124,38088,180546,131047,113007,71737,476530,50811,244449,117351,189
2021,2538,4398,11829,131673,124941,56270,155297,37359,178043,146081,106696,66655,460766,35627,199229,106956,126
