State,Naics,Establishments,Employees,Payroll
AL,1131,58,278,16012
AL,1132,7,44,3193
AL,1133,507,3752,169954
AL,1141,15,18,677
AL,1142,10,104,4219
AL,1151,41,1074,45193
AL,1152,45,326,9361
AL,1153,113,816,38590
AL,2111,22,265,33570
AL,2121,22,2814,265115
AL,2123,91,1760,114699
AL,2131,67,1221,76797
AL,2211,256,14037,1567568
AL,2212,26,1198,104239
AL,2213,73,757,31972
AL,2361,1477,6626,365793
AL,2362,678,14124,992694
AL,2371,265,7710,397090
AL,2372,84,292,15012
AL,2373,172,4894,249022
AL,2379,85,1512,79392
AL,2381,894,9271,489398
AL,2382,2411,30483,1573435
AL,2383,921,6888,318135
AL,2389,805,9657,514663
AL,3111,32,1260,69795
AL,3112,12,973,60799
AL,3113,11,175,13147
AL,3114,7,47,1294
AL,3115,8,1005,48071
AL,3116,84,26727,847524
AL,3117,19,1105,28441
AL,3118,84,1456,59705
AL,3119,31,2462,107335
AL,3121,61,1505,110746
AL,3131,5,715,22890
AL,3132,11,930,41110
AL,3133,7,115,3303
AL,3141,24,3414,96976
AL,3149,52,1320,47985
AL,3151,16,1293,35051
AL,3152,21,988,22940
AL,3169,10,72,2522
AL,3211,101,5997,308787
AL,3212,46,2683,136304
AL,3219,186,7376,292572
AL,3221,19,7967,719762
AL,3222,44,3400,201404
AL,3231,336,3109,122804
AL,3241,29,2002,183987
AL,3251,58,4056,412038
AL,3252,32,6185,411327
AL,3253,22,824,73547
AL,3254,13,509,71379
AL,3255,24,924,66339
AL,3256,20,482,14009
AL,3259,28,808,36111
AL,3261,130,13022,610046
AL,3262,45,5306,322014
AL,3271,22,1029,60779
AL,3272,16,1161,63937
AL,3273,179,3379,180857
AL,3274,8,575,42591
AL,3279,65,1323,77682
AL,3311,19,6481,623940
AL,3312,21,1819,115117
AL,3313,19,2604,160785
AL,3314,19,2763,129031
AL,3315,38,5510,387415
AL,3321,31,1941,89049
AL,3322,12,216,10572
AL,3323,341,10372,503809
AL,3324,27,1187,69176
AL,3325,7,646,28464
AL,3326,8,449,20591
AL,3327,329,4843,233007
AL,3328,61,1423,76442
AL,3329,79,4088,220697
AL,3331,26,1006,52666
AL,3332,23,536,31258
AL,3333,15,628,40097
AL,3334,23,1894,87729
AL,3335,57,1151,57169
AL,3336,14,1035,52633
AL,3339,81,3537,219134
AL,3341,6,486,36429
AL,3342,14,1523,137012
AL,3344,30,1756,78761
AL,3345,28,2939,226033
AL,3351,9,99,3850
AL,3352,3,1582,128665
AL,3353,24,1732,123605
AL,3359,25,1257,52443
AL,3361,10,12317,1038078
AL,3362,50,7012,285772
AL,3363,137,29920,1403655
AL,3364,47,6680,496727
AL,3365,7,898,44298
AL,3366,37,5958,419519
AL,3369,11,840,54858
AL,3371,215,6523,241880
AL,3372,41,2945,132646
AL,3379,8,338,19020
AL,3391,102,2672,126471
AL,3399,159,4169,180742
AL,4231,394,6300,319805
AL,4232,102,907,58978
AL,4233,326,4225,257501
AL,4234,342,4878,313846
AL,4235,190,3405,224319
AL,4236,329,4159,308849
AL,4237,297,4524,289404
AL,4238,887,11432,760477
AL,4239,397,4813,237996
AL,4241,105,1640,87911
AL,4242,83,2790,268432
AL,4243,63,920,34546
AL,4244,325,11027,552521
AL,4245,48,327,12602
AL,4246,146,1295,84112
AL,4247,123,1441,84923
AL,4248,41,3115,157997
AL,4249,315,4644,197161
AL,4251,583,3478,195754
AL,4411,888,19059,990241
AL,4412,226,2666,113035
AL,4413,1214,10208,297272
AL,4421,491,3437,116899
AL,4422,393,3175,81716
AL,4431,375,4517,211144
AL,4441,947,19026,573520
AL,4442,333,2473,68771
AL,4451,979,30896,638209
AL,4452,201,1280,21947
AL,4453,379,1294,33032
AL,4461,1715,18139,667253
AL,4471,3217,18031,342905
AL,4481,1488,16652,241614
AL,4482,360,3457,48607
AL,4483,242,1378,43243
AL,4511,427,5921,122562
AL,4512,107,858,15415
AL,4522,60,6371,109147
AL,4523,1504,45675,1165965
AL,4531,196,771,14379
AL,4532,331,2440,42269
AL,4533,315,2891,60644
AL,4539,604,3046,87586
AL,4541,294,2169,82708
AL,4542,62,520,15453
AL,4543,377,1772,64287
AL,4811,16,552,39345
AL,4812,16,55,5035
AL,4831,7,49,5306
AL,4832,8,262,28231
AL,4841,1011,20556,935980
AL,4842,872,8484,373087
AL,4851,3,245,9538
AL,4852,7,142,3596
AL,4853,25,179,3822
AL,4854,24,815,15961
AL,4855,17,411,9188
AL,4859,35,278,6440
AL,4861,9,86,7359
AL,4862,26,365,43425
AL,4869,6,54,5247
AL,4871,3,21,107
AL,4872,39,58,2934
AL,4881,100,5716,442838
AL,4882,48,1101,48777
AL,4883,58,1564,106911
AL,4884,186,1454,47070
AL,4885,208,2257,144687
AL,4889,13,91,5557
AL,4921,140,6755,268124
AL,4922,40,2010,49334
AL,4931,254,15939,662645
AL,5111,205,5448,290728
AL,5112,96,2554,245579
AL,5121,110,2183,53095
AL,5122,13,37,2105
AL,5151,154,2515,127089
AL,5152,4,369,22342
AL,5173,998,14229,861494
AL,5179,66,814,53734
AL,5182,132,3651,258890
AL,5191,72,549,40002
AL,5221,2069,32292,2287965
AL,5222,1477,6210,371595
AL,5223,462,1342,72762
AL,5231,215,1594,327805
AL,5239,568,2015,211331
AL,5241,702,12377,1157513
AL,5242,1879,14296,968802
AL,5259,10,132,26906
AL,5311,1659,5937,255678
AL,5312,1214,4639,213303
AL,5313,857,6277,283529
AL,5321,251,2286,83185
AL,5322,303,2081,78198
AL,5323,31,145,6150
AL,5324,209,1897,129902
AL,5331,29,243,14165
AL,5411,2476,13481,1090304
AL,5412,1628,11947,571643
AL,5413,1467,31075,2922334
AL,5414,210,503,21260
AL,5415,1149,23667,2121988
AL,5416,1245,8531,541902
AL,5417,191,8213,827571
AL,5418,274,3007,151014
AL,5419,790,7733,275509
AL,5511,588,19620,1813515
AL,5611,256,6474,357940
AL,5612,100,5043,187189
AL,5613,656,91498,2924281
AL,5614,310,10043,244837
AL,5615,87,1152,59496
AL,5616,341,11540,292550
AL,5617,2320,25983,704682
AL,5619,128,2457,71991
AL,5621,149,2704,148900
AL,5622,63,964,44318
AL,5629,145,1918,95340
AL,6111,214,9893,275306
AL,6112,8,949,26945
AL,6113,48,9185,289773
AL,6114,55,1551,83196
AL,6115,93,848,44137
AL,6116,425,2714,42008
AL,6117,49,267,10137
AL,6211,2893,37659,3098631
AL,6212,1467,11439,560737
AL,6213,1758,10078,401524
AL,6214,579,14084,959104
AL,6215,228,3704,214440
AL,6216,379,13921,597235
AL,6219,185,6383,226876
AL,6221,97,86816,4779489
AL,6222,10,3039,172746
AL,6223,10,1468,62948
AL,6231,227,27861,836755
AL,6232,448,8760,201006
AL,6233,220,8384,201394
AL,6239,87,1749,43711
AL,6241,855,14764,316135
AL,6242,159,1687,56569
AL,6243,65,1943,53306
AL,6244,909,10820,187137
AL,7111,66,672,17699
AL,7112,31,561,16893
AL,7113,69,1674,33585
AL,7114,7,32,2611
AL,7115,72,205,5843
AL,7121,87,1773,44301
AL,7131,47,1280,19230
AL,7132,13,243,7344
AL,7139,834,14779,241330
AL,7211,912,19329,434461
AL,7212,95,546,14795
AL,7213,35,157,3642
AL,7223,474,8028,164829
AL,7224,249,1913,33641
AL,7225,7567,165034,2524064
AL,8111,2042,10852,408527
AL,8112,193,3176,217114
AL,8113,365,3592,211743
AL,8114,233,710,20914
AL,8121,1173,5630,134449
AL,8122,351,2416,81310
AL,8123,356,4862,123446
AL,8129,369,1983,48381
AL,8131,4572,41116,806161
AL,8132,201,971,45823
AL,8133,204,1345,47872
AL,8134,255,1501,34681
AL,8139,623,3458,186928
AK,1133,30,191,17752
AK,1141,428,239,24803
AK,1151,6,46,2352
AK,1152,4,28,228
AK,1153,7,6,1238
AK,2111,21,1978,418945
AK,2122,40,2608,333113
AK,2123,20,103,9612
AK,2131,69,5607,533940
AK,2211,81,1583,164585
AK,2212,7,248,30246
AK,2213,19,261,22706
AK,2361,572,1504,88189
AK,2362,264,3288,314266
AK,2371,90,1869,206506
AK,2372,12,55,4243
AK,2373,94,1502,209870
AK,2379,34,289,40023
AK,2381,264,994,98048
AK,2382,509,3870,324586
AK,2383,393,1296,72089
AK,2389,295,1449,135894
AK,3113,9,80,1742
AK,3115,3,24,643
AK,3116,7,49,2693
AK,3117,98,7560,394463
AK,3118,24,320,10566
AK,3119,15,120,2907
AK,3121,50,477,21214
AK,3149,10,76,2787
AK,3152,7,12,310
AK,3211,13,73,2840
AK,3212,7,91,5255
AK,3219,20,219,11570
AK,3231,46,288,14090
AK,3241,22,752,126549
AK,3256,4,17,334
AK,3259,6,32,1841
AK,3261,9,91,5300
AK,3262,3,3,235
AK,3272,4,22,812
AK,3273,25,168,15191
AK,3323,24,425,41238
AK,3324,4,82,5346
AK,3327,21,179,13682
AK,3328,6,41,2550
AK,3329,9,90,5734
AK,3345,4,36,2627
AK,3363,3,7,102
AK,3364,8,198,11329
AK,3366,15,288,18106
AK,3371,10,20,538
AK,3372,3,22,914
AK,3391,18,83,4081
AK,3399,18,112,4905
AK,4231,38,352,24993
AK,4232,23,194,11125
AK,4233,34,403,26598
AK,4234,57,408,28263
AK,4235,15,97,5899
AK,4236,50,514,51832
AK,4237,38,447,28699
AK,4238,121,1233,105163
AK,4239,45,314,14486
AK,4241,12,110,7182
AK,4242,15,98,4867
AK,4243,3,29,1185
AK,4244,108,2183,128679
AK,4246,30,134,9509
AK,4247,66,805,64954
AK,4248,12,583,34731
AK,4249,26,421,15730
AK,4251,44,259,19182
AK,4411,66,2145,132301
AK,4412,86,610,28792
AK,4413,126,1241,52448
AK,4421,41,240,11780
AK,4422,65,413,14039
AK,4431,53,482,15891
AK,4441,176,3659,145769
AK,4442,24,114,2886
AK,4451,253,6358,187728
AK,4452,46,236,6619
AK,4453,98,646,16659
AK,4461,122,1148,47380
AK,4471,186,1640,50786
AK,4481,149,1636,37276
AK,4482,36,259,5220
AK,4483,81,224,15289
AK,4511,141,1579,33462
AK,4512,23,139,2733
AK,4522,3,342,5913
AK,4523,91,7257,230413
AK,4531,26,103,2615
AK,4532,183,717,26912
AK,4533,59,620,14185
AK,4539,187,1017,34021
AK,4541,25,76,3702
AK,4542,5,81,2529
AK,4543,105,479,22459
AK,4811,109,4879,395743
AK,4812,111,1216,101682
AK,4831,101,1047,96946
AK,4832,23,35,3353
AK,4841,120,1409,99842
AK,4842,117,1153,67201
AK,4851,5,104,3660
AK,4852,3,295,8693
AK,4853,19,207,5525
AK,4854,23,1061,25061
AK,4859,14,84,2420
AK,4861,11,1817,302315
AK,4871,37,379,29952
AK,4872,127,362,42776
AK,4879,29,188,17020
AK,4881,87,1271,47748
AK,4883,65,609,56584
AK,4884,34,157,5833
AK,4885,52,495,26530
AK,4921,49,2448,312736
AK,4922,12,60,2212
AK,4931,28,330,19446
AK,5111,34,340,15401
AK,5112,7,47,3929
AK,5121,35,666,14102
AK,5151,54,601,27279
AK,5173,225,4151,364235
AK,5174,9,58,3242
AK,5179,8,40,3118
AK,5182,22,608,41367
AK,5191,18,28,1630
AK,5221,236,4082,282341
AK,5222,68,411,35071
AK,5223,23,72,4061
AK,5231,36,255,57566
AK,5239,127,433,47827
AK,5241,70,604,58407
AK,5242,213,1142,81012
AK,5259,15,272,18567
AK,5311,338,1747,85415
AK,5312,263,579,28993
AK,5313,168,614,32037
AK,5321,86,796,39168
AK,5322,35,197,7978
AK,5323,12,40,1978
AK,5324,77,573,52567
AK,5331,3,11,285
AK,5411,338,1414,129336
AK,5412,359,1518,73810
AK,5413,419,8491,772842
AK,5414,28,66,2525
AK,5415,218,2301,183844
AK,5416,331,3295,252971
AK,5417,38,473,27297
AK,5418,64,395,18183
AK,5419,165,1379,56725
AK,5511,170,5135,742456
AK,5611,107,855,60585
AK,5612,64,6959,404387
AK,5613,69,2744,136101
AK,5614,68,474,26002
AK,5615,120,729,51795
AK,5616,65,2242,92182
AK,5617,446,5671,209291
AK,5619,68,395,18131
AK,5621,40,445,26525
AK,5622,9,113,7827
AK,5629,117,1216,98818
AK,6111,50,741,18718
AK,6113,14,570,16595
AK,6114,6,15,547
AK,6115,44,367,12387
AK,6116,141,1021,19574
AK,6117,26,157,6057
AK,6211,524,5239,564388
AK,6212,344,2480,149106
AK,6213,537,3047,151767
AK,6214,206,6600,444021
AK,6215,48,399,38535
AK,6216,37,1065,38242
AK,6219,42,629,45919
AK,6221,25,15134,1280637
AK,6231,11,801,42094
AK,6232,169,2474,77393
AK,6233,190,1402,44448
AK,6239,36,669,15195
AK,6241,274,6669,210713
AK,6242,82,977,35702
AK,6243,22,1036,36093
AK,6244,172,2005,50066
AK,7111,29,157,5814
AK,7112,14,44,1402
AK,7113,17,1004,9949
AK,7115,33,57,2453
AK,7121,46,342,16366
AK,7131,3,213,4012
AK,7132,50,471,11178
AK,7139,401,3232,68079
AK,7211,384,5635,209711
AK,7212,164,270,33592
AK,7213,11,176,14495
AK,7223,170,2594,96938
AK,7224,146,1222,26891
AK,7225,1333,17170,405318
AK,8111,333,1839,87299
AK,8112,23,74,6833
AK,8113,86,366,23644
AK,8114,76,325,15243
AK,8121,243,1245,33158
AK,8122,22,194,6286
AK,8123,42,437,13299
AK,8129,95,481,11200
AK,8131,416,2406,58479
AK,8132,65,353,22042
AK,8133,126,625,34683
AK,8134,152,799,18390
AK,8139,185,791,47018
AZ,1133,12,88,4672
AZ,1141,4,2,442
AZ,1151,98,1729,53195
AZ,1152,84,250,7618
AZ,1153,16,126,6868
AZ,2111,6,8,803
AZ,2122,24,8001,584885
AZ,2123,111,1264,69112
