State,Naics,Establishments,Employees,Payroll
AL,11,801,6229,262770
AL,21,202,5152,417568
AL,22,361,15881,1654396
AL,23,7674,85912,4615669
AL,42,5154,74075,4331458
AL,51,1852,34290,2019450
AL,52,7337,70916,5165933
AL,53,4419,23213,1006632
AL,54,9456,104938,7995987
AL,55,636,19213,1899377
AL,56,4443,155207,4810603
AL,61,889,26272,787103
AL,62,10539,266937,12639130
AL,71,1206,20626,364805
AL,72,9143,189835,3001647
AL,81,10960,82241,2270940
AL,99,111,129,3554
AK,11,478,540,41892
AK,21,158,9446,1209542
AK,22,108,2052,209714
AK,23,2465,16099,1495091
AK,42,737,8692,570171
AK,51,416,6546,457735
AK,52,807,7378,551507
AK,53,987,4568,228267
AK,54,1959,17552,1357900
AK,55,179,5955,763454
AK,56,1145,21317,1071246
AK,61,284,3025,84316
AK,62,2709,50891,3145351
AK,71,585,5438,115301
AK,72,2187,26204,751883
AK,81,1859,9713,366709
AK,99,45,38,1153
AZ,11,233,2119,70021
AZ,21,202,10282,776534
AZ,22,310,12464,1300555
AZ,23,12724,161310,8898013
AZ,42,6533,97868,6520483
AZ,51,2598,58569,3973896
AZ,52,9696,175161,13080148
AZ,53,10260,55651,2999230
AZ,54,18467,156602,12055247
AZ,55,988,61963,5136866
AZ,56,8718,288692,10663056
AZ,61,2259,61746,2419480
AZ,62,19127,379551,19363118
AZ,71,2229,51445,1795103
AZ,72,13288,312299,6299344
AZ,81,11619,92466,3136949
AZ,99,192,276,7719
AR,11,650,4952,221788
AR,21,317,4097,272585
AR,22,321,7335,694948
AR,23,5522,48371,2376096
AR,42,3326,50261,2684190
AR,51,1178,20985,1581953
AR,52,4460,37908,2544233
AR,53,3133,12873,505540
AR,54,6003,38693,2220368
AR,55,1157,38136,4004453
AR,56,2791,65124,1690383
AR,61,622,15967,401030
AR,62,8099,181016,8374663
AR,71,799,10564,219965
AR,72,5998,109298,1716725
AR,81,6682,41948,1127192
AR,99,94,123,2280
CA,11,2020,29041,1246228
CA,21,660,16590,1616535
CA,22,1285,57948,7402391
CA,23,77548,806131,55456709
CA,42,58226,840301,72848901
CA,51,26339,688789,119089549
