State,Naics,Establishments,Employees,Payroll
AL,1131,29,147,9801
AL,1133,485,3419,180474
AL,1141,11,16,573
AL,1151,9,73,3097
AL,1152,18,83,2261
AL,1153,69,366,25897
AL,2111,16,105,12208
AL,2121,12,2015,230853
AL,2123,78,1507,103293
AL,2131,34,592,42509
AL,2211,132,10087,1269812
AL,2212,7,679,57557
AL,2213,48,556,29945
AL,2361,1766,8691,573276
AL,2362,658,14011,1079248
AL,2371,260,9409,516288
AL,2372,67,221,20703
AL,2373,102,4173,250378
AL,2379,69,1100,56141
AL,2381,982,9211,551071
AL,2382,2656,31750,1849232
AL,2383,990,6890,359060
AL,2389,928,11666,742650
AL,3111,7,254,13021
AL,3112,3,303,31761
AL,3113,4,23,290
AL,3116,46,16535,662699
AL,3117,13,283,11735
AL,3118,83,1388,48363
AL,3119,18,1421,85477
AL,3121,42,1454,70528
AL,3141,7,64,2453
AL,3149,26,544,20547
AL,3151,16,1053,27550
AL,3152,8,273,5657
AL,3169,3,17,496
AL,3211,65,4013,252010
AL,3212,20,1721,104240
AL,3219,165,7881,379573
AL,3222,22,1733,100358
AL,3231,286,2817,128146
AL,3241,15,907,96337
AL,3251,36,3317,414233
AL,3252,17,2545,231705
AL,3253,7,433,33326
AL,3254,11,533,47601
AL,3255,9,305,23373
AL,3256,6,58,2215
AL,3259,7,117,4776
AL,3261,86,9457,529815
AL,3262,18,1424,70199
AL,3271,9,466,32918
AL,3272,6,836,58177
AL,3273,148,3014,202699
AL,3274,6,403,34832
AL,3279,38,632,42830
AL,3311,3,676,77269
AL,3312,7,1409,145322
AL,3314,7,872,55107
AL,3315,23,4309,439078
AL,3321,14,1163,68870
AL,3323,319,9740,566415
AL,3324,9,1162,80944
AL,3327,287,4645,263113
AL,3328,43,838,52385
AL,3329,71,2197,147861
AL,3331,9,248,18640
AL,3332,7,184,11354
AL,3333,3,64,4845
AL,3334,9,431,36750
AL,3335,26,646,34278
AL,3336,4,26,2635
AL,3339,52,2338,159982
AL,3342,5,1143,134717
AL,3344,16,1413,84703
AL,3345,14,1930,133337
AL,3353,16,1022,73511
AL,3359,8,314,15630
AL,3361,3,247,8908
AL,3362,22,2104,129377
AL,3363,102,24801,1461044
AL,3364,23,6101,576762
AL,3366,29,4277,294103
AL,3369,6,739,46480
AL,3371,178,5964,242968
AL,3372,21,969,58399
AL,3391,84,2610,142009
AL,3399,141,2410,116639
AL,4231,387,6041,379234
AL,4232,83,857,57482
AL,4233,304,3823,301811
AL,4234,260,4158,315633
AL,4235,153,3386,332298
AL,4236,266,2955,277131
AL,4237,269,4726,361083
AL,4238,863,11267,875102
AL,4239,341,4744,286547
AL,4241,74,1120,88805
AL,4242,43,2188,180420
AL,4243,33,801,34811
AL,4244,272,10065,614593
AL,4245,21,119,6361
AL,4246,116,933,71720
AL,4247,65,1009,64356
AL,4248,28,2378,148985
AL,4249,288,4732,217996
AL,4251,525,3052,232570
AL,4411,886,19670,1388799
AL,4412,206,2820,174704
AL,4413,1227,10691,362829
AL,4421,452,3167,137583
AL,4422,335,2920,97130
AL,4431,254,2866,131673
AL,4441,907,19946,746887
AL,4442,306,2773,91634
AL,4451,1213,35141,877885
AL,4452,203,1425,28946
AL,4453,394,1461,42271
AL,4461,1629,17614,674685
AL,4471,3026,17914,445284
AL,4481,1320,13566,264916
AL,4482,293,2956,52952
AL,4483,199,1142,53208
AL,4511,441,6065,168694
AL,4512,78,564,11540
AL,4522,43,3126,66957
AL,4523,1612,47834,1293598
AL,4531,142,730,16959
AL,4532,291,1992,45114
AL,4533,306,3976,83339
AL,4539,692,3547,127021
AL,4541,392,2170,100189
AL,4542,27,434,15033
AL,4543,357,2072,85186
AL,4811,11,270,13671
AL,4812,9,60,6221
AL,4832,3,4,303
AL,4841,1305,20266,1155238
AL,4842,930,8261,436391
AL,4853,7,38,905
