State,Naics,Establishments,Employees,Payroll
AL,424410,10,1742,119610
AL,424420,20,475,21283
AL,424430,3,89,5402
AL,424450,11,196,10749
AL,424460,8,146,6046
AL,424470,4,38,1792
AL,424480,15,366,22357
AL,424490,132,4944,366346
AL,424520,3,27,1418
AL,424590,3,12,1088
AL,424610,24,210,16775
AL,424690,91,729,55990
AL,424710,37,501,42758
AL,424720,15,97,8038
AL,424810,12,1297,65921
AL,424820,9,780,57702
AL,424910,74,878,58964
AL,424920,3,8,146
AL,424930,19,191,8859
AL,424940,3,105,1363
AL,424950,20,69,6285
AL,424990,56,270,14677
AL,425120,470,2850,230816
AL,441110,321,15061,1157607
AL,441120,481,3035,153433
AL,441210,29,707,41638
AL,441222,60,619,41013
AL,441228,75,988,55093
AL,441310,809,7318,235573
AL,441320,391,3073,148107
AL,442110,456,3124,131165
AL,442210,129,940,51195
AL,442291,13,55,2373
AL,442299,161,1468,31582
AL,443141,62,999,57521
AL,443142,150,1160,39770
AL,444110,56,8229,235746
AL,444120,93,506,28132
AL,444130,239,1945,67952
AL,444190,403,5141,312351
AL,444210,72,625,30528
AL,444220,227,2154,67921
AL,445110,764,35148,944282
AL,445120,397,1447,30419
AL,445210,39,382,6104
AL,445220,25,124,3145
AL,445230,30,155,2900
AL,445292,12,67,865
AL,445299,45,299,4928
AL,445310,406,1554,44909
AL,446110,847,12660,566654
AL,446120,279,2786,52954
AL,446130,112,739,22913
AL,446191,114,532,13205
AL,446199,149,1001,48006
AL,447110,2921,16181,414991
AL,447190,124,2191,74412
AL,448110,83,675,23546
AL,448120,502,3649,63755
AL,448130,38,282,5595
AL,448140,376,7859,143777
AL,448150,69,442,10111
AL,448190,166,1547,31628
AL,448210,312,3102,57150
AL,448310,200,1156,54762
AL,451110,237,3636,100490
AL,451120,82,1209,28990
AL,451130,22,185,2727
AL,451140,38,295,9254
AL,451211,73,598,12092
AL,452210,30,2398,57694
AL,452311,104,25327,805596
AL,452319,1515,11958,245915
AL,453110,134,704,15781
AL,453210,49,477,14026
AL,453220,201,1374,29039
AL,453310,304,4407,92269
AL,453910,80,1081,29360
AL,453920,6,16,260
AL,453930,57,323,32875
AL,453991,184,459,13159
AL,453998,326,1399,42494
AL,454110,346,2476,115720
AL,454210,29,393,14657
AL,454310,81,602,28083
AL,454390,196,1069,48648
AL,481111,14,347,17515
AL,481211,8,63,7070
AL,484110,311,2139,103716
AL,484121,747,14568,796852
AL,484122,118,3840,285034
AL,484210,92,918,34111
AL,484220,535,3714,205724
AL,484230,212,2745,168653
AL,485320,3,24,688
AL,485510,7,107,2864
AL,485991,12,183,6182
AL,485999,7,15,533
AL,486110,3,13,2247
AL,486210,9,206,30165
AL,486910,3,21,1649
AL,487210,25,51,2775
AL,488119,23,531,21831
AL,488190,62,2925,243446
AL,488210,32,653,31653
AL,488310,3,33,2690
AL,488320,13,987,71282
AL,488330,11,89,10007
AL,488390,12,485,31503
AL,488410,128,984,49886
AL,488490,32,349,13074
AL,488510,199,2429,191741
AL,492110,122,8133,391960
AL,492210,17,226,10871
AL,493110,201,18196,794857
AL,493120,11,346,19726
AL,493190,25,559,37863
AL,511110,40,585,30524
AL,511120,41,1217,92894
AL,511130,21,117,5446
AL,511210,113,4491,528009
AL,512110,52,187,12295
AL,512131,18,578,8500
AL,512191,3,3,151
AL,512240,6,16,950
AL,515112,62,767,42976
AL,515120,23,1072,75369
AL,517311,493,7417,586769
AL,517312,413,4303,247682
AL,517911,29,161,5569
AL,517919,3,37,2072
AL,518210,103,2982,240295
AL,519120,3,25,729
AL,519130,49,939,96992
AL,522110,1524,27638,2451512
AL,522120,8,152,11604
AL,522130,411,6025,384668
AL,522210,3,117,9054
AL,522220,23,129,12841
AL,522291,642,1938,97921
AL,522292,200,1541,133729
AL,522298,318,1106,56265
AL,522310,45,202,20642
AL,522320,15,58,6210
AL,522390,334,708,67412
AL,523110,14,80,11747
AL,523120,166,1269,276625
AL,523910,55,89,8283
AL,523920,330,1546,243850
AL,523930,174,489,41204
AL,523991,10,24,2378
AL,523999,12,21,2848
AL,524113,45,2316,271640
AL,524114,48,4165,467836
AL,524126,362,4606,409921
AL,524127,8,18,1131
AL,524210,1703,7948,617631
AL,524291,46,3980,326692
AL,524292,68,2516,230327
AL,524298,22,191,11482
AL,525990,3,94,22044
AL,531110,851,3539,166025
AL,531120,335,1426,141782
AL,531130,309,907,30732
AL,531190,86,232,9039
AL,531210,1562,4372,274757
AL,531311,494,5020,246943
AL,531312,122,1873,122155
AL,531320,152,372,20532
AL,531390,163,407,26507
AL,532111,96,955,37592
AL,532112,3,28,2070
AL,532120,107,1089,63310
AL,532210,74,364,14988
AL,532281,5,10,513
AL,532283,38,341,18344
AL,532284,22,183,7862
AL,532289,43,530,22312
AL,532310,12,138,9748
AL,532412,73,918,76214
AL,532490,105,1220,96550
AL,533110,22,99,7440
AL,541110,2205,12040,1193146
AL,541191,113,589,36574
AL,541199,18,45,2106
AL,541211,733,5998,427661
AL,541213,340,1448,24365
AL,541214,35,1195,60574
AL,541219,391,2483,126670
AL,541310,191,1237,123150
AL,541320,27,96,5576
AL,541330,936,28363,3119877
AL,541340,40,64,2407
AL,541350,66,128,6610
AL,541370,91,580,41344
AL,541380,68,1206,79384
AL,541410,136,323,17280
AL,541420,4,58,2556
AL,541430,65,191,9401
AL,541490,4,7,438
AL,541511,328,6797,734530
AL,541512,512,13812,1335262
AL,541513,65,622,49385
AL,541519,38,562,66433
AL,541611,643,5531,513114
AL,541612,52,551,28030
AL,541613,274,1376,80650
AL,541614,91,1332,116262
AL,541618,71,429,40793
AL,541620,66,592,42707
AL,541690,162,725,49796
AL,541713,16,954,113568
AL,541714,22,568,58760
AL,541715,153,9820,1089575
AL,541720,7,100,6290
AL,541810,100,1053,69298
AL,541820,36,103,12688
AL,541840,4,2,805
AL,541850,12,96,10165
AL,541860,8,356,30342
AL,541890,57,277,10612
AL,541910,14,129,11106
AL,541921,97,280,8453
AL,541922,22,42,2097
AL,541930,5,34,1341
AL,541940,535,6710,287511
AL,541990,107,845,61788
AL,551112,33,252,36838
AL,551114,415,21984,2420796
AL,561110,252,7347,554100
AL,561210,94,3890,228024
AL,561311,48,945,47002
AL,561312,12,45,3963
AL,561320,496,33267,1185573
AL,561330,13,2411,151189
AL,561410,16,462,34990
AL,561421,3,312,9907
AL,561422,21,4077,114880
AL,561431,67,335,9441
AL,561439,11,97,3339
AL,561440,9,281,14456
AL,561491,3,9,358
AL,561492,21,141,2477
AL,561499,13,71,1136
AL,561510,26,448,30685
AL,561599,14,150,11821
AL,561611,22,480,28626
AL,561612,97,6727,158130
AL,561613,10,275,14015
AL,561621,98,1694,107573
AL,561622,37,132,5674
AL,561710,303,3651,168673
AL,561720,701,11277,265394
AL,561730,1336,9794,440726
AL,561740,67,395,15526
AL,561790,165,782,33282
AL,561920,22,108,6194
AL,561990,78,1390,60856
AL,562111,105,1714,131536
AL,562119,26,233,16765
AL,562211,3,49,5223
