State,Naics,Establishments,Employees,Payroll
AL,1131,53,288,12978
AL,1132,8,49,3255
AL,1133,509,3774,156439
AL,1141,15,27,847
AL,1142,8,94,3797
AL,1151,43,978,32673
AL,1152,45,295,6695
AL,1153,107,815,35621
AL,2111,21,315,35721
AL,2121,24,1563,138866
AL,2123,93,1686,96084
AL,2131,67,1193,71253
AL,2211,241,12245,1234163
AL,2212,29,1199,89775
AL,2213,74,730,29852
AL,2361,1370,6090,305721
AL,2362,660,12643,878552
AL,2371,253,7789,358983
AL,2372,88,410,19971
AL,2373,171,4587,226925
AL,2379,86,815,41920
AL,2381,867,8616,401440
AL,2382,2338,27127,1331948
AL,2383,923,6146,255506
AL,2389,779,8749,398856
AL,3111,35,1167,58417
AL,3112,12,1100,59987
AL,3113,14,293,16128
AL,3114,10,71,1562
AL,3115,9,1044,46828
AL,3116,77,24118,686929
AL,3117,20,892,25272
AL,3118,82,1672,68224
AL,3119,31,2470,94188
AL,3121,47,1343,84637
AL,3131,4,598,21076
AL,3132,11,856,41002
AL,3133,7,112,2815
AL,3141,24,3406,92483
AL,3149,59,1652,48022
AL,3151,16,1112,28826
AL,3152,24,1033,25290
AL,3169,12,70,2026
AL,3211,100,5144,243161
AL,3212,52,2778,132048
AL,3219,187,7399,252532
AL,3221,17,7309,656225
AL,3222,40,3269,167568
AL,3231,333,3145,117619
AL,3241,31,2101,179653
AL,3251,58,3992,388186
AL,3252,32,5325,306697
AL,3253,21,768,54404
AL,3254,15,1304,72227
AL,3255,26,947,66750
AL,3256,17,422,13443
AL,3259,27,806,37310
AL,3261,137,13597,630545
AL,3262,46,5152,274067
AL,3271,25,1105,57583
AL,3272,13,1092,54943
AL,3273,180,3232,153142
AL,3274,8,435,32177
AL,3279,63,1031,61942
AL,3311,19,5723,493494
AL,3312,19,1430,83594
AL,3313,18,2381,137571
AL,3314,18,2618,113798
AL,3315,37,5511,345227
AL,3321,33,1867,80884
AL,3322,8,180,7669
AL,3323,331,9881,468795
AL,3324,26,990,60831
AL,3325,7,783,26941
AL,3326,11,487,22450
AL,3327,341,5637,284044
AL,3328,58,1140,55354
AL,3329,82,3970,203530
AL,3331,23,773,47602
AL,3332,24,638,35325
AL,3333,20,657,39359
AL,3334,22,1855,78125
AL,3335,48,1054,47179
AL,3336,14,1047,51691
AL,3339,86,3628,217322
AL,3341,6,454,33331
AL,3342,13,0,0
AL,3344,32,1585,69166
AL,3345,30,2697,207947
AL,3346,3,0,0
AL,3351,9,96,3593
AL,3352,3,0,0
AL,3353,27,1832,120427
AL,3359,22,1241,58140
AL,3361,5,11319,918880
AL,3362,52,5942,261082
AL,3363,142,29419,1278964
AL,3364,38,6228,424464
AL,3365,7,949,36077
AL,3366,35,5748,341849
AL,3369,11,652,40540
