State,Naics,Establishments,Employees,Payroll
AL,11,814,6534,255825
AL,21,200,4014,280264
AL,22,351,3602,288853
AL,23,7417,81067,3980798
AL,42,5159,71122,3914465
AL,51,1626,32702,1844659
AL,52,7194,68796,4803445
AL,53,4214,23186,977098
AL,54,9328,95004,6602821
AL,55,648,16931,1594201
AL,56,4321,101467,2927341
AL,61,859,23447,686316
AL,62,10634,245557,11232909
AL,71,1146,16581,309715
AL,72,8818,178396,2669036
AL,81,11016,81381,2110720
AL,99,184,247,4274
AK,11,475,574,41548
AK,21,168,8789,1055348
AK,22,107,1649,159272
AK,23,2521,16167,1397787
AK,42,713,8988,549209
AK,51,402,6643,419145
AK,52,771,7383,501851
AK,53,933,4472,216351
AK,54,1929,19098,1344339
AK,55,192,6704,693466
AK,56,1108,16049,821151
AK,61,267,2701,76523
AK,62,2633,48890,2862495
AK,71,569,4485,106107
AK,72,2156,28606,776021
AK,81,1821,9756,341830
AK,99,40,42,747
AZ,11,212,1431,56826
AZ,21,220,7602,536867
AZ,22,255,11874,1208560
AZ,23,11910,141492,7055962
AZ,42,6333,91983,5824968
AZ,51,2221,47659,3115060
AZ,52,9432,141509,9778414
AZ,53,9274,46589,2328455
AZ,54,17512,143757,10235816
AZ,55,981,54731,4426174
AZ,56,8228,181329,6535911
AZ,61,2136,60045,2264161
AZ,62,18069,358688,16924965
AZ,71,1924,47316,1585980
AZ,72,12546,290496,5359110
AZ,81,11245,89062,2671106
AZ,99,289,365,12391
AR,11,643,4564,194228
AR,21,335,3750,216847
AR,22,354,5311,424574
AR,23,5288,45583,2080111
AR,42,3312,46163,2414457
AR,51,1064,20573,1295063
AR,52,4339,36316,2174311
AR,53,3001,12289,452528
AR,54,5794,36466,2014081
AR,55,1128,14865,1141932
AR,56,2618,44252,1188196
AR,61,612,11222,273677
AR,62,7644,170504,7223168
AR,71,810,9607,194602
AR,72,5749,105787,1541455
AR,81,6643,40785,1010596
AR,99,116,117,1950
CA,11,1911,27464,1082395
CA,21,749,17603,1496939
CA,22,1254,41733,4605398
CA,23,71970,722820,45490321
CA,42,58931,831353,69521525
CA,51,23760,696485,85182254
CA,52,51044,597103,66752626
CA,53,54300,292687,17683219
CA,54,124657,1133752,110998214
CA,55,5322,336959,45812430
CA,56,43821,889382,35958827
CA,61,14199,417108,16681978
CA,62,110681,1923984,110169041
CA,71,24907,338066,16986200
CA,72,86055,1671156,36605990
CA,81,74526,585375,19675342
CA,99,2946,3961,113321
CO,11,320,1689,56899
CO,21,1188,16265,1553803
CO,22,388,9956,840849
CO,23,17724,151852,8862959
CO,42,7164,100570,7563610
CO,51,3295,85709,7134106
CO,52,10334,103363,8992257
CO,53,11159,45378,2229047
CO,54,25710,183755,15436476
CO,55,1052,59688,6436802
CO,56,8848,159976,6023267
CO,61,2617,50584,1623711
CO,62,16216,307210,14962736
CO,71,2867,58012,1855339
CO,72,13567,282399,5564589
CO,81,14257,107119,3613338
CO,99,280,326,8329
CT,11,78,328,14504
CT,21,68,918,60686
CT,22,132,4525,520070
CT,23,7959,58114,4015652
CT,42,4101,71578,5867093
CT,51,1703,37216,3444572
CT,52,5869,118913,18359323
CT,53,3234,20212,1138880
CT,54,9103,98919,9333439
CT,55,710,34073,4542308
CT,56,5225,76055,3350046
CT,61,1435,76337,3517617
CT,62,10984,284518,13670367
CT,71,1718,28449,762527
CT,72,8578,146382,3120775
CT,81,9496,60858,1998453
CT,99,156,207,6294
DE,11,33,124,4703
DE,21,17,111,7307
DE,22,48,2200,236746
DE,23,2225,20152,1108956
DE,42,1122,16591,1369721
DE,51,550,6717,429224
DE,52,1955,41246,3824009
DE,53,1237,6537,323699
DE,54,2896,28221,2660547
DE,55,734,8235,837264
DE,56,1463,24549,932902
DE,61,317,7180,264730
DE,62,2687,67618,3568171
