State,Naics,Establishments,Employees,Payroll
AL,11,777,6380,307110
AL,21,209,6022,449620
AL,22,355,15111,1733217
AL,23,7964,92712,5214537
AL,42,5047,75490,4551803
AL,51,1829,30662,1987626
AL,52,7360,69976,5971285
AL,53,4695,23690,1150382
AL,54,9485,113667,9200592
AL,55,582,21354,1916069
AL,56,4720,169540,5277678
AL,61,910,24856,770250
AL,62,10574,271154,13134016
AL,71,1233,21505,346465
AL,72,9322,191518,2857331
AL,81,10864,80222,2309103
AL,99,149,188,3941
AK,11,479,546,47591
AK,21,149,10447,1262954
AK,22,109,2144,235593
AK,23,2516,16601,1471705
AK,42,707,8700,558021
AK,51,415,6366,478864
AK,52,787,7195,586117
AK,53,1010,4688,244508
AK,54,1977,20100,1579150
AK,55,169,5410,752085
AK,56,1153,22306,1139151
AK,61,292,2883,80013
AK,62,2748,51984,3372955
AK,71,569,4929,91646
AK,72,2098,26875,605701
AK,81,1864,9829,375285
AK,99,51,36,2921
AZ,11,228,3038,99507
AZ,21,203,10535,755356
AZ,22,308,12456,1362836
AZ,23,13487,180561,10753100
AZ,42,6390,99656,7187747
AZ,51,2662,56460,4259440
AZ,52,9816,180224,15388686
AZ,53,11365,55222,2992760
AZ,54,19366,169185,13490098
AZ,55,957,61991,5005334
AZ,56,8932,281919,10836311
AZ,61,2301,68715,2763143
AZ,62,19942,396025,21043432
AZ,71,2350,55164,1695153
AZ,72,13521,315338,5883703
AZ,81,12139,95729,3298887
AZ,99,245,330,15087
AR,11,634,4560,226310
AR,21,277,3665,230550
AR,22,325,7459,745770
AR,23,5675,50808,2581622
AR,42,3241,49442,2761430
AR,51,1178,20589,1540571
AR,52,4555,40727,2937379
AR,53,3376,13298,539559
AR,54,6067,39683,2440190
AR,55,1087,36610,4234215
AR,56,2928,65961,1825502
AR,61,636,16392,439254
AR,62,8335,185291,9015972
AR,71,840,10755,209100
AR,72,6079,110002,1698300
AR,81,6666,42160,1179069
AR,99,100,136,5010
CA,11,2034,31026,1433293
CA,21,648,17662,1630603
CA,22,1301,58383,8330550
CA,23,80657,860541,61021347
CA,42,56484,822095,74933545
CA,51,27894,731391,147702402
CA,52,51548,638864,88181986
CA,53,61783,320032,21671669
CA,54,137424,1318355,154958799
CA,55,5039,368373,60899483
CA,56,47139,1653959,94102353
CA,61,16087,457042,20545663
CA,62,119630,2148566,137607170
CA,71,31073,366008,16623496
CA,72,90445,1777729,35048370
CA,81,78717,630368,21598996
CA,99,1566,2439,86515
CO,11,361,1932,90276
CO,21,1067,24082,2396639
CO,22,426,9274,1038382
CO,23,19672,180734,11879311
CO,42,7069,103071,8320666
CO,51,3952,96186,10505340
CO,52,10750,126168,12190252
CO,53,13506,52133,2949313
CO,54,27585,219296,20608845
CO,55,1028,54566,6498856
CO,56,9620,276398,14014747
CO,61,2786,56348,2056347
CO,62,17468,330520,17905660
CO,71,3213,58246,1854289
CO,72,14358,300580,5788431
CO,81,15163,115263,4160332
CO,99,244,282,10686
CT,11,74,317,12309
CT,21,60,698,53738
CT,22,158,7603,1010979
CT,23,7882,58733,4275894
CT,42,3820,68578,5886069
CT,51,1818,38543,4242184
CT,52,5737,114192,18048180
CT,53,3383,20703,1233496
CT,54,8891,113200,11116209
CT,55,681,33936,4625259
CT,56,5397,87783,4168932
CT,61,1499,79558,4010521
CT,62,11461,299524,15915182
CT,71,1767,30591,698850
CT,72,8777,145604,2812321
CT,81,9275,59364,1982774
CT,99,101,114,5198
DE,11,35,113,6075
DE,21,23,437,38811
DE,22,72,2475,308614
DE,23,2387,23465,1442917
DE,42,1209,18414,1976991
DE,51,718,7225,567471
DE,52,1999,41109,4450672
DE,53,1359,6361,354852
DE,54,3473,32771,3609625
DE,55,584,6591,740189
