State,Naics,Establishments,Employees,Payroll
AL,1131,54,247,13555
AL,1132,8,53,3383
AL,1133,511,3756,162186
AL,1141,16,25,957
AL,1142,9,95,3773
AL,1151,42,921,32193
AL,1152,49,272,7693
AL,1153,112,860,39030
AL,2111,21,269,32485
AL,2121,27,2105,203600
AL,2123,88,1665,109708
AL,2131,65,1111,71767
AL,2211,258,14046,1526196
AL,2212,28,1097,95704
AL,2213,75,738,32496
AL,2361,1414,6338,337291
AL,2362,680,13061,938438
AL,2371,258,7155,379002
AL,2372,83,357,15787
AL,2373,171,4785,234754
AL,2379,87,983,50317
AL,2381,870,8593,457422
AL,2382,2376,28831,1443138
AL,2383,938,6703,303014
AL,2389,797,9106,456506
AL,3111,34,1203,57646
AL,3112,10,966,57804
AL,3113,12,243,15819
AL,3114,8,43,1284
AL,3115,10,1019,53282
AL,3116,77,25039,747748
AL,3117,19,918,29971
AL,3118,85,1555,63620
AL,3119,28,2434,96107
AL,3121,55,1355,109353
AL,3131,5,715,24507
AL,3132,11,972,40932
AL,3133,7,103,2895
AL,3141,27,3155,98030
AL,3149,59,1393,47458
AL,3151,17,1210,29669
AL,3152,20,972,24919
AL,3169,10,79,2306
AL,3211,97,5480,268994
AL,3212,51,2855,133945
AL,3219,188,7576,284382
AL,3221,18,7346,665455
AL,3222,43,3351,184624
AL,3231,344,3155,120263
AL,3241,32,2271,184044
AL,3251,58,4182,414430
AL,3252,31,6088,384004
AL,3253,22,818,59737
AL,3254,16,1017,66048
AL,3255,23,873,64019
AL,3256,18,423,12943
AL,3259,30,755,37829
AL,3261,125,13186,629117
AL,3262,46,5428,304098
AL,3271,20,1087,60397
AL,3272,13,1111,55370
AL,3273,174,3382,173012
AL,3274,8,462,33814
AL,3279,68,1172,78263
AL,3311,21,6530,609656
AL,3312,20,1452,95354
AL,3313,19,2390,147478
AL,3314,19,2605,121967
AL,3315,40,5387,377271
AL,3321,33,1882,85846
AL,3322,9,197,8765
AL,3323,335,9789,488010
AL,3324,29,1170,65325
AL,3325,7,694,28318
AL,3326,9,427,21325
AL,3327,338,5686,296952
AL,3328,62,1332,67303
AL,3329,77,3914,229317
AL,3331,24,802,52230
AL,3332,24,510,30306
AL,3333,17,655,40152
AL,3334,21,1954,83269
AL,3335,56,1103,50957
AL,3336,14,1054,53952
AL,3339,83,3923,227842
AL,3341,6,463,32954
AL,3342,13,1600,133088
AL,3344,31,1346,57213
AL,3345,31,2707,214316
AL,3346,4,372,14080
AL,3351,10,96,3710
AL,3352,3,1573,116650
AL,3353,25,1733,117887
AL,3359,24,1101,47749
AL,3361,6,11859,945173
AL,3362,51,6521,281854
AL,3363,136,29107,1367321
AL,3364,45,6570,433301
AL,3365,7,1086,49011
AL,3366,35,5403,337504
AL,3369,13,822,45619
AL,3371,210,6810,253935
AL,3372,42,2665,113277
AL,3379,8,366,20474
AL,3391,104,2485,116077
AL,3399,162,4332,206841
AL,4231,388,6041,311953
AL,4232,102,968,56632
AL,4233,343,4228,244668
AL,4234,359,4897,320530
AL,4235,195,3305,234098
AL,4236,341,3893,304884
AL,4237,298,4212,253240
AL,4238,899,11061,713943
AL,4239,405,4683,231139
AL,4241,108,1733,86795
AL,4242,84,2917,287873
AL,4243,61,876,34242
AL,4244,352,11686,562782
AL,4245,46,294,12850
AL,4246,153,1273,78142
AL,4247,130,1530,82041
AL,4248,41,2850,140402
AL,4249,278,4247,186206
AL,4251,571,3381,189038
AL,4411,904,19124,942433
AL,4412,232,2552,106596
AL,4413,1203,10074,289847
AL,4421,503,3619,120177
AL,4422,410,3236,82271
AL,4431,402,4573,206720
AL,4441,956,19414,564052
AL,4442,378,2872,85393
AL,4451,989,31056,650535
AL,4452,206,1232,21764
AL,4453,369,1270,30809
AL,4461,1693,17899,646393
AL,4471,3217,17860,324673
AL,4481,1499,16799,244102
AL,4482,370,3268,49600
AL,4483,251,1435,43073
AL,4511,429,6465,123849
AL,4512,108,997,16797
AL,4522,62,6671,112875
AL,4523,1454,43998,1116347
AL,4531,210,814,14663
AL,4532,339,2463,42228
AL,4533,318,3180,56929
AL,4539,589,3009,80485
AL,4541,273,2026,78199
AL,4542,65,542,14336
AL,4543,358,1623,58769
AL,4811,23,494,36099
AL,4812,18,53,3611
AL,4831,9,76,5144
AL,4832,7,201,24745
AL,4841,1026,20244,933058
AL,4842,860,8421,365205
AL,4851,3,114,6832
AL,4852,7,149,2844
AL,4853,27,191,3683
AL,4854,22,788,13963
AL,4855,17,409,9136
AL,4859,33,257,6058
AL,4861,9,90,7908
AL,4862,24,332,41169
AL,4869,7,54,4862
AL,4872,35,57,2741
AL,4881,97,5127,391215
AL,4882,45,1049,45236
AL,4883,56,1663,106472
AL,4884,182,1450,46246
AL,4885,199,1988,125133
AL,4889,11,53,2178
AL,4921,149,5198,241137
AL,4922,37,665,28009
AL,4931,247,14449,579279
AL,5111,213,6038,297532
AL,5112,96,2677,245699
AL,5121,106,1738,49771
AL,5122,14,48,2375
AL,5151,155,2498,131203
AL,5173,1029,15445,892549
AL,5174,3,11,715
AL,5179,37,469,37697
AL,5182,130,4415,296057
AL,5191,67,587,44546
AL,5221,2041,30961,1959683
AL,5222,1438,6224,325567
AL,5223,483,1401,53755
AL,5231,223,1563,332876
AL,5239,580,1955,209170
AL,5241,685,13527,1250198
AL,5242,1875,15093,1005316
AL,5259,11,175,27374
AL,5311,1628,6097,235765
AL,5312,1137,4658,198528
AL,5313,809,6126,269403
AL,5321,248,2232,82657
AL,5322,318,1941,74219
AL,5323,31,133,5471
AL,5324,218,1871,126664
AL,5331,30,155,13925
AL,5411,2524,13378,1054238
AL,5412,1623,11840,551698
AL,5413,1459,29720,2713147
AL,5414,204,492,18646
AL,5415,1147,23017,2027769
AL,5416,1212,8532,510332
AL,5417,197,7566,715326
AL,5418,297,3125,154489
AL,5419,793,7268,250342
AL,5511,636,19213,1899377
AL,5611,234,6012,319862
AL,5612,75,4852,195859
