State,Naics,Establishments,Employees,Payroll
AL,1131,53,264,15872
AL,1132,7,44,2972
AL,1133,498,3702,174570
AL,1141,16,19,876
AL,1142,11,107,4423
AL,1151,37,1090,59963
AL,1152,40,363,9480
AL,1153,115,791,38954
AL,2111,22,263,33036
AL,2121,18,2707,224130
AL,2123,104,2058,126428
AL,2131,64,993,66017
AL,2211,257,12940,1582930
AL,2212,25,1405,116592
AL,2213,73,766,33695
AL,2361,1564,7143,417985
AL,2362,684,14331,1050067
AL,2371,273,7384,423434
AL,2372,79,264,16647
AL,2373,167,5042,264778
AL,2379,89,1398,75436
AL,2381,900,9367,490436
AL,2382,2443,31273,1639127
AL,2383,938,6832,317462
AL,2389,827,9678,519165
AL,3111,31,1262,73892
AL,3112,11,1050,63399
AL,3113,12,163,13158
AL,3114,8,50,1357
AL,3115,8,1056,53143
AL,3116,83,29276,892312
AL,3117,18,933,27502
AL,3118,90,1292,56620
AL,3119,31,2267,111428
AL,3121,58,1264,115067
AL,3131,3,545,19202
AL,3132,10,1117,43546
AL,3133,7,117,3651
AL,3141,23,2789,93620
AL,3149,49,1280,41773
AL,3151,16,1264,30990
AL,3152,22,878,21327
AL,3159,3,22,284
AL,3169,8,86,2799
AL,3211,108,5697,317059
AL,3212,45,2692,138268
AL,3219,187,7597,310719
AL,3221,18,7662,716413
AL,3222,44,3797,208512
AL,3231,321,3098,121504
AL,3241,34,2057,180460
AL,3251,58,3945,411772
AL,3252,32,6056,404928
AL,3253,24,869,75097
AL,3254,17,582,84122
AL,3255,25,893,63881
AL,3256,21,357,15302
AL,3259,27,767,34529
AL,3261,127,13095,614251
AL,3262,45,4258,265490
AL,3271,22,1202,65826
AL,3272,17,1229,63290
AL,3273,170,3346,192064
AL,3274,9,594,45292
AL,3279,65,1179,68302
AL,3311,18,6394,598823
AL,3312,20,1708,102561
AL,3313,18,2476,150104
AL,3314,18,2812,132932
AL,3315,36,5487,359459
AL,3321,30,1815,79103
AL,3322,11,228,9924
AL,3323,343,10080,506396
AL,3324,22,1116,66958
AL,3325,6,714,29254
AL,3326,8,459,20481
AL,3327,323,5857,315289
AL,3328,59,1216,60335
AL,3329,82,3615,201999
AL,3331,26,926,50887
AL,3332,20,527,28086
AL,3333,15,628,42711
AL,3334,23,1877,94398
AL,3335,54,1228,58028
AL,3336,14,961,44679
AL,3339,78,3580,200062
AL,3341,6,493,35480
AL,3342,13,1373,131306
AL,3343,4,114,5210
AL,3344,33,1680,81252
AL,3345,28,3088,233346
AL,3351,10,102,3821
AL,3352,4,1890,158809
AL,3353,24,1835,131467
AL,3359,24,1370,56203
AL,3361,10,13455,976342
AL,3362,46,6501,275876
AL,3363,134,30377,1359500
AL,3364,42,6791,421758
AL,3365,7,630,31912
AL,3366,37,4994,332677
AL,3369,12,993,58317
AL,3371,218,6935,263156
AL,3372,41,2979,128097
AL,3379,10,312,18802
AL,3391,102,2774,132728
AL,3399,163,4269,198181
AL,4231,383,6254,319717
AL,4232,101,950,61271
AL,4233,324,4338,284296
AL,4234,340,5117,331573
AL,4235,174,3389,226798
AL,4236,323,4165,311805
AL,4237,303,4501,290284
AL,4238,900,11728,777970
AL,4239,404,4984,262679
AL,4241,97,1198,69437
AL,4242,77,2603,230352
AL,4243,60,871,30496
AL,4244,311,10724,568263
AL,4245,46,432,27577
AL,4246,145,1224,81728
AL,4247,119,1729,98232
AL,4248,42,3255,171678
AL,4249,316,4615,206124
AL,4251,582,3413,201523
AL,4411,879,19017,1027826
AL,4412,231,2696,136149
AL,4413,1208,10270,301165
AL,4421,487,3355,122465
AL,4422,375,3084,83082
AL,4431,357,3865,199679
AL,4441,954,19092,648306
AL,4442,323,2400,78085
AL,4451,949,31508,726847
AL,4452,194,1367,25742
AL,4453,393,1374,35736
AL,4461,1720,18169,663431
AL,4471,3169,18212,373685
AL,4481,1419,15970,214628
AL,4482,355,3086,46515
AL,4483,238,1418,41377
AL,4511,428,5610,123515
AL,4512,96,860,10645
AL,4522,60,6277,78007
AL,4523,1549,45945,1180196
AL,4531,194,753,13888
AL,4532,301,1984,37295
AL,4533,314,3381,59762
AL,4539,600,3264,99327
AL,4541,333,2248,90724
AL,4542,57,638,16324
AL,4543,382,1641,64472
AL,4811,17,523,38978
AL,4812,15,65,5320
AL,4831,8,54,5004
AL,4832,7,267,25958
AL,4841,1048,20501,969349
AL,4842,872,8420,373386
AL,4851,3,246,10253
AL,4852,6,90,3117
AL,4853,27,140,2857
AL,4854,15,759,12058
AL,4855,20,375,4662
AL,4859,36,297,7312
AL,4861,8,85,9449
AL,4862,30,364,47846
AL,4869,7,61,5759
AL,4872,38,61,3145
AL,4881,100,5764,439849
AL,4882,49,1298,50225
AL,4883,59,1568,108809
AL,4884,190,1297,49035
AL,4885,211,2302,136871
AL,4889,9,280,10858
AL,4921,150,7475,322999
AL,4922,34,1538,42844
AL,4931,250,17435,687970
AL,5111,193,4863,280220
AL,5112,106,3110,316679
AL,5121,100,1819,36256
AL,5122,13,31,2113
AL,5151,147,2348,125888
