State,Naics,Establishments,Employees,Payroll
AL,1131,49,59,2279
AL,1132,7,0,0
AL,1133,530,3906,157765
AL,1141,16,13,670
AL,1142,9,0,0
AL,1151,42,152,8136
AL,1152,42,130,3668
AL,1153,119,498,18456
AL,2111,28,145,12582
AL,2121,27,1779,144158
AL,2122,3,0,0
AL,2123,87,795,47531
AL,2131,55,942,58176
AL,2211,247,172,18009
AL,2212,29,0,0
AL,2213,75,222,10624
AL,2361,1381,5879,294208
AL,2362,661,14832,918377
AL,2371,255,4038,219738
AL,2372,98,391,20414
AL,2373,176,3729,179904
AL,2379,86,679,28987
AL,2381,868,7470,314599
AL,2382,2282,25500,1163575
AL,2383,880,6589,268787
AL,2389,730,7592,346454
AL,3111,37,189,10061
AL,3112,13,341,18851
AL,3113,15,22,348
AL,3114,7,0,0
AL,3115,8,0,0
AL,3116,75,11926,338664
AL,3117,20,395,12066
AL,3118,78,701,34755
AL,3119,28,1505,72531
AL,3121,41,774,61471
AL,3122,1,0,0
AL,3131,7,0,0
AL,3132,11,0,0
AL,3133,7,0,0
AL,3141,25,42,1302
AL,3149,59,156,4944
AL,3151,17,1136,27088
AL,3152,23,0,0
AL,3159,4,0,0
AL,3161,2,0,0
AL,3169,10,22,467
AL,3211,98,2502,110978
AL,3212,46,647,26415
AL,3219,187,5938,196703
AL,3221,17,0,0
AL,3222,40,1410,70111
AL,3231,336,2994,111429
AL,3241,30,1635,143535
AL,3251,56,3154,302436
AL,3252,29,2118,179150
AL,3253,22,212,13088
AL,3254,16,62,6597
AL,3255,27,308,20044
AL,3256,14,0,0
AL,3259,26,24,1376
AL,3261,135,7489,352736
AL,3262,43,566,20834
AL,3271,24,423,26411
AL,3272,12,0,0
AL,3273,167,1823,95632
AL,3274,9,426,32119
AL,3279,57,287,14589
AL,3311,17,937,75958
AL,3312,20,0,0
AL,3313,18,0,0
AL,3314,18,605,29636
AL,3315,36,3002,155964
AL,3321,35,700,29883
AL,3322,9,0,0
AL,3323,313,7851,369386
AL,3324,25,110,5319
AL,3325,7,0,0
AL,3326,11,106,4563
AL,3327,346,4584,210652
AL,3328,63,905,45763
AL,3329,84,2354,112514
AL,3331,23,0,0
AL,3332,27,46,2753
AL,3333,24,102,6230
AL,3334,21,0,0
AL,3335,56,824,33274
AL,3336,16,28,1793
AL,3339,89,2196,121114
AL,3341,8,62,3922
AL,3342,17,0,0
AL,3343,1,0,0
AL,3344,30,1173,45973
AL,3345,34,222,12044
AL,3346,3,0,0
AL,3351,9,0,0
AL,3352,3,0,0
AL,3353,28,607,38374
AL,3359,25,0,0
AL,3361,5,0,0
AL,3362,51,930,40304
AL,3363,145,20787,946896
AL,3364,31,2556,157483
AL,3365,8,0,0
AL,3366,43,5863,335359
AL,3369,15,27,1250
AL,3371,207,4889,166889
AL,3372,35,197,7046
AL,3379,9,0,0
AL,3391,116,1534,66587
AL,3399,149,2113,89946
AL,4231,416,5758,276674
AL,4232,91,557,34484
AL,4233,329,3277,187874
AL,4234,312,3596,252045
AL,4235,200,3049,185839
AL,4236,371,4133,293537
AL,4237,290,3694,245188
AL,4238,880,10148,606175
AL,4239,409,4006,176413
AL,4241,112,970,49138
AL,4242,70,821,113915
AL,4243,62,341,13158
AL,4244,332,9101,432301
AL,4245,45,119,6068
AL,4246,136,941,57751
AL,4247,152,950,51818
AL,4248,45,1975,87283
AL,4249,271,3279,128885
AL,4251,636,3401,176842
AL,4411,917,18329,913592
AL,4412,223,2057,85436
AL,4413,1215,9795,263550
AL,4421,479,3300,103757
AL,4422,410,3073,72599
AL,4431,595,5247,190504
AL,4441,964,18565,528712
AL,4442,373,2516,72434
AL,4451,1028,31843,623325
AL,4452,207,1321,22294
AL,4453,357,1035,24742
AL,4461,1745,18148,578588
AL,4471,3128,17848,325203
AL,4481,1545,17058,229911
AL,4482,398,3295,46375
AL,4483,262,1355,39175
AL,4511,468,6418,116589
AL,4512,124,1355,18720
AL,4521,115,9160,174744
AL,4529,1374,42387,997814
AL,4531,227,707,12060
AL,4532,372,2547,46722
AL,4533,338,2624,42732
AL,4539,544,2815,67092
AL,4541,245,1630,68020
AL,4542,66,128,3427
AL,4543,372,1507,53622
AL,4811,17,383,27571
AL,4812,19,39,3077
AL,4831,6,195,14618
AL,4832,11,50,2696
AL,4841,952,15622,677783
AL,4842,815,8186,330424
AL,4851,2,0,0
AL,4852,4,0,0
AL,4853,32,111,2018
AL,4854,14,0,0
