Zip,Naics,Establishments,Employees,Payroll
57533,722,5,1,0
57533,811,5,1,0
57533,811,4,210,0
57533,813,5,1,0
57533,813,3,220,0
57601,445,5,1,0
57601,446,3,1,0
57601,446,3,220,0
57601,447,5,1,0
57601,447,3,210,0
57601,452,3,1,0
57601,453,5,1,0
57601,453,4,210,0
57601,454,5,1,0
57701,311,3,1,0
57701,312,5,1,0
57701,312,3,220,0
57701,314,3,1,0
57701,321,6,1,0
57701,323,4,1,0
57701,323,3,210,0
57701,332,8,1,0
57701,332,6,210,0
57701,523,31,1,0
57701,523,22,210,0
57701,523,6,220,0
57701,524,35,1,0
57701,524,22,210,0
57701,524,6,220,0
57701,524,4,241,0
57701,722,185,1,0
57701,722,35,210,0
57701,722,25,220,0
57701,722,43,230,0
57701,722,62,241,0
57701,722,17,242,0
57701,722,3,251,0
57702,451,3,220,0
57702,453,17,1,0
57702,453,10,210,0
57702,453,6,220,0
57702,454,11,1,0
57702,454,11,210,0
57702,811,41,1,0
57702,811,28,210,0
57702,811,10,220,0
57709,238,8,1,0
57709,238,3,210,0
57709,423,3,1,0
57709,561,5,1,0
57709,561,3,210,0
57709,624,3,1,0
57709,813,8,1,0
57709,813,7,210,0
57718,561,15,1,0
57718,561,15,210,0
57718,621,4,1,0
57718,621,4,210,0
57718,624,5,1,0
57718,624,3,210,0
57718,713,5,1,0
57718,722,8,1,0
57718,722,6,210,0
57732,541,8,1,0
57732,541,7,210,0
57732,561,9,1,0
57732,561,9,210,0
57732,621,3,1,0
57732,624,3,1,0
57732,711,3,1,0
57732,712,6,1,0
57732,712,3,210,0
57751,721,18,1,0
57751,721,15,210,0
57751,722,17,1,0
57751,722,13,210,0
57751,722,3,220,0
57783,321,3,1,0
57783,323,3,1,0
57783,326,3,1,0
57783,327,4,1,0
57783,423,6,1,0
57783,423,4,210,0
57783,424,5,1,0
57783,424,4,210,0
57783,441,20,1,0
57783,812,21,1,0
57783,812,14,210,0
57783,812,6,220,0
57783,813,33,1,0
57001,621,5,1,0
57001,621,3,210,0
57001,722,4,1,0
57001,722,4,210,0
57001,813,7,1,0
57001,813,6,210,0
57002,236,3,1,0
57002,238,5,1,0
57002,238,3,210,0
57002,484,4,1,0
57002,484,3,210,0
57006,237,6,1,0
57006,238,43,1,0
57006,238,21,210,0
57006,238,15,220,0
57006,238,3,230,0
57006,238,4,241,0
57006,722,63,1,0
57006,722,14,210,0
57006,722,10,220,0
57006,722,17,230,0
57006,722,18,241,0
57006,722,4,242,0
57022,722,7,1,0
57022,722,3,220,0
57022,811,10,1,0
57022,811,10,210,0
57022,813,6,1,0
57022,813,4,220,0
