Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,236,8935,4323,75392,36278,17883,32550,29467,55365,22869,91678,11083,129401,31163,319212,35668,50
2018,318,12077,4724,80022,39052,19892,38676,29925,58617,24412,90742,11608,132341,32900,320904,36759,105
2019,258,12847,4671,88067,40469,20252,38714,30420,59396,26814,96485,13034,136896,34366,327079,36676,84
2020,247,12923,4681,91043,38575,19396,37506,31435,58853,26308,92205,14141,142409,34409,324645,37461,167
2021,267,13512,4505,92771,37548,18055,39277,27765,60919,19211,78559,14058,142611,25565,247507,34964,201
