,fips,relevant_naics,YEAR,estab,emp,payann
1,32,11,2018,46,318,15094
3,32,21,2018,161,12077,1204351
5,32,22,2018,120,4724,530769
7,32,23,2018,5139,80022,4755318
9,32,42,2018,3044,39052,2511678
11,32,51,2018,1415,19892,1280833
13,32,52,2018,4199,38676,2752932
15,32,53,2018,4809,29925,1466752
17,32,54,2018,9139,58617,3876717
19,32,55,2018,467,24412,2297729
21,32,56,2018,4468,90742,2951386
23,32,61,2018,825,11608,440082
25,32,62,2018,7661,132341,7190517
27,32,71,2018,1694,32900,1111727
29,32,72,2018,6943,320904,9847960
31,32,81,2018,4841,36759,1209075
33,32,99,2018,89,105,4278
