	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	estab_agg	estab_api
0	8	999	Statewide	11	Fishing	8	1141	4.0	3.0
1	8	999	Statewide	11	Forest nurseries and gathering of forest products	8	1132	2.0	1.2
7	8	999	Statewide	11	Timber tract operations	8	1131	4.0	2.75
29	8	999	Statewide	31	Apparel knitting mills	8	3151	4.0	2.2
43	8	999	Statewide	31	Seafood product preparation and packaging	8	3117	3.2	2.6
47	8	999	Statewide	31	Tobacco manufacturing	8	3122	1.0	1.0
53	8	999	Statewide	32	Lime and gypsum product manufacturing	8	3274	5.6	4.6
158	8	999	Statewide	48	Deep sea, coastal, and great lakes water transportation	8	4831	2.0	1.5
161	8	999	Statewide	48	Inland water transportation	8	4832	4.0	1.8
178	8	999	Statewide	48	Support activities for water transportation	8	4883	2.0	1.5
200	8	999	Statewide	52	Monetary authorities - central bank	8	5211	1.0	1.0
