,fips,relevant_naics,estab,emp,payann
1,30,114111,4,6,252
3,30,114210,3,2,35
5,30,113310,155,531,23818
6,30,115114,3,6,124
8,30,115112,18,19,2116
10,30,115210,38,128,3127
12,30,115310,30,35,4622
14,30,212111,4,618,53041
17,30,211120,50,472,50738
19,30,213111,7,49,3863
22,30,211130,4,84,11490
24,30,213112,130,699,66565
26,30,221122,75,1651,150035
28,30,221111,7,63,4672
30,30,221210,6,103,5688
32,30,221310,12,12,230
34,30,238990,267,1139,54595
36,30,236220,157,2114,141959
38,30,238310,155,753,29731
40,30,238210,456,2718,148732
42,30,238350,224,523,18808
44,30,238330,97,247,8638
46,30,238130,127,476,18198
48,30,238150,24,167,8225
50,30,237310,63,1319,112027
52,30,236210,4,181,12680
54,30,237210,28,49,2527
56,30,238140,106,468,24390
58,30,236117,119,283,15457
60,30,236116,5,10,627
62,30,236115,894,2451,106849
64,30,237120,15,229,20799
66,30,238290,29,158,13598
68,30,238390,14,36,2094
70,30,238190,28,314,25244
72,30,237990,22,781,76235
74,30,238320,207,742,29612
76,30,238220,604,3307,171019
78,30,238110,182,960,64850
80,30,237130,33,472,43634
82,30,236118,581,1288,45093
84,30,238160,104,441,20746
86,30,238170,77,253,8409
88,30,238910,392,2044,135340
90,30,238120,8,79,4668
92,30,238340,55,173,6936
94,30,237110,94,565,43361
96,30,314999,11,161,3806
99,30,312120,57,651,15517
101,30,312140,7,21,655
102,30,311511,3,105,6296
104,30,316110,3,13,312
106,30,311612,10,44,1233
108,30,311119,3,21,653
110,30,311811,6,69,1304
112,30,314910,3,104,5587
113,30,312130,3,3,68
115,30,321999,9,33,992
117,30,326199,4,62,2153
119,30,323111,54,489,19679
121,30,323113,11,78,2181
123,30,321912,11,127,4739
125,30,327991,10,178,7776
127,30,327390,6,63,2522
130,30,325320,3,49,3117
132,30,324110,3,1203,137583
134,30,325412,3,179,8653
136,30,321992,6,65,2354
138,30,327320,6,69,4511
141,30,321113,10,492,23959
143,30,323120,3,4,71
144,30,325620,3,14,278
146,30,321214,6,88,3361
148,30,321911,3,30,978
150,30,335999,3,204,10113
152,30,332999,8,55,2537
154,30,337212,10,59,2433
156,30,339114,3,156,7136
158,30,339116,24,90,3332
161,30,332312,13,390,19700
163,30,332710,42,374,18858
165,30,332812,3,10,278
166,30,336991,3,20,734
168,30,339992,4,58,2766
170,30,337122,15,83,2658
172,30,332323,14,67,2766
174,30,332721,8,70,2946
177,30,339950,23,122,5543
179,30,332992,4,19,822
181,30,332994,16,242,10957
183,30,339920,16,253,12822
186,30,337110,36,144,5563
188,30,423110,18,214,11764
190,30,424810,3,123,6869
192,30,423320,12,79,7027
194,30,423430,6,28,1535
196,30,423810,35,655,49750
198,30,424210,25,136,5893
200,30,423610,45,344,20267
202,30,423820,59,685,39553
204,30,424910,76,518,28597
206,30,424480,3,14,457
208,30,423210,4,7,205
209,30,424410,3,502,37101
211,30,424510,36,241,14921
213,30,423220,8,43,2231
215,30,423830,73,538,32546
217,30,423840,22,170,7770
219,30,423940,3,3,65
221,30,423310,44,667,35062
224,30,423450,34,116,10210
226,30,424320,3,103,4775
228,30,423510,10,149,7775
230,30,423140,3,16,570
232,30,423120,29,437,22061
234,30,423420,25,132,7409
236,30,424690,16,140,8306
238,30,423440,8,53,1897
240,30,423390,15,147,7564
242,30,423690,6,44,2391
244,30,424490,45,919,35512
246,30,423990,12,72,3490
248,30,424990,8,44,2709
250,30,423490,6,26,2123
252,30,424420,3,303,17888
254,30,424710,21,366,22316
256,30,423720,24,667,25742
258,30,423930,12,131,8554
260,30,423330,10,79,4699
262,30,423850,7,58,2487
264,30,423910,13,133,4879
266,30,424120,3,22,779
268,30,423920,3,9,360
270,30,423730,20,160,11694
272,30,425120,160,847,33209
274,30,446199,27,94,3475
276,30,442299,61,406,7452
278,30,445299,22,184,3335
280,30,441310,168,1312,40839
282,30,445310,49,392,8422
284,30,441222,6,48,1433
286,30,448130,6,38,527
288,30,448150,10,25,479
290,30,445292,7,37,511
291,30,445120,3,5,92
293,30,446120,25,342,5445
295,30,443142,75,511,13890
297,30,448140,79,1213,17795
299,30,442210,59,477,23789
301,30,446191,42,198,4249
303,30,442110,82,680,24327
305,30,447110,390,4390,92277
307,30,444130,75,1067,29067
309,30,444110,17,1537,42558
311,30,443141,29,257,8758
313,30,448310,65,333,9769
315,30,445210,6,20,505
317,30,448110,4,22,423
319,30,441228,62,569,22284
321,30,441110,103,4113,200534
323,30,444220,89,1208,39276
325,30,446130,25,169,3930
327,30,444190,201,1843,83639
329,30,448190,33,188,3735
331,30,447190,58,625,15603
334,30,444120,26,153,6642
336,30,446110,74,1066,42673
338,30,441210,19,675,31457
340,30,448210,45,275,4637
342,30,445110,216,8722,216663
344,30,441320,95,934,40104
346,30,441120,79,303,13128
348,30,448120,81,551,9060
350,30,452319,32,474,6691
352,30,453998,95,397,12405
354,30,453920,41,97,2830
356,30,451211,21,250,4646
358,30,452210,20,1358,24801
360,30,454110,158,615,25393
362,30,453110,30,216,3445
364,30,454310,25,159,6522
366,30,453220,107,611,15376
368,30,451120,38,437,7645
370,30,453930,8,62,3132
372,30,451140,10,77,2116
374,30,453210,24,275,7646
376,30,454390,141,483,18472
378,30,453910,24,299,7098
380,30,451130,35,260,3613
382,30,451110,170,2297,50693
384,30,453991,27,137,2916
386,30,453310,112,804,14073
388,30,454210,4,4,97
390,30,452311,26,5495,177281
391,30,485999,5,2,75
393,30,488510,72,381,21538
395,30,484110,88,520,21279
397,30,484122,46,654,40026
399,30,484121,220,1342,58129
401,30,488410,51,231,7930
403,30,481211,7,9,762
405,30,488119,7,289,9656
407,30,481219,7,285,23779
409,30,488190,15,58,2399
411,30,488490,9,39,835
413,30,486110,4,32,4151
415,30,486210,3,30,3389
417,30,481111,15,428,12800
419,30,485410,22,488,7886
421,30,484220,274,1028,56884
423,30,484230,81,656,32250
425,30,488210,5,36,1149
427,30,485310,6,60,992
429,30,484210,33,309,11157
431,30,492110,54,1655,75858
433,30,493110,10,184,7292
435,30,492210,7,49,1583
437,30,511130,9,41,1305
439,30,518210,30,733,53185
441,30,519130,12,54,2634
443,30,512110,40,197,9821
445,30,512131,8,126,1641
447,30,511110,17,400,16844
449,30,511120,13,79,3536
451,30,515112,23,244,8652
453,30,511210,31,845,81025
455,30,512191,3,2,46
457,30,515120,8,314,14393
459,30,517311,149,2388,114664
461,30,517312,84,535,25623
463,30,522298,56,340,14450
465,30,524291,18,53,2223
467,30,522110,355,6193,366825
469,30,523140,3,3,234
471,30,522291,28,257,15403
473,30,522130,86,1117,48879
475,30,524114,24,847,78173
477,30,524113,3,22,1413
479,30,524126,24,164,12632
481,30,524127,10,63,3761
483,30,522320,14,87,7834
485,30,524210,681,3054,177718
487,30,523930,54,170,8422
489,30,523910,8,31,3408
491,30,522310,19,41,2772
493,30,522390,6,31,1059
495,30,523920,163,420,49674
497,30,522292,33,350,29268
499,30,522220,9,30,1564
501,30,523120,71,431,81810
503,30,524292,20,882,50189
505,30,523991,3,19,1692
507,30,532289,4,21,552
509,30,532412,20,98,8040
511,30,532210,7,24,561
513,30,532310,15,85,3160
515,30,532283,15,91,3643
517,30,531130,78,207,3701
519,30,533110,10,144,11590
521,30,531120,123,404,11721
523,30,531190,61,128,3518
525,30,531110,274,871,22658
527,30,531312,46,180,6213
529,30,531210,797,963,48390
531,30,531320,88,152,7727
533,30,531390,52,80,4152
535,30,532490,22,91,4923
537,30,532111,48,506,17291
539,30,532284,19,181,2924
541,30,531311,192,943,31706
543,30,532120,8,57,2474
545,30,532282,3,12,221
547,30,541611,283,727,41651
549,30,541810,29,178,9198
551,30,541199,14,81,2997
553,30,541990,51,98,3803
555,30,541310,137,878,63067
557,30,541350,38,195,12639
559,30,541922,13,16,460
561,30,541513,11,81,5393
563,30,541512,94,329,20926
565,30,541511,204,708,42113
567,30,541340,14,17,598
569,30,541330,329,2750,206763
571,30,541620,74,308,18901
573,30,541360,8,64,4912
575,30,541430,44,87,3038
577,30,541612,17,52,2599
579,30,541410,34,97,4317
581,30,541320,13,43,3119
583,30,541613,105,219,13633
585,30,541910,6,14,1237
587,30,541211,291,1718,89219
589,30,541110,685,2633,166181
591,30,541219,203,504,13712
593,30,541519,15,74,3638
595,30,541618,9,21,890
597,30,541690,143,340,27142
599,30,541890,18,223,3753
602,30,541850,3,12,441
604,30,541214,16,352,7906
606,30,541921,45,86,2252
608,30,541614,18,26,2072
610,30,541820,17,39,2078
611,30,541714,3,3,127
613,30,541713,7,38,2438
615,30,541715,38,421,27663
617,30,541720,17,115,7129
619,30,541370,45,132,7284
621,30,541213,68,438,6469
623,30,541380,26,284,14136
625,30,541191,20,68,3257
627,30,541940,191,1630,53790
629,30,551114,97,2965,216910
631,30,551112,6,7,274
633,30,561499,10,37,937
635,30,561990,69,587,25058
637,30,561599,3,45,2021
639,30,561740,45,203,6613
641,30,561440,8,102,4874
643,30,561920,9,52,3485
645,30,561492,13,22,847
647,30,561410,14,37,1111
649,30,561311,7,111,2334
651,30,561710,18,54,2834
654,30,561611,7,21,997
656,30,561720,352,2246,36690
658,30,561730,551,1605,64830
660,30,561622,8,19,530
662,30,561110,101,814,37269
664,30,561439,3,26,1011
666,30,561790,34,104,3684
668,30,561431,21,110,3386
669,30,561330,3,185,7415
671,30,562910,17,178,11802
673,30,561612,15,372,9622
675,30,561621,18,164,9685
677,30,562991,28,76,2813
679,30,562111,15,254,13424
682,30,561422,4,70,1544
684,30,561320,67,2483,52964
686,30,561520,8,8,458
688,30,561510,30,191,8682
690,30,611699,31,152,3427
692,30,611513,6,15,854
694,30,611310,6,435,11440
695,30,611511,3,17,567
697,30,611710,27,79,1945
699,30,611110,69,1742,44393
701,30,611691,15,89,1284
703,30,611610,49,249,2089
705,30,611519,11,92,2547
707,30,611430,12,75,4770
709,30,611620,64,611,5874
711,30,621999,15,164,5395
713,30,621498,38,587,28862
715,30,621910,28,461,18662
717,30,623312,82,1890,40730
719,30,621991,3,141,4907
721,30,624110,56,415,12156
723,30,624410,424,3158,53058
725,30,624210,21,129,2707
727,30,623311,17,1334,33479
729,30,621512,8,58,4677
731,30,621410,3,29,961
