Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
30566,00,41,230,0,2
30566,00,228,001,226804,2
30566,00,105,210,0,2
30566,00,38,220,0,2
30566,00,30,241,0,2
30566,00,6,242,0,2
30566,00,4,251,0,2
30566,23,26,001,0,2
30566,23,20,210,0,2
30566,23,3,230,0,2
30566,31-33,11,001,0,2
30566,31-33,3,210,0,2
30566,31-33,3,241,0,2
30566,42,13,001,0,2
30566,42,4,210,0,2
30566,42,3,241,0,2
30566,44-45,32,001,0,2
30566,44-45,14,210,0,2
30566,44-45,7,220,0,2
30566,44-45,6,230,0,2
30566,48-49,12,001,0,2
30566,48-49,6,210,0,2
30566,48-49,3,220,0,2
30566,51,6,001,0,2
30566,51,5,210,0,2
30566,52,20,001,0,2
30566,52,10,210,0,2
30566,52,6,220,0,2
30566,52,4,230,0,2
30566,53,12,001,0,2
30566,53,10,210,0,2
30566,54,11,001,0,2
30566,54,5,210,0,2
30566,54,4,230,0,2
30566,55,4,001,0,2
30566,56,12,001,0,2
30566,56,6,210,0,2
30566,56,3,241,0,2
30566,62,23,001,0,2
30566,62,8,210,0,2
30566,62,3,220,0,2
30566,62,8,230,0,2
30566,62,3,241,0,2
30566,71,3,001,0,2
30566,72,23,001,0,2
30566,72,3,210,0,2
30566,72,3,220,0,2
30566,72,5,230,0,2
30566,72,11,241,0,2
30566,81,17,001,0,2
30566,81,7,210,0,2
30566,81,8,220,0,2
