Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
90623,00,57,220,0,2
90623,00,360,1,419427,2
90623,00,202,210,0,2
90623,00,33,230,0,2
90623,00,45,241,0,2
90623,00,13,242,0,2
90623,00,6,251,0,2
90623,23,9,1,0,2
90623,23,3,210,0,2
90623,31-33,11,1,0,2
90623,31-33,4,210,0,2
90623,42,27,1,0,2
90623,42,19,210,0,2
90623,42,5,241,0,2
90623,44-45,18,210,0,2
90623,44-45,32,1,0,2
90623,44-45,6,220,0,2
90623,44-45,4,230,0,2
90623,44-45,3,242,0,2
90623,48-49,16,1,0,2
90623,48-49,11,210,0,2
90623,51,5,1,0,2
90623,51,3,210,0,2
90623,52,30,1,0,2
90623,52,17,210,0,2
90623,52,5,220,0,2
90623,52,4,230,0,2
90623,52,3,241,0,2
90623,53,12,1,0,2
90623,53,8,210,0,2
90623,54,50,1,0,2
90623,54,33,210,0,2
90623,54,6,220,0,2
90623,54,4,230,0,2
90623,54,3,241,0,2
90623,55,6,1,0,2
90623,56,14,1,0,2
90623,56,6,210,0,2
90623,56,5,220,0,2
90623,56,3,241,0,2
90623,61,9,1,0,2
90623,61,7,210,0,2
90623,62,75,1,0,2
90623,62,41,210,0,2
90623,62,16,220,0,2
90623,62,5,230,0,2
90623,62,10,241,0,2
90623,71,4,1,0,2
90623,71,4,210,0,2
90623,72,41,1,0,2
90623,72,16,210,0,2
90623,72,8,220,0,2
90623,72,9,230,0,2
90623,72,6,241,0,2
90623,81,19,1,0,2
90623,81,11,210,0,2
90623,81,3,220,0,2
90623,81,4,241,0,2
