,relevant_naics,estab,emp,payann,fips
27855,61,4,82,2233,28133
27856,62,47,1334,49643,28133
27857,71,3,35,546,28133
27858,72,37,560,6398,28133
27859,81,52,237,5144,28133
27861,11,8,39,2460,28133
27862,22,4,25,1926,28133
27863,23,24,109,4578,28133
27864,42,24,415,15972,28133
27866,11,9,16,614,28003
27867,22,4,92,5318,28003
27868,23,39,367,11439,28003
27869,54,43,767,36416,28003
27870,56,19,684,33687,28003
27871,42,38,550,26972,28003
27872,61,8,46,700,28003
27873,62,104,2638,94286,28003
27874,52,33,165,9028,28025
27875,53,11,26,500,28025
27876,54,22,265,14621,28025
27877,56,10,30,351,28025
27878,62,28,633,24936,28025
27879,71,5,152,3619,28025
27880,72,38,638,7637,28025
27881,81,47,267,5363,28025
27883,11,3,0,0,28025
27884,22,4,23,1165,28025
27885,23,20,123,4317,28025
27886,42,13,155,6797,28025
27887,51,6,26,894,28025
27889,11,4,10,230,28031
27890,21,3,14,305,28031
27891,22,3,12,468,28031
27892,23,31,278,11282,28031
27893,51,7,32,1562,28031
27894,52,24,108,4530,28031
27895,81,47,173,4342,28031
27896,53,4,27,835,28031
27897,54,14,41,1357,28031
27898,42,12,77,3693,28031
27899,56,6,14,276,28031
27900,62,23,461,19168,28031
27901,71,3,16,636,28031
27902,72,26,362,5339,28031
27903,71,11,81,1305,28003
27904,72,74,1373,19539,28003
27905,81,84,400,8515,28003
27906,51,15,185,6199,28003
27907,52,70,299,14632,28003
27908,53,20,287,6562,28003
27910,11,6,24,1095,28053
27911,23,14,40,1042,28053
27912,42,7,39,1786,28053
27913,51,4,15,809,28053
27914,52,11,115,6390,28053
27915,53,5,8,179,28053
27916,54,4,4,168,28053
27917,56,4,11,89,28053
27918,61,3,0,0,28053
27919,62,15,166,4650,28053
27920,72,5,121,1009,28053
27921,81,18,53,732,28053
27922,71,43,800,15904,28033
27924,11,3,0,0,28033
27925,22,12,185,13461,28033
27926,53,116,408,17505,28033
27927,72,359,8548,116038,28033
27928,54,186,1007,36916,28033
27929,81,276,2101,50743,28033
27930,55,8,51,2871,28033
27931,56,148,4395,109469,28033
27932,61,36,632,15639,28033
27933,62,285,5781,261721,28033
27934,23,195,1967,90892,28033
27935,51,37,345,13095,28033
27936,42,135,4404,218898,28033
27937,52,208,1107,60668,28033
