Naics,Establishments,Employees,Payroll,fips
113310,11,84,3065,28037
238210,3,8,274,28037
447110,6,29,574,28037
452319,4,30,570,28037
484220,6,14,586,28037
517312,3,92,3890,28037
522110,4,38,1907,28037
813110,21,35,419,28037
115112,4,18,1060,28027
221310,3,8,215,28027
238220,3,12,518,28027
238910,4,8,438,28027
423820,7,110,5389,28027
424710,3,8,296,28027
424910,5,64,3685,28027
441310,6,37,902,28027
441320,3,27,1194,28027
442110,6,27,665,28027
445110,6,30,632,28027
445120,5,14,164,28027
445310,4,12,192,28027
446110,7,50,1671,28027
447110,14,176,1550,28027
447190,4,34,760,28027
448120,4,22,264,28027
448140,5,36,545,28027
452319,8,104,1152,28027
481219,3,2,74,28027
484121,3,11,413,28027
484220,4,4,275,28027
517311,5,10,540,28027
522110,13,105,7325,28027
522291,4,13,461,28027
522298,3,25,806,28027
522390,7,12,385,28027
523920,3,8,1798,28027
524210,12,36,1885,28027
531110,17,40,918,28027
531210,5,20,926,28027
541110,13,72,5556,28027
541211,4,19,1348,28027
561730,3,8,76,28027
611110,7,130,3792,28027
621111,24,185,17078,28027
621210,7,43,2321,28027
621498,4,63,2742,28027
621910,4,46,2519,28027
623110,3,190,5452,28027
623312,3,71,1098,28027
624120,4,137,2246,28027
624229,3,8,140,28027
624410,7,161,2754,28027
713990,4,6,147,28027
721110,6,28,370,28027
721191,3,5,197,28027
722310,4,39,756,28027
722511,14,147,2167,28027
722513,16,312,3675,28027
812112,3,10,105,28027
812210,3,11,230,28027
812320,3,18,223,28027
813110,20,100,1358,28027
113310,3,21,662,28061
221310,7,16,548,28061
113310,4,16,485,28017
238910,4,10,330,28017
321113,3,28,646,28017
321912,3,32,842,28017
337121,6,2730,75207,28017
425120,3,11,183,28017
441120,6,22,441,28017
441310,7,28,605,28017
441320,3,10,218,28017
442110,4,17,206,28017
445110,4,144,2512,28017
446110,5,34,1114,28017
447110,15,114,2009,28017
332710,3,385,12707,28061
423830,3,10,549,28061
424490,3,4,54,28061
445110,3,64,1048,28061
446110,3,18,1215,28061
447110,13,103,2489,28061
452319,8,57,923,28061
484220,5,83,4006,28061
517311,4,96,5007,28061
522110,6,67,2659,28061
541110,8,17,408,28061
551114,4,53,2895,28061
611110,3,92,1737,28061
722511,4,37,335,28061
722513,4,90,1000,28061
812210,4,81,3259,28061
448120,3,9,121,28017
452319,9,76,977,28017
484110,4,13,528,28017
484121,13,85,3902,28017
484220,4,4,63,28017
522110,7,64,2630,28017
522291,4,11,473,28017
522390,3,6,151,28017
524210,8,16,517,28017
541110,4,7,172,28017
541211,4,45,1965,28017
561730,4,6,156,28017
621111,7,45,2531,28017
621210,5,24,831,28017
624410,4,24,212,28017
722514,3,5,74,28017
722511,7,49,610,28017
722513,7,154,1915,28017
813110,17,52,622,28061
113310,6,32,1436,28067
115310,4,6,154,28067
211120,6,57,5955,28067
213111,7,186,11697,28067
213112,23,253,13283,28067
221122,3,120,9026,28067
221310,12,41,1342,28067
236115,5,10,317,28067
236220,11,121,6326,28067
237110,3,33,861,28067
237120,6,183,13260,28067
237310,5,384,18159,28067
238210,18,130,5488,28067
238220,16,118,5186,28067
811111,3,5,104,28017
811121,3,7,296,28017
812210,3,17,237,28017
