Zip Code,naics,Establishments,Employees,Payroll,IND Level
48906,54,72,001,0,2
48906,54,38,210,0,2
48906,54,18,220,0,2
48906,54,9,230,0,2
48906,54,6,241,0,2
48906,55,7,001,0,2
48906,56,40,001,0,2
48906,56,16,210,0,2
48906,56,7,220,0,2
48906,56,10,241,0,2
48906,61,9,001,0,2
48906,61,3,210,0,2
48906,61,3,230,0,2
48906,62,33,001,0,2
48906,62,14,210,0,2
48906,62,7,220,0,2
48906,62,4,230,0,2
48906,62,3,241,0,2
48906,71,7,001,0,2
48906,71,4,210,0,2
48906,72,42,001,0,2
48906,72,11,210,0,2
48906,72,11,220,0,2
48906,72,9,230,0,2
48906,72,10,241,0,2
48906,81,89,001,0,2
48906,81,41,210,0,2
48906,81,21,220,0,2
48906,81,15,230,0,2
48906,81,10,241,0,2
48906,00,645,001,554343,2
48906,00,287,210,0,2
48906,00,139,220,0,2
48906,00,99,230,0,2
48906,00,79,241,0,2
48906,00,19,242,0,2
48906,00,15,251,0,2
48906,00,4,252,0,2
48906,23,69,001,0,2
48906,23,32,210,0,2
48906,23,14,220,0,2
48906,23,11,230,0,2
48906,23,7,241,0,2
48906,23,3,242,0,2
48906,31-33,37,001,0,2
48906,31-33,9,210,0,2
48906,31-33,5,220,0,2
48906,31-33,4,230,0,2
48906,31-33,9,241,0,2
48906,31-33,4,242,0,2
48906,31-33,4,251,0,2
48906,42,51,001,0,2
48906,42,16,210,0,2
48906,42,11,220,0,2
48906,42,14,230,0,2
48906,42,8,241,0,2
48906,44-45,105,001,0,2
48906,44-45,53,210,0,2
48906,44-45,26,220,0,2
48906,44-45,19,230,0,2
48906,44-45,5,241,0,2
48906,48-49,26,001,0,2
48906,48-49,11,210,0,2
48906,48-49,4,220,0,2
48906,48-49,5,230,0,2
48906,48-49,3,241,0,2
48906,51,20,001,0,2
48906,51,13,210,0,2
48906,51,3,220,0,2
48906,52,12,001,0,2
48906,52,8,210,0,2
48906,53,24,001,0,2
48906,53,15,210,0,2
48906,53,6,220,0,2
48906,53,3,241,0,2
