Zip Code,naics,Establishments,Employees,Payroll,IND Level
53094,48-49,17,001,0,2
53094,48-49,8,210,0,2
53094,48-49,4,230,0,2
53094,51,11,001,0,2
53094,51,7,210,0,2
53094,51,3,220,0,2
53094,52,44,001,0,2
53094,52,28,210,0,2
53094,52,13,220,0,2
53094,52,3,230,0,2
53094,53,11,001,0,2
53094,53,6,210,0,2
53094,54,25,001,0,2
53094,54,17,210,0,2
53094,54,4,220,0,2
53094,54,3,230,0,2
53094,55,4,001,0,2
53094,56,26,001,0,2
53094,56,19,210,0,2
53094,56,4,241,0,2
53094,61,6,001,0,2
53094,62,67,001,0,2
53094,62,35,210,0,2
53094,62,13,220,0,2
53094,62,12,230,0,2
53094,62,7,241,0,2
53094,71,9,001,0,2
53094,71,3,210,0,2
53094,71,3,220,0,2
53094,72,53,001,0,2
53094,72,9,210,0,2
53094,72,14,220,0,2
53094,72,16,230,0,2
53094,72,13,241,0,2
53094,81,67,001,0,2
53094,81,36,210,0,2
53094,81,16,220,0,2
53094,81,8,230,0,2
53094,81,5,241,0,2
53094,00,529,001,319540,2
53094,00,249,210,0,2
53094,00,106,220,0,2
53094,00,79,230,0,2
53094,00,62,241,0,2
53094,00,13,242,0,2
53094,00,17,251,0,2
53094,00,3,252,0,2
53094,23,51,001,0,2
53094,23,31,210,0,2
53094,23,9,220,0,2
53094,23,6,230,0,2
53094,23,5,241,0,2
53094,31-33,38,001,0,2
53094,31-33,12,210,0,2
53094,31-33,6,230,0,2
53094,31-33,3,241,0,2
53094,31-33,5,242,0,2
53094,31-33,11,251,0,2
53094,42,21,001,0,2
53094,42,8,210,0,2
53094,42,4,220,0,2
53094,42,3,242,0,2
53094,44-45,76,001,0,2
53094,44-45,27,210,0,2
53094,44-45,20,220,0,2
53094,44-45,13,230,0,2
53094,44-45,12,241,0,2
53094,44-45,3,242,0,2
