Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,1218,15406,9693,160628,98763,90866,112671,47106,184717,63763,163211,50774,314396,56698,290908,110036,175
2018,1583,19945,9970,170973,102130,94664,112721,47981,192028,60874,163054,52261,317525,58508,298734,111651,205
2019,1624,20837,9331,174636,101596,93931,115099,48041,196696,63268,162861,52879,320521,58976,305295,113582,182
2020,1822,19965,9016,180490,100392,94206,118645,52010,207547,54320,161151,55614,330116,58192,300572,115014,261
2021,1863,15547,9203,178464,98464,85699,118265,50934,211716,52760,153166,52195,327964,46081,251640,105312,251
