Naics,Establishments,Employees,Payroll,fips
22,3,23,1595,13187
23,62,425,19067,13187
42,21,274,20383,13187
51,7,22,785,13187
52,31,103,6388,13187
53,36,109,2950,13187
54,64,230,9586,13187
56,20,76,2976,13187
61,6,48,730,13187
62,61,853,36425,13187
71,6,41,904,13187
72,56,1231,19101,13187
81,45,178,4955,13187
99,3,10,234,13187
11,3,11,548,13189
23,37,422,22154,13189
42,8,57,2540,13189
51,10,99,6728,13189
52,32,149,7310,13189
53,10,29,1087,13189
54,25,95,3857,13189
56,15,169,4924,13189
71,7,101,1084,13189
81,50,195,5437,13189
62,48,908,28543,13189
72,44,718,9492,13189
11,6,19,795,13201
23,13,66,2557,13201
42,8,166,7207,13201
51,3,13,462,13201
52,9,42,2482,13201
53,3,6,85,13201
54,13,47,1270,13201
62,15,608,26225,13201
11,10,89,4659,13271
23,7,84,4169,13271
42,8,103,6209,13271
51,4,27,1384,13271
52,11,65,2857,13271
54,7,24,706,13271
56,7,404,15693,13271
71,3,9,294,13201
72,9,68,704,13201
81,13,41,1244,13201
62,13,167,5258,13271
72,16,133,1758,13271
81,27,84,2266,13271
11,10,80,5998,13211
23,65,261,15284,13211
42,21,182,10574,13211
22,9,134,16411,13149
11,4,8,418,13149
23,16,185,11756,13149
51,3,7,500,13149
52,5,16,639,13149
53,3,4,53,13149
54,7,17,670,13149
62,3,89,2970,13149
56,5,20,1482,13149
72,6,66,517,13149
81,16,34,1011,13149
51,8,46,2446,13211
52,31,194,14820,13211
53,28,64,2461,13211
54,42,224,12614,13211
56,32,745,27910,13211
23,134,824,43160,13219
61,3,58,645,13211
62,37,482,17870,13211
11,8,24,1933,13219
21,3,16,850,13219
71,13,61,1452,13211
72,53,994,15775,13211
81,52,285,7318,13211
42,33,219,13836,13219
22,6,679,48974,13151
23,358,2386,140449,13151
51,19,205,6785,13219
52,104,509,39699,13219
42,149,2603,183850,13151
53,104,594,53691,13219
54,179,1034,56197,13219
56,98,851,39608,13219
61,25,473,12221,13219
62,182,2119,95982,13219
11,17,252,12696,13095
23,57,227,9984,13111
42,24,164,9072,13111
71,21,160,3556,13219
72,70,1712,22285,13219
81,94,897,23178,13219
51,9,43,1628,13111
52,36,155,7835,13111
53,51,146,5996,13111
54,50,220,8190,13111
56,26,193,6462,13111
61,6,48,1446,13111
62,70,947,42351,13111
71,16,58,3177,13111
51,66,817,33248,13151
72,70,1007,17067,13111
81,65,316,8517,13111
52,232,1327,87792,13151
53,216,726,34325,13151
22,12,167,14855,13095
23,102,1628,93361,13095
42,116,2171,113671,13095
54,356,2098,124630,13151
55,14,406,29150,13151
56,313,3654,117880,13151
61,46,693,18546,13151
62,524,9452,444247,13151
51,34,740,28808,13095
52,146,968,64470,13095
23,173,1573,105159,13153
11,3,23,1130,13153
22,8,221,16377,13153
71,66,979,17312,13151
72,443,8577,122666,13151
42,49,398,17299,13153
81,386,2556,66516,13151
99,11,8,332,13151
53,113,441,16577,13095
54,205,1960,108833,13095
11,9,76,3764,13175
22,4,69,5924,13175
23,88,1002,51474,13175
42,37,428,19330,13175
51,33,406,18448,13153
52,169,1141,70602,13153
55,19,577,40777,13095
56,98,2114,52889,13095
61,19,216,6603,13095
51,17,152,7121,13175
52,72,562,30097,13175
62,327,8693,412313,13095
53,133,487,18788,13153
54,289,4146,276052,13153
53,48,188,6788,13175
54,65,399,23317,13175
55,6,465,12092,13175
56,33,743,21664,13175
61,5,78,2134,13175
