,fips,relevant_naics,YEAR,estab,emp,payann
1,13,1133,2017,419,3117,132328
3,13,1152,2017,50,88,1775
5,13,1151,2017,101,897,40111
7,13,1153,2017,65,311,10850
9,13,1131,2017,4,29,826
11,13,2123,2017,66,2307,150569
13,13,2131,2017,4,0,0
14,13,2211,2017,355,3026,312977
16,13,2212,2017,12,0,0
18,13,2213,2017,40,196,11987
20,13,2382,2017,5142,56153,2997574
22,13,2383,2017,2572,17553,813799
24,13,2381,2017,2129,20765,1039049
26,13,2373,2017,165,6185,363287
28,13,2372,2017,138,447,36963
30,13,2362,2017,1359,18389,1350040
32,13,2379,2017,67,3485,217389
34,13,2389,2017,1576,17086,835844
36,13,2361,2017,3929,15582,1008531
38,13,2371,2017,577,11681,706018
40,13,3111,2017,14,388,17665
42,13,3116,2017,50,13491,440629
44,13,3118,2017,202,8035,351050
46,13,3121,2017,61,1996,97375
48,13,3152,2017,45,266,6765
50,13,3115,2017,7,411,18876
52,13,3132,2017,19,429,22360
54,13,3131,2017,23,2800,112440
56,13,3114,2017,6,27,808
58,13,3112,2017,7,0,0
60,13,3119,2017,47,2042,96526
62,13,3149,2017,90,1738,64280
64,13,3113,2017,19,796,44219
66,13,3133,2017,13,361,15843
68,13,3141,2017,152,18001,777964
70,13,3251,2017,44,1888,160082
72,13,3273,2017,203,4224,194660
74,13,3271,2017,3,112,3808
76,13,3222,2017,79,4239,256641
78,13,3272,2017,12,834,46192
80,13,3274,2017,3,0,0
82,13,3259,2017,51,539,32429
84,13,3279,2017,117,2780,127206
86,13,3219,2017,229,5455,203207
88,13,3255,2017,52,1263,64611
90,13,3253,2017,9,20,4002
92,13,3241,2017,59,413,23285
94,13,3254,2017,35,2492,255682
96,13,3261,2017,229,16099,755719
98,13,3231,2017,673,11363,516198
100,13,3221,2017,6,952,72957
102,13,3252,2017,25,1403,64744
104,13,3262,2017,25,1190,54804
106,13,3211,2017,43,557,23373
108,13,3256,2017,44,1305,66827
110,13,3212,2017,13,481,24593
112,13,3364,2017,17,184,13555
114,13,3331,2017,18,325,19166
116,13,3323,2017,321,9342,433309
118,13,3324,2017,6,551,33711
