Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,1068,639,14814,157183,266685,87674,186133,59994,311914,117452,221469,105566,597670,65544,322495,155833,256
2018,936,966,20357,161062,270958,87023,189923,60999,320699,124954,222145,107859,605200,69048,326887,158387,339
2019,860,962,19729,164405,272543,84046,190779,62423,326978,128303,217040,109189,622345,69136,337558,159460,389
2020,975,1081,18326,165110,263844,83459,194518,64091,328217,127809,214102,111430,624755,67766,333210,155208,421
2021,1002,1191,18037,157653,253841,77420,189608,59037,307119,114305,207347,102131,587054,44993,264511,136963,418
