Year,N113110,N113310,N114111,N114112,N114119,N115112,N115210,N115310,N212321,N221111,N221121,N221122,N221210,N221310,N236115,N236116,N236117,N236118,N236210,N236220,N237110,N237120,N237130,N237210,N237310,N237990,N238110,N238120,N238130,N238140,N238150,N238160,N238170,N238190,N238210,N238220,N238290,N238310,N238320,N238330,N238340,N238350,N238390,N238910,N238990,N311352,N311411,N311421,N311611,N311612,N311710,N311811,N311812,N311920,N311941,N311991,N312111,N312120,N312130,N312140,N313210,N314120,N314910,N314994,N314999,N315990,N316210,N316992,N316998,N321113,N321219,N321912,N321918,N321920,N321992,N321999,N323111,N323113,N324121,N325411,N325412,N325413,N325414,N325620,N326199,N327110,N327215,N327320,N327390,N327991,N332216,N332311,N332312,N332322,N332323,N332710,N332721,N332812,N332813,N332999,N333318,N333415,N333515,N333999,N334413,N334513,N334516,N336611,N336612,N337110,N337121,N337122,N337212,N339113,N339116,N339910,N339920,N339950,N339992,N339999,N423110,N423120,N423130,N423140,N423210,N423220,N423310,N423320,N423330,N423390,N423420,N423430,N423440,N423450,N423490,N423510,N423610,N423690,N423710,N423720,N423730,N423810,N423820,N423830,N423840,N423850,N423860,N423910,N423930,N423940,N423990,N424120,N424130,N424210,N424320,N424330,N424340,N424420,N424430,N424450,N424460,N424470,N424480,N424490,N424610,N424690,N424710,N424720,N424810,N424820,N424910,N424920,N424930,N424990,N425120,N441110,N441120,N441210,N441222,N441228,N441310,N441320,N442110,N442210,N442291,N442299,N443141,N443142,N444110,N444120,N444130,N444190,N444210,N444220,N445110,N445120,N445210,N445220,N445230,N445291,N445292,N445299,N445310,N446110,N446120,N446130,N446191,N446199,N447110,N447190,N448110,N448120,N448130,N448140,N448150,N448190,N448210,N448310,N451110,N451120,N451130,N451140,N451211,N452210,N452311,N452319,N453110,N453210,N453220,N453310,N453910,N453920,N453930,N453991,N453998,N454110,N454210,N454310,N454390,N481111,N481211,N483113,N483114,N483212,N484110,N484121,N484122,N484210,N484220,N484230,N485310,N485320,N485410,N485991,N485999,N487110,N487210,N488119,N488190,N488210,N488310,N488330,N488390,N488410,N488490,N488510,N492110,N492210,N493110,N493190,N511110,N511120,N511130,N511199,N511210,N512110,N512131,N512191,N512240,N515112,N515120,N515210,N517311,N517312,N517911,N517919,N518210,N519120,N519130,N522110,N522120,N522130,N522210,N522220,N522291,N522292,N522298,N522310,N522320,N522390,N523120,N523910,N523920,N523930,N523991,N524113,N524114,N524126,N524127,N524210,N524291,N524292,N524298,N525990,N531110,N531120,N531130,N531190,N531210,N531311,N531312,N531320,N531390,N532111,N532120,N532210,N532283,N532284,N532289,N532310,N532412,N532490,N541110,N541191,N541199,N541211,N541213,N541214,N541219,N541310,N541320,N541330,N541340,N541350,N541370,N541380,N541410,N541430,N541490,N541511,N541512,N541513,N541519,N541611,N541612,N541613,N541614,N541618,N541620,N541690,N541713,N541714,N541715,N541720,N541810,N541820,N541850,N541860,N541890,N541910,N541921,N541922,N541930,N541940,N541990,N551112,N551114,N561110,N561210,N561311,N561312,N561320,N561330,N561410,N561421,N561422,N561431,N561439,N561440,N561492,N561499,N561510,N561520,N561591,N561599,N561611,N561612,N561621,N561622,N561710,N561720,N561730,N561740,N561790,N561920,N561990,N562111,N562211,N562212,N562910,N562920,N562991,N562998,N611110,N611310,N611420,N611430,N611519,N611610,N611620,N611691,N611692,N611699,N611710,N621111,N621112,N621210,N621310,N621320,N621330,N621340,N621391,N621399,N621410,N621420,N621491,N621492,N621493,N621498,N621511,N621512,N621610,N621910,N621999,N622110,N623110,N623210,N623220,N623311,N623312,N623990,N624110,N624120,N624190,N624210,N624221,N624229,N624230,N624310,N624410,N711110,N711130,N711219,N711310,N711320,N711410,N711510,N712110,N712120,N712130,N712190,N713110,N713120,N713290,N713910,N713920,N713930,N713940,N713950,N713990,N721110,N721191,N721199,N721211,N721214,N721310,N722310,N722320,N722330,N722410,N722511,N722513,N722514,N722515,N811111,N811113,N811118,N811121,N811122,N811191,N811192,N811198,N811212,N811219,N811310,N811411,N811412,N811420,N811430,N811490,N812111,N812112,N812113,N812199,N812210,N812220,N812310,N812320,N812332,N812910,N812930,N812990,N813110,N813211,N813212,N813219,N813311,N813312,N813319,N813410,N813910,N813920,N813930,N813940,N813990
2017,3.0,397.0,66.0,383.0,,7.0,10.0,23.0,,23.0,15.0,16.0,3.0,3.0,516.0,,68.0,787.0,,151.0,52.0,4.0,34.0,3.0,59.0,30.0,158.0,9.0,63.0,139.0,15.0,90.0,25.0,23.0,549.0,659.0,25.0,118.0,237.0,63.0,29.0,236.0,30.0,535.0,177.0,7.0,4.0,,3.0,3.0,17.0,46.0,10.0,4.0,3.0,,,42.0,6.0,5.0,5.0,,20.0,3.0,13.0,3.0,6.0,,,51.0,3.0,3.0,13.0,11.0,3.0,19.0,70.0,24.0,,,,,5.0,,18.0,6.0,,10.0,4.0,3.0,,4.0,5.0,18.0,7.0,90.0,12.0,3.0,3.0,7.0,4.0,,,3.0,,4.0,4.0,8.0,60.0,14.0,3.0,17.0,14.0,,14.0,11.0,,31.0,4.0,27.0,29.0,31.0,7.0,8.0,8.0,15.0,21.0,5.0,12.0,8.0,14.0,17.0,9.0,21.0,6.0,16.0,33.0,12.0,5.0,31.0,27.0,29.0,16.0,75.0,35.0,7.0,3.0,13.0,38.0,3.0,36.0,10.0,5.0,18.0,3.0,4.0,3.0,7.0,3.0,8.0,143.0,,15.0,74.0,3.0,18.0,21.0,3.0,10.0,6.0,16.0,7.0,10.0,30.0,114.0,126.0,198.0,12.0,55.0,61.0,232.0,80.0,87.0,46.0,8.0,113.0,34.0,72.0,23.0,24.0,145.0,228.0,30.0,89.0,374.0,197.0,8.0,44.0,4.0,3.0,16.0,18.0,52.0,202.0,27.0,24.0,25.0,34.0,699.0,90.0,13.0,110.0,23.0,134.0,22.0,50.0,82.0,85.0,152.0,49.0,35.0,9.0,27.0,13.0,28.0,236.0,75.0,8.0,234.0,138.0,49.0,55.0,6.0,59.0,106.0,180.0,5.0,280.0,97.0,8.0,3.0,3.0,3.0,,105.0,140.0,36.0,26.0,315.0,65.0,30.0,8.0,20.0,7.0,,12.0,42.0,5.0,8.0,,4.0,9.0,4.0,37.0,11.0,45.0,41.0,3.0,42.0,,52.0,17.0,17.0,3.0,20.0,35.0,24.0,6.0,6.0,20.0,7.0,3.0,188.0,58.0,4.0,3.0,53.0,98.0,15.0,311.0,218.0,190.0,6.0,8.0,,53.0,7.0,17.0,22.0,6.0,68.0,9.0,151.0,59.0,12.0,33.0,19.0,48.0,3.0,444.0,12.0,9.0,12.0,,287.0,153.0,57.0,40.0,583.0,210.0,71.0,84.0,24.0,18.0,23.0,33.0,10.0,21.0,18.0,15.0,7.0,22.0,672.0,40.0,,205.0,106.0,22.0,176.0,116.0,18.0,286.0,8.0,26.0,95.0,20.0,26.0,66.0,9.0,201.0,143.0,12.0,6.0,259.0,12.0,115.0,11.0,6.0,68.0,73.0,4.0,7.0,22.0,5.0,30.0,23.0,,6.0,36.0,14.0,32.0,20.0,9.0,191.0,40.0,19.0,170.0,97.0,12.0,10.0,10.0,106.0,3.0,18.0,6.0,24.0,9.0,4.0,8.0,6.0,6.0,37.0,6.0,6.0,10.0,8.0,14.0,17.0,9.0,30.0,352.0,815.0,23.0,49.0,6.0,112.0,89.0,3.0,,19.0,15.0,40.0,4.0,114.0,18.0,3.0,22.0,11.0,57.0,68.0,15.0,15.0,39.0,44.0,597.0,16.0,456.0,189.0,111.0,178.0,220.0,22.0,125.0,13.0,132.0,6.0,14.0,13.0,108.0,11.0,19.0,109.0,39.0,16.0,23.0,90.0,433.0,144.0,23.0,149.0,62.0,69.0,281.0,212.0,3.0,22.0,16.0,4.0,28.0,634.0,17.0,11.0,3.0,16.0,9.0,,73.0,64.0,18.0,3.0,6.0,3.0,12.0,3.0,106.0,11.0,67.0,142.0,19.0,162.0,513.0,160.0,30.0,128.0,115.0,4.0,93.0,59.0,15.0,110.0,1497.0,1011.0,7.0,438.0,671.0,6.0,13.0,163.0,27.0,28.0,55.0,7.0,9.0,6.0,103.0,3.0,4.0,7.0,3.0,108.0,4.0,305.0,35.0,74.0,85.0,29.0,59.0,22.0,5.0,130.0,19.0,35.0,747.0,67.0,16.0,15.0,20.0,140.0,38.0,218.0,121.0,30.0,54.0,15.0,45.0
2018,3.0,388.0,73.0,406.0,,5.0,12.0,21.0,,24.0,14.0,18.0,4.0,3.0,536.0,,65.0,840.0,,146.0,50.0,4.0,35.0,4.0,63.0,34.0,158.0,3.0,63.0,137.0,17.0,89.0,24.0,11.0,564.0,664.0,22.0,132.0,250.0,71.0,32.0,243.0,28.0,552.0,170.0,8.0,5.0,3.0,,,18.0,43.0,13.0,7.0,4.0,,,50.0,3.0,10.0,5.0,3.0,20.0,3.0,12.0,,3.0,3.0,3.0,49.0,3.0,3.0,12.0,10.0,3.0,21.0,63.0,29.0,,,,3.0,4.0,,16.0,7.0,,10.0,4.0,3.0,3.0,7.0,7.0,23.0,4.0,90.0,8.0,3.0,3.0,10.0,4.0,,,3.0,3.0,3.0,4.0,7.0,60.0,15.0,3.0,20.0,16.0,,9.0,11.0,3.0,36.0,3.0,19.0,24.0,27.0,10.0,5.0,8.0,17.0,22.0,5.0,15.0,3.0,36.0,17.0,3.0,16.0,6.0,16.0,35.0,12.0,6.0,33.0,27.0,30.0,15.0,71.0,37.0,4.0,3.0,12.0,37.0,4.0,31.0,10.0,6.0,18.0,3.0,3.0,3.0,7.0,3.0,7.0,143.0,3.0,15.0,79.0,3.0,16.0,21.0,3.0,9.0,6.0,16.0,7.0,7.0,26.0,108.0,124.0,194.0,11.0,54.0,55.0,228.0,116.0,83.0,44.0,8.0,114.0,31.0,65.0,26.0,22.0,146.0,229.0,30.0,95.0,357.0,198.0,11.0,49.0,4.0,,18.0,18.0,57.0,195.0,26.0,24.0,17.0,36.0,676.0,90.0,12.0,98.0,19.0,128.0,23.0,53.0,71.0,83.0,145.0,42.0,31.0,10.0,27.0,9.0,28.0,248.0,70.0,8.0,229.0,139.0,36.0,49.0,3.0,54.0,113.0,176.0,3.0,275.0,90.0,8.0,3.0,3.0,3.0,,108.0,162.0,37.0,27.0,307.0,58.0,30.0,10.0,21.0,7.0,,11.0,43.0,5.0,9.0,,3.0,9.0,4.0,38.0,10.0,46.0,38.0,3.0,40.0,3.0,46.0,18.0,18.0,,25.0,36.0,24.0,6.0,6.0,17.0,6.0,,195.0,61.0,3.0,3.0,48.0,101.0,16.0,300.0,219.0,183.0,6.0,5.0,3.0,55.0,7.0,16.0,19.0,5.0,66.0,8.0,140.0,58.0,4.0,26.0,23.0,48.0,3.0,438.0,14.0,12.0,11.0,,286.0,164.0,58.0,44.0,603.0,208.0,88.0,80.0,27.0,19.0,22.0,32.0,9.0,20.0,16.0,13.0,7.0,23.0,648.0,42.0,,207.0,111.0,25.0,177.0,121.0,21.0,277.0,13.0,26.0,95.0,20.0,31.0,76.0,9.0,195.0,140.0,7.0,6.0,262.0,18.0,119.0,12.0,4.0,63.0,71.0,3.0,6.0,23.0,5.0,30.0,21.0,,7.0,34.0,13.0,29.0,21.0,7.0,181.0,39.0,14.0,162.0,94.0,13.0,12.0,10.0,116.0,3.0,15.0,6.0,21.0,10.0,4.0,4.0,6.0,6.0,19.0,7.0,6.0,10.0,11.0,11.0,17.0,9.0,33.0,363.0,830.0,20.0,55.0,7.0,109.0,90.0,3.0,,24.0,15.0,38.0,4.0,111.0,17.0,3.0,25.0,10.0,53.0,73.0,16.0,13.0,41.0,46.0,575.0,18.0,452.0,196.0,103.0,186.0,212.0,23.0,129.0,13.0,129.0,7.0,15.0,10.0,105.0,14.0,19.0,107.0,40.0,18.0,24.0,92.0,416.0,182.0,21.0,145.0,58.0,65.0,287.0,213.0,4.0,25.0,16.0,4.0,31.0,644.0,18.0,9.0,,17.0,8.0,,76.0,69.0,20.0,3.0,6.0,3.0,13.0,3.0,105.0,6.0,65.0,155.0,19.0,166.0,516.0,157.0,32.0,128.0,122.0,7.0,91.0,57.0,22.0,119.0,1482.0,1007.0,7.0,460.0,639.0,6.0,10.0,167.0,30.0,25.0,54.0,8.0,7.0,6.0,110.0,3.0,10.0,8.0,3.0,107.0,8.0,296.0,37.0,78.0,82.0,28.0,58.0,21.0,5.0,133.0,18.0,39.0,728.0,66.0,21.0,14.0,20.0,140.0,37.0,221.0,116.0,35.0,56.0,13.0,43.0
2019,,373.0,70.0,409.0,3.0,5.0,13.0,20.0,3.0,26.0,14.0,14.0,4.0,4.0,540.0,3.0,45.0,863.0,,150.0,55.0,3.0,38.0,3.0,66.0,32.0,157.0,,61.0,128.0,15.0,88.0,26.0,11.0,581.0,661.0,22.0,141.0,255.0,76.0,30.0,247.0,28.0,558.0,183.0,8.0,4.0,3.0,4.0,,15.0,38.0,17.0,7.0,,,,56.0,9.0,9.0,5.0,3.0,19.0,3.0,10.0,,3.0,3.0,3.0,51.0,3.0,3.0,11.0,10.0,,22.0,60.0,23.0,,,,5.0,5.0,,15.0,7.0,3.0,13.0,7.0,3.0,3.0,7.0,6.0,20.0,4.0,86.0,12.0,3.0,3.0,10.0,4.0,3.0,4.0,,3.0,3.0,3.0,10.0,57.0,13.0,3.0,22.0,15.0,,9.0,12.0,,28.0,3.0,19.0,24.0,28.0,14.0,4.0,7.0,11.0,22.0,5.0,15.0,3.0,34.0,15.0,6.0,16.0,6.0,15.0,34.0,11.0,6.0,31.0,27.0,29.0,13.0,74.0,34.0,7.0,3.0,10.0,38.0,5.0,30.0,9.0,6.0,20.0,,3.0,3.0,6.0,3.0,4.0,147.0,,12.0,77.0,3.0,15.0,23.0,3.0,6.0,7.0,16.0,7.0,10.0,28.0,100.0,126.0,191.0,10.0,59.0,49.0,227.0,115.0,83.0,44.0,8.0,106.0,31.0,72.0,26.0,21.0,145.0,226.0,29.0,98.0,368.0,192.0,9.0,43.0,4.0,,20.0,21.0,53.0,199.0,26.0,24.0,16.0,29.0,657.0,83.0,14.0,98.0,18.0,124.0,23.0,50.0,70.0,75.0,147.0,42.0,34.0,6.0,27.0,8.0,28.0,250.0,72.0,8.0,232.0,132.0,38.0,47.0,6.0,61.0,133.0,173.0,3.0,271.0,91.0,5.0,4.0,,,,117.0,157.0,33.0,25.0,306.0,56.0,27.0,11.0,21.0,9.0,,11.0,44.0,5.0,12.0,,3.0,11.0,,38.0,12.0,44.0,38.0,6.0,42.0,3.0,42.0,17.0,18.0,,26.0,31.0,20.0,6.0,6.0,16.0,6.0,,202.0,59.0,4.0,,47.0,101.0,15.0,307.0,218.0,179.0,,5.0,3.0,59.0,8.0,15.0,19.0,5.0,66.0,8.0,132.0,66.0,13.0,31.0,18.0,47.0,,436.0,12.0,14.0,12.0,,272.0,174.0,68.0,39.0,645.0,230.0,82.0,78.0,38.0,19.0,22.0,29.0,9.0,25.0,20.0,12.0,3.0,23.0,635.0,38.0,,206.0,110.0,26.0,176.0,123.0,21.0,282.0,14.0,29.0,88.0,21.0,28.0,64.0,9.0,184.0,142.0,7.0,7.0,254.0,17.0,112.0,13.0,6.0,68.0,68.0,,7.0,30.0,5.0,34.0,28.0,,5.0,32.0,13.0,29.0,19.0,11.0,188.0,38.0,14.0,152.0,86.0,13.0,12.0,11.0,111.0,,13.0,6.0,17.0,9.0,8.0,4.0,9.0,6.0,24.0,7.0,6.0,11.0,10.0,11.0,17.0,10.0,37.0,364.0,898.0,17.0,53.0,8.0,108.0,86.0,3.0,,20.0,15.0,39.0,4.0,112.0,16.0,4.0,28.0,11.0,48.0,72.0,18.0,12.0,42.0,49.0,563.0,23.0,450.0,189.0,97.0,173.0,215.0,26.0,134.0,16.0,132.0,7.0,15.0,7.0,102.0,14.0,13.0,106.0,41.0,15.0,24.0,87.0,419.0,186.0,22.0,138.0,53.0,76.0,292.0,239.0,6.0,23.0,16.0,4.0,31.0,662.0,16.0,14.0,3.0,19.0,7.0,3.0,81.0,71.0,24.0,,3.0,3.0,6.0,3.0,104.0,9.0,69.0,167.0,15.0,162.0,499.0,157.0,33.0,126.0,112.0,5.0,101.0,65.0,52.0,125.0,1483.0,998.0,7.0,468.0,635.0,6.0,8.0,158.0,33.0,27.0,50.0,10.0,7.0,5.0,106.0,3.0,10.0,7.0,3.0,100.0,7.0,303.0,34.0,77.0,78.0,27.0,59.0,20.0,5.0,146.0,16.0,42.0,714.0,63.0,15.0,15.0,21.0,149.0,41.0,217.0,119.0,30.0,51.0,10.0,51.0
2020,3.0,382.0,69.0,415.0,,3.0,16.0,23.0,3.0,25.0,14.0,15.0,4.0,6.0,547.0,4.0,43.0,903.0,,144.0,54.0,3.0,39.0,7.0,65.0,30.0,151.0,3.0,56.0,131.0,16.0,100.0,30.0,12.0,589.0,675.0,26.0,135.0,258.0,71.0,24.0,240.0,34.0,550.0,186.0,10.0,4.0,3.0,3.0,,16.0,51.0,19.0,7.0,3.0,3.0,3.0,64.0,8.0,9.0,6.0,3.0,20.0,3.0,12.0,,3.0,3.0,3.0,50.0,3.0,3.0,12.0,7.0,3.0,22.0,56.0,35.0,8.0,4.0,3.0,4.0,5.0,3.0,15.0,4.0,,12.0,4.0,4.0,4.0,7.0,5.0,19.0,4.0,80.0,12.0,3.0,3.0,10.0,5.0,3.0,3.0,,3.0,4.0,3.0,4.0,55.0,13.0,3.0,17.0,14.0,,12.0,8.0,,25.0,,21.0,22.0,29.0,14.0,4.0,7.0,11.0,22.0,4.0,14.0,3.0,33.0,15.0,3.0,20.0,6.0,16.0,32.0,10.0,5.0,30.0,29.0,32.0,10.0,72.0,34.0,4.0,4.0,7.0,36.0,4.0,31.0,9.0,5.0,19.0,,3.0,3.0,9.0,3.0,3.0,143.0,,12.0,67.0,3.0,15.0,22.0,4.0,6.0,8.0,16.0,7.0,6.0,29.0,95.0,126.0,190.0,13.0,54.0,43.0,220.0,115.0,81.0,47.0,9.0,111.0,29.0,65.0,26.0,21.0,147.0,222.0,30.0,92.0,351.0,183.0,14.0,42.0,4.0,,19.0,24.0,52.0,190.0,24.0,32.0,16.0,27.0,650.0,80.0,14.0,94.0,14.0,117.0,21.0,46.0,67.0,71.0,136.0,39.0,32.0,9.0,27.0,8.0,20.0,245.0,72.0,8.0,215.0,128.0,40.0,41.0,6.0,62.0,160.0,179.0,3.0,269.0,95.0,6.0,3.0,,,3.0,107.0,162.0,34.0,24.0,292.0,54.0,22.0,7.0,18.0,8.0,,7.0,46.0,5.0,9.0,7.0,4.0,12.0,,37.0,16.0,46.0,41.0,3.0,41.0,3.0,41.0,16.0,18.0,,30.0,32.0,18.0,7.0,6.0,16.0,6.0,3.0,204.0,57.0,3.0,,42.0,101.0,18.0,304.0,200.0,181.0,3.0,4.0,3.0,51.0,9.0,16.0,21.0,6.0,65.0,8.0,137.0,71.0,7.0,38.0,19.0,49.0,3.0,435.0,10.0,15.0,13.0,3.0,283.0,177.0,62.0,39.0,688.0,230.0,69.0,82.0,37.0,19.0,22.0,27.0,3.0,24.0,15.0,11.0,3.0,25.0,605.0,38.0,,208.0,113.0,26.0,190.0,113.0,20.0,287.0,13.0,28.0,87.0,24.0,30.0,59.0,7.0,183.0,142.0,10.0,8.0,264.0,14.0,124.0,19.0,6.0,66.0,71.0,,6.0,27.0,5.0,33.0,29.0,,6.0,32.0,11.0,27.0,20.0,8.0,193.0,37.0,20.0,150.0,84.0,13.0,10.0,13.0,115.0,,32.0,7.0,15.0,8.0,7.0,4.0,9.0,6.0,20.0,6.0,6.0,11.0,9.0,11.0,18.0,11.0,35.0,358.0,899.0,15.0,55.0,8.0,105.0,83.0,3.0,,19.0,12.0,43.0,7.0,110.0,18.0,3.0,28.0,18.0,53.0,71.0,20.0,12.0,40.0,43.0,552.0,20.0,451.0,192.0,97.0,163.0,217.0,25.0,135.0,17.0,132.0,7.0,15.0,7.0,103.0,12.0,12.0,108.0,45.0,13.0,24.0,89.0,425.0,178.0,22.0,137.0,50.0,78.0,298.0,240.0,10.0,28.0,18.0,3.0,35.0,655.0,16.0,9.0,5.0,18.0,3.0,3.0,76.0,60.0,25.0,,6.0,3.0,3.0,3.0,106.0,10.0,70.0,156.0,18.0,158.0,477.0,135.0,32.0,123.0,109.0,,88.0,57.0,45.0,125.0,1424.0,982.0,6.0,441.0,629.0,3.0,8.0,162.0,32.0,25.0,49.0,6.0,8.0,3.0,114.0,3.0,9.0,7.0,3.0,107.0,6.0,286.0,47.0,81.0,80.0,24.0,54.0,19.0,3.0,150.0,16.0,37.0,713.0,64.0,21.0,22.0,22.0,154.0,39.0,225.0,117.0,32.0,50.0,16.0,51.0
2021,3.0,384.0,66.0,438.0,,4.0,23.0,27.0,3.0,23.0,14.0,16.0,4.0,6.0,548.0,4.0,47.0,996.0,3.0,145.0,56.0,3.0,47.0,11.0,61.0,35.0,159.0,4.0,59.0,132.0,21.0,109.0,33.0,15.0,622.0,705.0,28.0,136.0,255.0,79.0,19.0,244.0,38.0,580.0,198.0,12.0,4.0,3.0,3.0,,13.0,45.0,17.0,7.0,4.0,3.0,,70.0,8.0,13.0,5.0,,21.0,3.0,10.0,,3.0,3.0,3.0,52.0,3.0,3.0,8.0,7.0,7.0,21.0,56.0,34.0,5.0,5.0,3.0,5.0,4.0,3.0,15.0,3.0,,10.0,3.0,3.0,3.0,7.0,11.0,17.0,4.0,84.0,10.0,3.0,3.0,6.0,6.0,3.0,4.0,,3.0,3.0,3.0,4.0,57.0,13.0,,22.0,14.0,3.0,14.0,7.0,,25.0,,24.0,25.0,29.0,14.0,4.0,6.0,11.0,18.0,4.0,14.0,6.0,35.0,14.0,,20.0,6.0,19.0,25.0,10.0,7.0,32.0,31.0,31.0,13.0,73.0,33.0,4.0,3.0,15.0,34.0,5.0,28.0,6.0,4.0,20.0,,4.0,3.0,5.0,3.0,3.0,145.0,,11.0,72.0,,15.0,21.0,4.0,5.0,9.0,17.0,7.0,6.0,24.0,94.0,130.0,185.0,16.0,55.0,46.0,210.0,115.0,81.0,43.0,12.0,104.0,26.0,60.0,28.0,21.0,141.0,225.0,28.0,94.0,361.0,189.0,10.0,44.0,8.0,,17.0,21.0,47.0,193.0,28.0,28.0,17.0,30.0,634.0,78.0,13.0,82.0,13.0,115.0,25.0,43.0,53.0,70.0,126.0,39.0,21.0,5.0,25.0,8.0,20.0,255.0,67.0,7.0,213.0,130.0,47.0,45.0,6.0,62.0,217.0,208.0,3.0,258.0,105.0,8.0,4.0,,,3.0,133.0,174.0,30.0,29.0,297.0,48.0,16.0,5.0,17.0,8.0,3.0,12.0,49.0,5.0,10.0,4.0,3.0,10.0,3.0,40.0,16.0,41.0,38.0,8.0,42.0,3.0,38.0,16.0,12.0,,32.0,39.0,12.0,7.0,8.0,16.0,12.0,,203.0,63.0,,4.0,47.0,99.0,12.0,295.0,201.0,177.0,3.0,4.0,3.0,60.0,10.0,18.0,19.0,6.0,64.0,10.0,142.0,77.0,6.0,37.0,18.0,51.0,7.0,448.0,8.0,19.0,12.0,,303.0,174.0,71.0,40.0,741.0,248.0,70.0,79.0,38.0,22.0,23.0,28.0,3.0,25.0,18.0,12.0,4.0,23.0,599.0,40.0,3.0,202.0,107.0,18.0,202.0,117.0,21.0,292.0,13.0,32.0,79.0,27.0,32.0,63.0,11.0,177.0,145.0,10.0,7.0,289.0,16.0,125.0,13.0,14.0,70.0,71.0,,4.0,24.0,7.0,34.0,29.0,3.0,6.0,30.0,10.0,28.0,20.0,7.0,204.0,40.0,20.0,145.0,93.0,24.0,11.0,14.0,104.0,5.0,24.0,3.0,11.0,8.0,7.0,3.0,6.0,6.0,20.0,5.0,6.0,12.0,9.0,11.0,21.0,11.0,36.0,371.0,952.0,14.0,57.0,12.0,99.0,81.0,3.0,3.0,18.0,12.0,44.0,5.0,107.0,19.0,3.0,23.0,13.0,43.0,68.0,27.0,15.0,40.0,50.0,511.0,22.0,453.0,190.0,96.0,175.0,269.0,23.0,154.0,17.0,144.0,7.0,15.0,6.0,113.0,9.0,12.0,118.0,44.0,20.0,27.0,89.0,418.0,177.0,19.0,132.0,49.0,79.0,306.0,236.0,14.0,27.0,17.0,3.0,37.0,652.0,14.0,11.0,3.0,23.0,4.0,3.0,92.0,66.0,24.0,,9.0,3.0,,3.0,103.0,10.0,67.0,153.0,20.0,159.0,490.0,144.0,32.0,132.0,114.0,,92.0,57.0,69.0,125.0,1415.0,994.0,3.0,499.0,637.0,3.0,11.0,149.0,28.0,29.0,51.0,7.0,9.0,3.0,121.0,7.0,12.0,7.0,3.0,104.0,10.0,280.0,51.0,86.0,82.0,23.0,54.0,17.0,3.0,162.0,15.0,48.0,715.0,73.0,16.0,18.0,23.0,145.0,38.0,217.0,119.0,28.0,50.0,13.0,52.0
