Zip Code,naics,Establishments,Employees,Payroll,IND Level
78132,00,27,242,0,2
78132,00,7,251,0,2
78132,21,10,001,0,2
78132,21,4,210,0,2
78132,23,105,001,0,2
78132,23,65,210,0,2
78132,23,22,220,0,2
78132,23,9,230,0,2
78132,23,6,241,0,2
78132,23,3,242,0,2
78132,31-33,26,001,0,2
78132,31-33,9,210,0,2
78132,31-33,5,220,0,2
78132,31-33,3,230,0,2
78132,31-33,5,241,0,2
78132,31-33,3,251,0,2
78132,42,34,001,0,2
78132,42,23,210,0,2
78132,42,5,220,0,2
78132,42,3,241,0,2
78132,44-45,41,001,0,2
78132,44-45,19,210,0,2
78132,44-45,8,220,0,2
78132,44-45,9,230,0,2
78132,44-45,3,241,0,2
78132,48-49,19,001,0,2
78132,48-49,10,210,0,2
78132,48-49,3,230,0,2
78132,51,8,001,0,2
78132,51,6,210,0,2
78132,52,25,001,0,2
78132,52,17,210,0,2
78132,52,4,220,0,2
78132,52,4,230,0,2
78132,53,48,001,0,2
78132,53,36,210,0,2
78132,53,6,220,0,2
78132,53,4,230,0,2
78132,54,63,001,0,2
78132,54,49,210,0,2
78132,54,8,220,0,2
78132,54,3,230,0,2
78132,56,44,001,0,2
78132,56,30,210,0,2
78132,56,6,220,0,2
78132,56,4,230,0,2
78132,61,11,001,0,2
78132,61,6,210,0,2
78132,61,3,230,0,2
78132,62,38,001,0,2
78132,62,16,210,0,2
78132,62,7,220,0,2
78132,62,8,230,0,2
78132,62,5,241,0,2
78132,71,14,001,0,2
78132,71,7,210,0,2
78132,71,4,230,0,2
78132,72,48,001,0,2
78132,72,15,210,0,2
78132,72,10,220,0,2
78132,72,11,230,0,2
78132,72,8,241,0,2
78132,72,4,242,0,2
78132,81,54,001,0,2
78132,81,30,210,0,2
78132,81,7,220,0,2
78132,81,8,230,0,2
78132,81,5,241,0,2
78132,81,4,242,0,2
78132,99,3,001,0,2
78132,99,3,210,0,2
78132,00,594,001,393044,2
78132,00,345,210,0,2
78132,00,91,220,0,2
78132,00,74,230,0,2
78132,00,47,241,0,2
