Zip Code,naics,Establishments,Employees,Payroll,IND Level
98249,00,187,001,59691,2
98249,00,104,210,0,2
98249,00,51,220,0,2
98249,00,19,230,0,2
98249,00,11,241,0,2
98249,22,4,001,0,2
98249,22,3,220,0,2
98249,23,23,001,0,2
98249,23,12,210,0,2
98249,23,8,220,0,2
98249,23,3,230,0,2
98249,31-33,9,001,0,2
98249,31-33,7,210,0,2
98249,42,4,001,0,2
98249,42,3,210,0,2
98249,44-45,31,001,0,2
98249,44-45,13,210,0,2
98249,44-45,6,220,0,2
98249,44-45,7,230,0,2
98249,44-45,4,241,0,2
98249,52,16,001,0,2
98249,52,9,210,0,2
98249,52,5,220,0,2
98249,53,15,001,0,2
98249,53,14,210,0,2
98249,54,18,001,0,2
98249,54,11,210,0,2
98249,54,5,220,0,2
98249,56,10,001,0,2
98249,56,9,210,0,2
98249,62,18,001,0,2
98249,62,7,210,0,2
98249,62,8,220,0,2
98249,71,5,001,0,2
98249,71,4,210,0,2
98249,72,12,001,0,2
98249,72,4,220,0,2
98249,72,3,230,0,2
98249,72,3,241,0,2
98249,81,16,001,0,2
98249,81,7,210,0,2
98249,81,8,220,0,2
