Zip,Industries,Establishments,Employees,Payroll
00501,1,7,211,1015
01001,18,1833,12439,467164
01002,16,1977,9847,344066
01003,4,49,884,11727
01004,1,9,211,5662
01005,13,395,3937,40249
01007,15,902,7301,75784
01008,4,65,864,4603
01009,1,26,661,4690
01010,8,321,2148,27910
01011,1,18,431,1201
01012,2,31,432,3251
01013,15,1177,8736,223455
01020,17,2084,11339,429772
01021,1,10,211,6384
01022,12,222,2319,168147
01026,4,59,1095,6025
01027,16,1691,9334,196018
01028,16,2049,11535,398816
01029,2,29,432,7005
01030,14,885,6367,54005
01031,3,41,433,5491
01032,4,65,644,5486
01033,11,458,3252,33199
01034,9,123,1489,6606
01035,16,1208,9220,195950
01036,11,418,3262,45800
01037,2,28,442,16264
01038,11,226,2634,80621
01039,6,118,1946,13030
01040,17,3317,14819,886349
01041,5,53,907,49414
01050,5,108,1285,7565
01053,6,102,1537,132176
01054,5,91,1275,3122
01056,16,1600,10089,225477
01057,13,535,5026,46204
01059,1,8,231,2065
01060,17,2704,12197,631586
01061,4,54,644,6686
01062,15,805,6830,91232
01066,2,13,212,4395
01068,7,125,1697,4990
01069,16,939,8475,180168
01070,2,24,422,585
01071,5,50,845,3472
01072,3,44,633,2136
01073,13,461,4334,47449
01074,1,15,211,3391
01075,15,1155,7971,179995
01077,14,845,7069,100058
01079,2,21,642,2282
01080,9,123,1299,12818
01081,5,65,1065,2201
01082,14,601,5727,98408
01083,9,117,1509,23233
01084,2,6,2,1915
01085,17,3318,13880,726743
01086,4,37,685,26642
01088,5,82,1116,18963
01089,19,3647,15510,732854
01090,4,44,644,6778
01092,4,50,854,3010
01093,7,93,1077,19729
01095,17,1218,7795,176855
01096,10,176,2621,9620
01098,2,39,422,5370
01101,4,36,455,5840
01102,1,12,1,186488
01103,14,1486,8766,351776
01104,18,2015,13227,1166673
01105,16,959,8352,245094
01106,16,1057,7594,154289
01107,12,509,4468,215558
01108,15,894,5969,76850
01109,15,1186,7834,225605
01111,2,17,212,554528
01115,6,142,1757,78972
01116,1,10,211,14623
01118,12,534,4406,49820
01119,14,638,5792,115281
01128,7,148,2052,26171
01129,12,509,4529,50943
01138,1,6,211,347
01144,4,146,2037,116002
01151,12,480,5055,116837
01199,2,11,2,517044
01201,19,5074,17384,1877202
01202,5,60,845,15784
01220,15,569,5269,69912
01222,5,59,1065,2389
01223,4,129,1064,12659
01224,1,3,1,1013
01225,6,188,1967,23402
01226,14,454,4166,76974
01227,1,14,431,1272
01229,1,8,211,6018
01230,17,1630,8960,233181
01235,7,166,1497,9029
01236,7,134,1487,16491
01237,11,368,4185,38366
01238,15,929,6462,112958
01240,15,918,7122,152743
01242,1,23,211,5516
01243,1,13,211,778
01244,1,8,211,3823
01245,3,42,633,3501
01247,16,1241,9147,157901
01252,1,6,211,309
01253,4,86,854,5564
01254,4,58,854,2416
01255,3,52,423,6800
01256,2,25,422,675
01257,13,432,3684,62818
01258,6,93,1547,11568
01259,5,95,1275,6047
01260,2,28,422,20383
01262,10,290,3512,57964
01266,8,185,2128,9385
01267,15,772,5539,221910
01270,3,42,633,1951
01301,17,2052,10123,357706
01302,2,21,453,17475
01330,5,90,1065,3288
01331,15,865,7554,135699
01337,7,157,1517,18433
01338,3,26,433,2466
01339,6,92,1286,13903
