Zip,Industries,Establishments,Employees,Payroll
01001,58,596,9812,0
01002,55,757,12977,0
01003,1,12,431,0
01005,12,91,2122,0
01007,27,268,4738,0
01008,2,11,212,0
01010,8,86,1478,0
01013,39,359,6259,0
01020,57,779,10931,0
01022,5,17,5,0
01026,1,8,211,0
01027,53,547,7584,0
01028,51,697,10905,0
01030,25,269,4566,0
01031,1,3,1,0
01033,14,124,1694,0
01034,1,6,211,0
01035,37,339,5983,0
01036,9,104,1059,0
01038,7,39,427,0
01039,2,15,232,0
01040,76,1220,19461,0
01041,1,6,242,0
01050,2,10,212,0
01053,1,3,1,0
01054,1,6,211,0
01056,44,544,8635,0
01057,10,103,1700,0
01060,72,1034,17614,0
01062,30,205,3660,0
01066,1,3,1,0
01068,3,22,423,0
01069,29,241,4290,0
01071,2,12,422,0
01073,14,119,2764,0
01075,37,376,6248,0
01077,24,228,4305,0
01080,2,9,212,0
01081,1,3,1,0
01082,21,149,2602,0
01083,1,3,1,0
01085,87,1307,19738,0
01088,2,14,442,0
01089,83,1383,22324,0
01093,1,3,1,0
01095,37,393,6918,0
01096,3,20,423,0
01103,42,516,6638,0
01104,64,643,10702,0
01105,30,266,4592,0
01106,36,391,7116,0
01107,10,113,1762,0
01108,30,259,4111,0
01109,34,388,5876,0
01115,4,22,214,0
01118,21,164,3021,0
01119,20,155,2421,0
01128,3,20,244,0
01129,21,131,2454,0
01144,5,35,655,0
01151,16,109,2986,0
01201,101,2079,28398,0
01220,15,125,2155,0
01223,5,34,635,0
01225,7,44,637,0
01226,14,92,1545,0
01230,57,583,10390,0
01235,6,44,636,0
01236,3,23,423,0
01237,13,78,1063,0
01238,21,279,4614,0
01240,29,266,5191,0
01245,1,6,211,0
01247,42,350,5034,0
01253,3,12,213,0
01254,1,6,211,0
01255,2,9,212,0
01257,8,69,1298,0
01258,3,20,423,0
01259,3,18,423,0
01260,1,7,211,0
01262,8,59,638,0
01266,5,35,1065,0
01267,23,196,3254,0
01301,66,772,12915,0
01330,2,9,212,0
01331,28,197,3079,0
01337,5,25,425,0
01339,4,22,634,0
01342,1,3,1,0
01344,1,3,1,0
01351,1,3,1,0
01354,1,4,1,0
01360,3,13,213,0
01364,15,91,1715,0
01366,1,6,211,0
01370,12,92,2152,0
01373,16,96,1306,0
01375,3,25,433,0
01376,11,52,861,0
01420,74,1171,16968,0
01430,8,70,1268,0
01431,6,44,1056,0
01432,28,208,3439,0
01434,8,33,218,0
01436,4,13,4,0
01440,54,580,10267,0
01450,28,266,4078,0
01451,19,145,2339,0
01452,4,18,214,0
01453,102,1903,26922,0
01460,37,339,4729,0
01462,25,277,3865,0
01463,22,302,4922,0
01464,18,129,2968,0
01468,6,36,636,0
01469,11,99,1732,0
01473,21,196,3622,0
01474,1,11,211,0
01475,15,133,2625,0
01501,74,883,15175,0
01503,11,88,1701,0
01504,15,170,2566,0
01505,12,122,2112,0
01506,4,33,634,0
01507,30,297,3400,0
01508,2,14,222,0
01510,34,312,5206,0
01515,5,24,425,0
01516,14,128,2114,0
01518,4,28,455,0
01519,13,91,1693,0
01520,36,386,7381,0
01521,3,20,633,0
01522,3,26,633,0
01523,17,115,1697,0
01524,14,124,2144,0
01527,32,331,4888,0
01529,3,19,423,0
