Zip,Industries,Establishments,Employees,Payroll
01001,54,447,7208,0
01002,56,632,9938,0
01003,1,6,221,0
01005,10,67,1270,0
01007,21,188,3032,0
01008,1,5,1,0
01010,8,71,1268,0
01013,33,274,5393,0
01020,57,633,9371,0
01022,5,16,5,0
01026,1,8,211,0
01027,48,418,6479,0
01028,50,535,8273,0
01030,19,206,3250,0
01031,1,3,1,0
01033,12,84,1062,0
01034,1,6,211,0
01035,29,245,4454,0
01036,10,92,1270,0
01038,5,26,425,0
01039,2,15,232,0
01040,89,1043,17514,0
01041,1,6,242,0
01050,2,10,212,0
01054,1,6,211,0
01056,46,436,7757,0
01057,11,92,1691,0
01060,76,814,12504,0
01062,24,142,2174,0
01066,1,3,1,0
01068,3,19,423,0
01069,21,176,3022,0
01071,2,12,422,0
01073,11,74,1281,0
01075,34,298,5405,0
01077,20,166,3241,0
01080,2,9,212,0
01081,1,3,1,0
01082,19,127,2600,0
01083,1,3,1,0
01085,94,1088,17723,0
01088,2,14,442,0
01089,101,1148,17866,0
01093,1,3,1,0
01095,30,313,5841,0
01096,2,11,212,0
01103,38,435,4894,0
01104,61,492,7629,0
01105,29,219,3501,0
01106,36,313,5826,0
01107,9,95,1310,0
01108,23,195,3464,0
01109,35,318,4797,0
01115,3,19,213,0
01118,16,116,2366,0
01119,15,122,1786,0
01128,2,17,243,0
01129,16,96,2019,0
01144,5,26,225,0
01151,9,60,1499,0
01201,118,1810,28094,0
01220,10,91,1940,0
01223,5,34,635,0
01225,6,36,846,0
01226,9,64,1120,0
01230,55,458,7576,0
01235,6,36,636,0
01236,1,14,211,0
01237,9,51,639,0
01238,20,229,4612,0
01240,20,193,3492,0
01245,1,6,211,0
01247,33,255,3704,0
01253,1,3,1,0
01255,1,6,211,0
01257,9,58,1069,0
01258,3,20,423,0
01259,2,14,422,0
01260,1,6,211,0
01262,5,44,425,0
01266,3,18,433,0
01267,16,160,2817,0
01301,66,614,10052,0
01330,2,9,212,0
01331,20,145,2421,0
01337,3,15,213,0
01339,3,15,423,0
01342,1,3,1,0
01344,1,3,1,0
01354,1,4,1,0
01360,2,7,2,0
01364,8,56,1078,0
01366,1,6,211,0
01370,7,67,1507,0
01373,11,69,881,0
01375,2,22,432,0
01376,8,34,438,0
01420,85,975,15367,0
01430,6,48,846,0
01431,4,32,844,0
01432,20,159,3001,0
01434,7,29,217,0
01436,2,7,2,0
01440,50,455,8073,0
01450,19,198,3219,0
01451,20,126,2330,0
01452,1,7,211,0
01453,120,1643,24409,0
01460,31,236,3201,0
01462,21,221,3861,0
01463,22,260,4912,0
01464,9,73,1699,0
01468,6,31,636,0
01469,9,72,1310,0
01473,20,145,2571,0
01474,1,11,211,0
01475,12,96,1962,0
01501,77,701,13168,0
01503,8,66,1268,0
01504,18,138,2569,0
01505,8,86,1688,0
01506,3,20,423,0
01507,27,222,2767,0
01508,2,14,222,0
01510,30,249,4132,0
01515,4,21,424,0
01516,12,89,1482,0
01518,3,21,244,0
01519,11,70,1271,0
01520,31,299,6526,0
01521,1,8,211,0
01522,2,15,422,0
01523,13,77,1063,0
01524,9,83,1929,0
01527,22,239,4417,0
01529,3,15,213,0
01532,57,606,9748,0
01534,6,40,846,0
01535,6,48,1056,0
01536,16,122,2157,0
01537,4,26,674,0
01538,1,7,221,0
01540,24,195,3455,0
01541,5,26,635,0
01542,1,3,1,0
01543,10,97,1500,0
01545,92,1153,16500,0
01550,35,327,6138,0
01560,3,27,423,0
01561,1,3,1,0
01562,21,207,3682,0
01564,18,157,2988,0
01566,27,221,3698,0
01568,15,145,2755,0
01569,31,288,4942,0
01570,41,356,5654,0
01571,18,133,2619,0
01581,107,1266,18954,0
01583,29,221,4340,0
01585,5,40,865,0
01588,23,193,3684,0
01590,20,165,2601,0
01602,31,334,5802,0
01603,51,444,7103,0
01604,71,959,15508,0
01605,69,701,11335,0
01606,55,470,7176,0
01607,12,85,1753,0
01608,47,638,9464,0
01609,48,587,9164,0
01610,34,374,6077,0
01611,2,6,2,0
01612,5,49,865,0
01655,1,3,1,0
01701,109,1778,27763,0
01702,90,1307,17958,0
01719,16,107,2566,0
01720,72,866,13079,0
01721,39,503,6692,0
01730,60,629,10088,0
01731,2,10,212,0
01740,10,90,1931,0
01741,9,78,1479,0
01742,81,1058,16509,0
01746,36,395,6866,0
01747,15,107,1965,0
01748,49,532,8842,0
01749,62,679,10276,0
01752,144,2320,31428,0
01754,23,221,3735,0
01756,18,177,3659,0
01757,88,1289,15655,0
01760,120,1970,27763,0
01770,11,84,1691,0
01772,38,346,5209,0
01773,13,98,1713,0
01775,15,122,2335,0
01776,47,633,9929,0
01778,38,366,6239,0
01801,185,3313,46445,0
01803,124,2292,35292,0
