Zip,Industries,Establishments,Employees,Payroll
00501,1,10,211,526
01001,18,1795,11957,447951
01002,16,2012,9125,378297
01003,5,62,865,16650
01004,1,5,1,1815
01005,12,380,3936,43890
01007,15,877,6399,71419
01008,4,68,654,4603
01009,1,22,661,3090
01010,10,336,2360,31745
01011,1,18,211,1552
01012,2,29,432,3191
01013,14,1153,8494,239395
01020,17,2105,11526,477377
01021,1,9,211,4716
01022,12,224,2821,178380
01026,4,55,644,5107
01027,16,1668,9145,218139
01028,16,1992,10612,417858
01029,4,50,654,8075
01030,14,874,5466,51503
01031,4,49,895,6827
01032,5,78,855,6060
01033,11,480,3472,35860
01034,6,106,1066,7221
01035,16,1159,8528,217356
01036,11,399,3492,44254
01037,2,30,442,17669
01038,10,226,2401,87026
01039,6,107,1977,14399
01040,16,3259,14671,929704
01041,4,52,1126,47427
01050,5,104,1525,10093
01053,7,105,1297,149590
01054,6,100,1486,3434
01056,16,1613,9868,233222
01057,12,513,4355,45046
01059,1,8,231,2330
01060,17,2750,12479,693259
01061,4,43,434,6658
01062,15,772,7259,92294
01066,2,13,212,4648
01068,7,133,1707,5604
01069,16,929,7356,183714
01070,3,36,633,1197
01071,5,57,1075,3642
01072,3,41,633,2198
01073,14,452,3685,55448
01074,1,15,441,3445
01075,15,1153,8683,195612
01077,14,848,6869,104649
01079,1,10,211,2262
01080,9,122,1781,10469
01081,5,69,1065,2461
01082,14,600,5518,107074
01083,7,112,1968,24288
01084,2,11,212,1975
01085,17,3370,12992,774072
01086,4,43,895,24007
01088,7,103,1348,25817
01089,18,3602,15749,760034
01090,4,48,885,9442
01092,3,46,633,2603
01093,5,87,1295,20813
01095,17,1209,7564,182439
01096,10,180,2821,9502
01098,3,44,643,6506
01101,3,34,454,5200
01102,2,19,212,188209
01103,15,1459,9251,373364
01104,18,1990,12536,1179904
01105,15,941,6965,284685
01106,16,1075,6652,158081
01107,12,465,4048,212431
01108,13,914,6209,120755
01109,15,1191,7835,239202
01111,2,11,2,487824
01115,5,122,1546,89396
01116,1,10,211,29663
01118,12,556,4825,51090
01119,13,616,5308,135162
01128,6,121,1599,26415
01129,12,518,5169,50701
01138,1,6,211,341
01144,4,136,2279,123151
01151,13,476,4606,119022
01199,2,10,2,525665
01201,19,5030,17383,1415021
01202,3,47,633,20541
01220,15,579,5269,74329
01222,4,38,634,2761
01223,5,142,1505,14812
01225,6,181,1747,25334
01226,14,440,4646,80824
01227,1,13,431,1407
01229,1,4,1,8968
01230,16,1645,8749,250741
01235,6,164,1286,8851
01236,6,140,1486,18131
01237,11,376,4163,41634
01238,15,913,6232,143335
01240,15,891,6662,163357
01242,1,20,211,5979
01243,1,11,211,820
01244,1,8,211,4317
01245,3,44,633,3491
01247,15,1230,8432,168396
01253,4,74,854,5806
01254,3,61,643,3312
01255,3,56,423,8246
01256,2,19,422,676
01257,13,407,4134,64182
01258,6,92,1096,10316
01259,5,99,1275,6133
01260,2,28,422,20634
01262,10,297,3721,56146
01266,9,187,2359,12386
01267,15,712,5298,214976
01270,3,32,433,2199
01301,17,2144,11085,375291
01302,3,29,674,17857
01330,5,83,1275,3335
01331,15,883,7154,141660
01337,7,154,1737,17128
01338,3,29,643,2119
01339,6,101,1296,15985
01340,6,48,666,6563
01341,6,83,1086,6359
01342,7,86,1087,56715
01344,4,51,644,13663
01346,1,3,1,396
01349,2,22,442,1943
01351,5,84,1295,3846
01354,5,63,1326,11414
01355,4,48,854,3270
01360,7,131,1507,42452
01364,13,484,4585,52949
01366,6,90,1286,4900
01367,1,8,231,5083
01368,2,20,212,1751
01370,15,479,4556,23544
01373,15,542,5360,147785
01375,8,152,1969,56983
01376,11,341,3785,69904
01378,1,6,211,272
01379,1,19,211,499
01420,16,3097,13578,507371
01430,12,338,3233,27801
01431,8,213,1929,14189
01432,16,827,8067,312021
01434,10,253,3460,489278
01436,7,98,1087,34420
