Zip,Industries,Establishments,Employees,Payroll
01001,33,786,11074,0
01002,34,940,11187,0
01003,2,11,222,0
01004,1,3,1,0
01005,11,93,1501,0
01007,22,333,4564,0
01008,2,13,212,0
01009,1,4,1,0
01010,7,113,1497,0
01012,2,9,212,0
01013,32,534,8294,0
01020,38,921,13517,0
01022,11,44,11,0
01026,2,12,422,0
01027,31,704,8753,0
01028,39,888,10588,0
01029,1,3,1,0
01030,20,339,5431,0
01031,3,16,423,0
01032,2,13,422,0
01033,10,157,2780,0
01034,2,19,422,0
01035,33,478,7937,0
01036,13,172,3003,0
01037,1,5,1,0
01038,8,54,858,0
01039,4,29,644,0
01040,45,1535,20734,0
01041,4,18,465,0
01050,5,23,215,0
01053,1,3,1,0
01054,6,47,846,0
01056,34,682,9847,0
01057,15,182,2785,0
01059,1,3,1,0
01060,41,1315,15986,0
01061,2,14,432,0
01062,22,278,4542,0
01066,1,3,1,0
01068,4,37,844,0
01069,28,378,6772,0
01071,3,20,633,0
01072,2,13,212,0
01073,14,155,2364,0
01075,29,509,6741,0
01077,27,309,5208,0
01080,4,29,644,0
01081,1,3,1,0
01082,20,212,3471,0
01083,6,27,426,0
01085,46,1506,18651,0
01086,1,6,211,0
01088,4,17,214,0
01089,50,1729,23109,0
01090,2,7,2,0
01092,2,6,2,0
01093,1,4,1,0
01095,29,474,6500,0
01096,6,41,877,0
01101,1,7,211,0
01102,1,5,1,0
01103,22,782,8471,0
01104,39,841,13266,0
01105,21,399,7558,0
01106,26,446,6087,0
01107,11,200,3105,0
01108,24,400,7018,0
01109,27,474,7240,0
01115,7,51,857,0
01118,16,192,3436,0
01119,23,218,4187,0
01128,9,42,670,0
01129,21,206,3985,0
01144,4,57,1105,0
01151,13,140,2613,0
01201,52,2358,23570,0
01202,2,10,212,0
01220,21,222,4173,0
01222,2,10,212,0
01223,5,45,845,0
01225,7,47,427,0
01226,15,162,2836,0
01230,36,716,10931,0
01235,5,46,635,0
01236,5,48,1055,0
01237,13,132,2174,0
01238,23,414,5935,0
01240,25,369,5867,0
01245,1,6,211,0
01247,31,474,6993,0
01253,3,31,423,0
01254,5,38,845,0
01255,3,18,633,0
01257,11,126,2131,0
01258,4,22,424,0
01259,3,30,633,0
01262,10,72,1290,0
01266,6,54,846,0
01267,21,265,3692,0
01270,1,8,211,0
01301,41,917,13072,0
01302,2,6,2,0
01330,5,27,645,0
01331,27,306,4790,0
01337,3,27,423,0
01338,1,3,1,0
01339,4,20,424,0
01340,2,6,2,0
01341,1,6,211,0
01342,1,3,1,0
01344,1,4,1,0
01351,3,25,633,0
01354,2,8,2,0
01360,7,38,637,0
01364,18,147,2778,0
01366,3,22,633,0
01367,1,6,211,0
01370,17,144,2807,0
01373,23,192,3276,0
01375,6,50,866,0
01376,16,117,2606,0
01379,1,6,211,0
01420,45,1324,15705,0
01430,12,120,1912,0
01431,6,60,1056,0
01432,30,331,5231,0
01434,8,57,648,0
01436,3,13,213,0
01440,36,677,11423,0
01441,1,6,1,0
01450,19,336,4981,0
01451,10,209,2821,0
01452,4,43,634,0
01453,51,2087,24412,0
01460,30,495,6604,0
01462,21,339,4583,0
01463,21,354,4952,0
01464,12,148,2352,0
01468,8,66,1268,0
01469,16,184,2587,0
01473,21,256,4081,0
01474,2,15,212,0
01475,18,186,3279,0
01501,41,1070,16560,0
01503,9,104,1479,0
01504,14,216,3235,0
01505,10,155,1720,0
01506,7,46,1267,0
01507,28,379,4769,0
01508,2,23,442,0
01510,22,376,5203,0
01515,4,28,634,0
01516,13,169,2363,0
01518,6,68,1517,0
01519,10,124,1982,0
01520,21,446,6806,0
01521,1,6,211,0
01522,4,29,634,0
01523,14,155,2584,0
01524,12,126,1743,0
01525,2,7,2,0
01527,31,484,7937,0
01529,4,18,214,0
01531,1,10,211,0
01532,35,885,10551,0
01534,12,89,1702,0
01535,15,102,1495,0
01536,17,206,3217,0
01537,12,73,1292,0
01538,1,9,211,0
01540,24,315,4575,0
01541,6,68,846,0
01542,4,28,424,0
01543,13,173,3233,0
01545,43,1505,17372,0
01550,28,501,6530,0
01560,7,52,847,0
01561,1,8,221,0
01562,18,276,4609,0
01564,22,291,4564,0
01566,24,347,5247,0
01568,16,218,2776,0
01569,27,414,5419,0
01570,31,597,7904,0
01571,16,225,3017,0
01581,54,1759,20570,0
01583,25,363,6357,0
01585,11,83,1322,0
01588,24,338,5886,0
01590,20,254,4151,0
01602,25,546,6527,0
01603,38,681,9003,0
01604,41,1264,14446,0
01605,38,1020,13854,0
01606,38,723,11514,0
01607,18,181,3228,0
01608,27,899,10331,0
01609,30,934,9760,0
01610,29,554,8762,0
01611,2,16,422,0
01612,11,87,1501,0
01613,2,9,212,0
01701,49,2258,23080,0
01702,44,1691,16601,0
01719,12,168,2164,0
01720,39,1306,16599,0
01721,30,693,8513,0
01730,41,905,10518,0
01731,1,26,211,0
01740,12,175,2162,0
01741,11,137,1701,0
01742,41,1470,15683,0
01746,35,623,7858,0
01747,22,223,3464,0
01748,31,787,9257,0
01749,40,904,11560,0
01752,56,2785,27624,0
01754,25,410,5299,0
01756,15,220,3666,0
01757,43,1596,16053,0
01760,46,2480,22992,0
01770,14,141,1704,0
01772,33,578,9102,0
01773,16,208,2766,0
01775,16,200,2586,0
01776,37,938,9650,0
01778,29,614,7580,0
01801,59,4071,36236,0
01803,48,2866,28309,0
01805,1,4,1,0
01810,46,1915,21471,0
01821,41,1272,14781,0
01824,44,1472,16827,0
01826,33,977,9458,0
01827,5,69,1065,0
01830,31,873,10662,0
01831,1,10,211,0
01832,35,488,6330,0
01833,22,293,4502,0
01834,11,176,2371,0
01835,36,464,7680,0
01840,31,563,8588,0
01841,33,705,8047,0
01842,1,3,1,0
01843,37,838,11577,0
01844,42,1699,16916,0
01845,42,1635,15830,0
01850,14,139,2385,0
01851,30,829,10410,0
01852,42,1375,14102,0
01853,1,3,1,0
01854,20,496,6373,0
01860,11,109,2121,0
01862,33,630,8671,0
01863,22,350,5967,0
01864,34,925,11295,0
01867,32,949,10788,0
01876,43,1313,14666,0
01879,23,507,6419,0
01880,40,1649,17180,0
01885,1,6,211,0
01886,40,1148,12131,0
01887,45,1569,19564,0
01888,1,8,211,0
01890,31,990,10086,0
01901,23,459,7090,0
01902,25,805,8129,0
01904,28,514,6089,0
01905,29,646,6784,0
01906,42,1441,16709,0
01907,24,537,5908,0
01908,5,38,635,0
01910,2,15,422,0
01913,33,708,9406,0
01915,51,2383,23689,0
01921,13,214,2353,0
01922,7,57,847,0
01923,48,2039,22593,0
01929,18,213,3659,0
01930,51,1588,15560,0
01931,1,3,1,0
01938,29,629,8293,0
01940,34,679,7248,0
01944,20,295,4531,0
01945,37,1017,11700,0
01949,36,551,8279,0
01950,46,1391,15049,0
01951,13,94,1273,0
01952,27,451,6122,0
01960,53,2735,25325,0
01961,1,4,1,0
01965,1,3,1,0
01966,18,286,3628,0
01969,28,320,4160,0
01970,50,2170,17619,0
01982,17,191,2797,0
01983,24,364,5414,0
01984,13,98,1703,0
01985,8,92,1058,0
02019,34,674,9521,0
02021,48,1735,18311,0
02025,27,470,7129,0
02026,42,1710,20336,0
02027,2,12,212,0
02030,12,182,2552,0
02032,15,145,2616,0
02035,44,1104,14093,0
02038,45,1527,18379,0
02043,40,1588,16516,0
02045,13,239,2804,0
02048,42,1054,13365,0
02050,36,905,10711,0
02051,1,3,1,0
02052,26,554,7669,0
02053,31,515,6724,0
02054,19,291,4560,0
02056,26,399,4957,0
02061,38,1098,14137,0
02062,51,2297,22074,0
02066,28,664,9142,0
02067,24,638,6714,0
02071,1,7,211,0
02072,45,1693,17791,0
02081,36,1044,11850,0
02090,32,854,9237,0
02093,31,744,8609,0
02108,33,2137,16398,0
02109,35,2722,18977,0
02110,39,3573,20419,0
02111,38,1940,18567,0
02113,15,307,3476,0
02114,31,1288,12347,0
02115,29,1129,12525,0
02116,42,3990,27958,0
02117,1,6,211,0
02118,38,1476,15000,0
02119,31,758,11637,0
02120,13,290,4605,0
02121,16,314,4578,0
02122,33,959,12096,0
02124,27,1034,11275,0
02125,33,780,10369,0
02126,20,349,5881,0
02127,38,1178,14450,0
02128,38,1465,17105,0
