Zip,Industries,Establishments,Employees,Payroll
01001,56,429,7660,0
01002,57,586,11759,0
01003,1,6,221,0
01005,10,49,640,0
01007,20,164,2790,0
01008,1,5,1,0
01010,9,70,1489,0
01013,31,234,4051,0
01020,57,564,10112,0
01022,2,8,2,0
01026,1,6,211,0
01027,44,370,7156,0
01028,52,503,7575,0
01030,23,190,3013,0
01033,11,79,1271,0
01035,28,223,4471,0
01036,10,102,1700,0
01038,4,21,424,0
01039,2,8,2,0
01040,94,1000,17921,0
01041,1,6,242,0
01050,1,6,211,0
01056,45,381,6716,0
01057,11,84,1501,0
01060,81,768,14300,0
01062,21,137,2361,0
01066,1,3,1,0
01068,3,16,423,0
01069,23,149,2415,0
01071,2,12,422,0
01073,9,52,639,0
01075,33,256,4754,0
01077,21,138,2621,0
01080,2,10,212,0
01082,16,95,1747,0
01083,1,6,211,0
01085,87,954,15365,0
01088,1,3,1,0
01089,93,1078,18641,0
01095,31,275,5213,0
01096,2,13,212,0
01103,33,419,4847,0
01104,63,467,6938,0
01105,28,200,3051,0
01106,34,256,4335,0
01107,8,85,1370,0
01108,24,169,2604,0
01109,35,309,5226,0
01115,3,22,423,0
01118,16,107,2407,0
01119,15,112,2017,0
01128,3,13,3,0
01129,13,80,1554,0
01144,5,30,435,0
01151,9,41,639,0
01201,123,1730,26738,0
01220,12,88,2162,0
01222,1,6,211,0
01223,5,32,635,0
01225,4,21,424,0
01226,10,60,1270,0
01230,52,398,6495,0
01235,4,30,634,0
01236,1,12,211,0
01237,10,55,1060,0
01238,20,199,3721,0
01240,24,187,3476,0
01245,1,6,211,0
01247,34,229,3926,0
01257,10,66,1280,0
01258,3,13,213,0
01259,1,7,211,0
01260,1,6,211,0
01262,5,34,215,0
01266,3,19,643,0
01267,16,154,3226,0
01301,58,520,9851,0
01330,2,12,422,0
01331,22,124,2193,0
01337,2,7,2,0
01339,3,12,213,0
01341,1,6,211,0
01342,1,3,1,0
01354,1,4,1,0
01360,1,7,211,0
01364,10,72,1910,0
01366,1,3,1,0
01370,9,64,1089,0
01373,13,64,904,0
01375,3,20,423,0
01376,7,32,657,0
01420,81,859,14144,0
01430,5,33,425,0
01431,4,30,634,0
01432,18,120,2180,0
01434,4,15,4,0
01436,1,3,1,0
01440,46,399,6797,0
01450,20,161,3031,0
01451,14,85,1694,0
01452,2,11,212,0
01453,127,1591,27574,0
01460,32,218,3412,0
01462,21,165,1931,0
01463,22,230,4022,0
01464,10,62,1270,0
01468,3,19,423,0
01469,10,67,1301,0
01473,21,138,2341,0
01474,1,13,431,0
01475,11,74,1311,0
01501,70,611,11522,0
01503,8,59,1058,0
01504,18,132,2968,0
01505,7,71,1287,0
01506,3,14,213,0
01507,28,209,3408,0
01508,2,10,2,0
01510,29,206,4141,0
01515,2,12,422,0
01516,10,77,1480,0
01518,3,18,244,0
01519,10,60,1270,0
01520,28,269,6122,0
01522,2,15,422,0
01523,11,66,1281,0
01524,10,78,1710,0
01527,28,239,4833,0
01529,3,13,213,0
01532,60,551,9932,0
01534,5,26,425,0
01535,4,27,634,0
01536,14,87,1735,0
01537,2,11,212,0
01538,1,3,1,0
01540,24,191,4555,0
01541,3,18,423,0
01542,2,6,2,0
01543,13,92,1723,0
01545,92,1045,17232,0
01550,34,272,5405,0
01560,3,28,633,0
01561,1,3,1,0
01562,20,178,3210,0
01564,20,116,1500,0
01566,27,177,3539,0
01568,22,145,2752,0
01569,29,230,4090,0
01570,41,351,6743,0
01571,16,120,2366,0
01581,116,1189,20491,0
01583,26,183,4306,0
01585,6,31,426,0
01588,25,175,3896,0
01590,16,116,1486,0
01602,32,296,4713,0
01603,53,411,6705,0
01604,75,935,15985,0
01605,73,655,11159,0
01606,51,400,6804,0
01607,13,71,1283,0
01608,46,565,7251,0
01609,49,534,8745,0
01610,38,355,6321,0
01611,2,6,2,0
01612,3,28,653,0
01655,1,3,1,0
01701,113,1646,27443,0
01702,99,1202,17946,0
01719,18,89,1508,0
01720,81,813,14347,0
01721,46,449,7968,0
01730,62,588,9626,0
01731,1,9,211,0
01740,11,74,1481,0
01741,8,54,638,0
01742,92,998,16710,0
01746,38,332,5798,0
01747,15,74,1065,0
01748,53,495,10074,0
01749,62,612,11514,0
01752,148,2103,31171,0
01754,26,200,2806,0
01756,16,121,2157,0
01757,95,1243,18683,0
01760,139,1904,32021,0
01770,11,76,1701,0
01772,35,270,3666,0
01773,13,83,1273,0
01775,11,70,1271,0
01776,55,610,10817,0
01778,38,319,6229,0
01801,201,3120,47491,0
01803,127,2103,36522,0
01810,90,1318,19626,0
01821,78,877,13504,0
01824,86,1043,17768,0
01826,58,782,12771,0
01827,3,21,423,0
01830,49,606,10987,0
01832,29,284,5212,0
01833,14,114,1734,0
01834,12,93,1482,0
01835,22,167,3095,0
01840,39,305,6081,0
01841,55,667,10968,0
01842,1,3,1,0
01843,62,581,8696,0
01844,105,1368,19390,0
01845,87,1208,20568,0
01850,13,95,1733,0
01851,52,527,8435,0
01852,79,903,15003,0
01854,33,284,5236,0
01860,13,68,1483,0
01862,44,320,5299,0
01863,18,141,2630,0
01864,59,556,10237,0
01867,55,619,10931,0
01876,75,830,14394,0
01879,35,284,4597,0
01880,96,1175,18454,0
01886,66,788,13772,0
01887,98,1024,15735,0
01890,59,678,11736,0
01901,34,293,5225,0
01902,52,866,10923,0
01904,32,399,6484,0
01905,45,603,8376,0
01906,85,1074,16255,0
01907,34,338,6516,0
01908,2,9,212,0
01913,49,441,8430,0
01915,128,1786,29786,0
01921,16,112,2346,0
01922,2,9,212,0
01923,122,1482,25442,0
01929,15,90,1726,0
01930,84,1123,17016,0
01938,40,298,4721,0
01940,53,496,8791,0
01944,19,95,1279,0
01945,64,692,12845,0
01949,49,378,6501,0
01950,89,870,14315,0
01951,7,44,1077,0
01952,30,256,4961,0
01960,151,2191,33217,0
01966,14,148,2974,0
01969,22,150,2602,0
01970,109,1527,21568,0
