Zip,Industries,Establishments,Employees,Payroll
01001,57,463,7661,0
01002,55,619,10856,0
01003,1,6,221,0
01005,11,65,1061,0
01007,20,190,3461,0
01008,1,9,211,0
01010,8,71,1278,0
01013,30,260,4500,0
01020,55,616,10289,0
01022,4,14,4,0
01026,1,6,211,0
01027,49,419,6680,0
01028,53,560,8226,0
01030,21,218,3462,0
01033,12,85,1272,0
01035,31,267,4855,0
01036,10,104,1700,0
01038,5,24,425,0
01039,2,15,232,0
01040,92,1069,17918,0
01041,1,6,242,0
01050,1,8,211,0
01056,43,420,7134,0
01057,11,97,1711,0
01060,78,820,13587,0
01062,20,147,2360,0
01066,1,3,1,0
01068,3,16,423,0
01069,24,167,2385,0
01071,2,12,422,0
01073,9,61,849,0
01075,32,287,4943,0
01077,21,163,3252,0
01080,2,10,212,0
01082,17,110,1958,0
01083,1,6,211,0
01085,87,1026,15303,0
01088,2,7,2,0
01089,92,1161,19409,0
01092,1,3,1,0
01093,1,6,221,0
01095,30,305,5402,0
01096,2,13,212,0
01103,35,462,5520,0
01104,64,507,6970,0
01105,27,227,4003,0
01106,34,295,5395,0
01107,10,95,1372,0
01108,24,190,3034,0
01109,33,322,5465,0
01115,4,25,424,0
01118,15,120,2836,0
01119,17,127,1788,0
01128,2,17,243,0
01129,13,93,2005,0
01144,6,37,646,0
01151,9,50,1089,0
01201,117,1827,26531,0
01220,11,102,2602,0
01222,1,6,211,0
01223,5,32,635,0
01225,6,33,636,0
01226,10,79,1920,0
01230,50,439,7563,0
01235,4,34,634,0
01236,1,14,211,0
01237,10,62,1270,0
01238,20,216,3972,0
01240,21,198,3263,0
01245,1,6,211,0
01247,33,254,3464,0
01253,1,3,1,0
01255,1,6,211,0
01257,11,73,1281,0
01258,3,14,213,0
01259,1,7,211,0
01260,1,6,211,0
01262,5,42,425,0
01266,3,21,643,0
01267,16,185,3867,0
01301,58,564,9612,0
01330,3,15,423,0
01331,22,148,2843,0
01337,3,15,213,0
01339,4,20,424,0
01341,1,6,211,0
01342,1,3,1,0
01344,1,3,1,0
01354,1,4,1,0
01360,1,7,211,0
01364,10,78,1700,0
01366,1,3,1,0
01370,9,74,1299,0
01373,12,78,1333,0
01375,2,23,642,0
01376,7,38,867,0
01420,84,920,13436,0
01430,5,40,635,0
01431,5,33,635,0
01432,19,149,2580,0
01434,4,16,4,0
01436,2,7,2,0
01440,45,426,6556,0
01450,19,186,3030,0
01451,16,109,2116,0
01452,2,11,212,0
01453,122,1667,25859,0
01460,31,261,4312,0
01462,21,189,2801,0
01463,23,254,4663,0
01464,9,71,1479,0
01468,4,22,424,0
01469,10,77,1511,0
01473,20,151,2791,0
01474,1,15,431,0
01475,9,88,1749,0
01501,73,676,12343,0
01503,9,71,1279,0
01504,19,150,3420,0
01505,9,95,1729,0
01506,4,21,424,0
01507,26,217,3196,0
