Zip,Industries,Establishments,Employees,Payroll
01001,36,777,11769,0
01002,31,884,12117,0
01003,1,10,221,0
01005,13,129,1913,0
01007,20,367,6071,0
01008,2,17,422,0
01010,8,124,1698,0
01012,1,4,1,0
01013,27,487,7250,0
01020,34,911,13042,0
01022,9,33,9,0
01026,2,12,422,0
01027,35,719,9709,0
01028,38,889,10734,0
01030,22,370,5393,0
01031,1,3,1,0
01032,1,4,1,0
01033,11,158,2131,0
01034,4,30,844,0
01035,31,492,8659,0
01036,11,159,1931,0
01038,10,58,430,0
01039,4,41,1074,0
01040,45,1516,19806,0
01041,4,18,455,0
01050,5,25,425,0
01053,5,24,635,0
01054,3,24,423,0
01056,35,672,8716,0
01057,16,180,2576,0
01060,40,1223,16236,0
01061,2,12,212,0
01062,22,307,4553,0
01066,1,3,1,0
01068,5,44,1055,0
01069,24,354,6306,0
01071,2,12,422,0
01072,2,11,212,0
01073,13,150,2133,0
01075,28,478,6751,0
01077,27,328,5618,0
01079,1,6,211,0
01080,5,29,635,0
01081,2,12,422,0
01082,23,206,3024,0
01083,6,30,636,0
01085,48,1508,19312,0
01086,2,6,2,0
01088,2,7,2,0
01089,47,1671,22648,0
01090,3,9,3,0
01092,2,11,212,0
01093,3,12,223,0
01095,26,500,6998,0
01096,6,43,856,0
01101,1,3,1,0
01103,22,670,8462,0
01104,39,856,12994,0
01105,23,379,6681,0
01106,26,453,6128,0
01107,14,188,2886,0
01108,23,353,5423,0
01109,23,502,8147,0
01111,1,4,1,0
01115,7,52,847,0
01118,18,217,3889,0
01119,23,231,3977,0
01128,4,27,245,0
01129,21,179,2853,0
01144,5,55,1106,0
01151,18,160,3218,0
01201,50,2354,23047,0
01202,3,15,423,0
01220,20,212,4121,0
01222,3,17,423,0
01223,4,43,634,0
01225,7,56,637,0
01226,13,155,2614,0
01230,35,696,9880,0
01235,5,58,845,0
01236,4,37,844,0
01237,14,116,1924,0
01238,23,372,5276,0
01240,22,356,5414,0
01245,1,6,211,0
01247,30,484,7055,0
01253,4,24,214,0
01254,2,14,422,0
01255,2,13,422,0
01256,1,6,211,0
01257,10,127,1910,0
01258,5,24,425,0
01259,4,34,844,0
01260,1,7,211,0
01262,12,94,1702,0
01266,6,57,1276,0
01267,21,300,4123,0
01270,2,14,422,0
01301,38,890,12788,0
01302,1,3,1,0
01330,3,22,633,0
01331,26,317,5647,0
01337,5,35,425,0
01339,4,25,634,0
01340,3,10,3,0
01341,3,20,423,0
01342,4,18,424,0
01344,1,3,1,0
01351,3,18,423,0
01354,3,13,213,0
01360,2,20,422,0
01364,20,178,2970,0
01366,4,28,634,0
01370,16,166,3226,0
01373,20,185,3281,0
01375,6,48,856,0
01376,15,104,2185,0
01420,45,1379,16814,0
01430,13,119,1693,0
01431,7,65,1057,0
01432,27,307,4568,0
01434,9,60,910,0
01436,5,21,215,0
01440,37,690,8980,0
01450,21,347,5642,0
01451,12,202,2813,0
01452,5,45,845,0
01453,53,2163,22965,0
01460,32,479,6165,0
01462,23,345,4943,0
01463,23,384,4923,0
01464,14,175,2114,0
01468,6,56,846,0
01469,12,154,2563,0
01473,20,304,4741,0
01474,3,28,853,0
01475,17,204,3257,0
01501,43,1100,16364,0
01503,11,144,2351,0
01504,15,244,3226,0
01505,11,174,2371,0
01506,7,55,1267,0
01507,28,382,4728,0
01508,3,30,663,0
01510,22,388,5925,0
01515,8,50,1058,0
01516,15,167,1915,0
01518,8,68,1319,0
01519,14,137,2145,0
01520,24,488,6850,0
01521,2,14,422,0
01522,5,39,845,0
01523,15,174,2145,0
01524,13,165,2593,0
01527,33,493,7370,0
01529,4,33,634,0
01531,1,8,211,0
01532,36,889,10311,0
01534,9,68,849,0
01535,12,91,1482,0
01536,20,237,3421,0
01537,10,70,1091,0
01538,1,4,1,0
01540,22,348,5453,0
01541,8,81,1488,0
01542,4,30,424,0
01543,12,186,3012,0
01545,44,1547,17141,0
01550,31,506,7224,0
01560,11,81,851,0
01561,2,6,2,0
01562,20,314,4991,0
01564,20,275,3691,0
01566,26,384,6129,0
01568,18,278,3429,0
01569,25,472,6799,0
01570,32,587,7173,0
01571,17,223,3437,0
01581,50,1719,19848,0
01583,27,403,5699,0
01585,11,83,1491,0
01588,28,388,6300,0
01590,20,308,3941,0
01602,26,524,6727,0
01603,37,745,10051,0
01604,38,1364,16214,0
01605,36,1038,12111,0
01606,37,747,11609,0
01607,21,193,3252,0
01608,28,909,11150,0
01609,31,871,11262,0
01610,29,615,9286,0
01611,4,29,844,0
01612,10,72,1080,0
01613,2,14,422,0
01655,1,3,1,0
01701,48,2212,22835,0
01702,46,1693,16590,0
01704,1,3,1,0
01719,14,184,2856,0
01720,44,1256,14963,0
01721,31,740,9855,0
01730,38,957,11552,0
01731,1,14,211,0
01740,11,153,2141,0
01741,10,128,1270,0
01742,38,1423,13730,0
01745,1,4,1,0
01746,37,644,8068,0
01747,18,211,3049,0
01748,31,796,8335,0
01749,40,1001,12200,0
01752,56,2865,25709,0
01754,26,423,5889,0
01756,19,277,4540,0
01757,45,1746,17126,0
01760,46,2460,23660,0
01770,12,164,2132,0
01772,29,581,7935,0
01773,14,193,2175,0
01775,15,195,2575,0
01776,34,954,10288,0
01778,29,597,8022,0
01801,58,4144,35886,0
01803,49,2728,27882,0
01805,1,3,1,0
01810,45,1867,17017,0
01821,43,1265,14131,0
01824,43,1500,15855,0
01826,34,1058,10538,0
01827,5,60,1285,0
01830,30,911,10843,0
01832,34,548,6537,0
01833,22,274,4583,0
01834,14,180,2354,0
01835,32,408,6698,0
01840,30,561,7457,0
01841,34,929,9367,0
01842,2,7,2,0
01843,40,902,10169,0
01844,46,1883,18439,0
01845,39,1698,16710,0
01850,13,175,2603,0
01851,31,801,9470,0
01852,39,1359,15059,0
01853,2,6,2,0
01854,20,488,6636,0
01860,16,142,2556,0
01862,37,647,9177,0
01863,21,336,5695,0
01864,36,923,11433,0
01867,34,964,10842,0
01876,44,1226,13826,0
01879,27,529,6221,0
01880,42,1659,15661,0
01886,40,1150,12622,0
01887,46,1570,18423,0
01888,3,12,213,0
01890,32,1039,11136,0
01901,24,503,7239,0
01902,23,1058,8107,0
01904,22,557,6324,0
01905,28,806,7211,0
01906,40,1459,15626,0
01907,28,568,6740,0
01908,7,44,847,0
01913,32,760,9414,0
01915,51,2464,23628,0
01921,14,229,2795,0
01922,8,58,848,0
01923,49,2077,22092,0
01929,18,202,3019,0
01930,49,1612,15765,0
01931,1,8,221,0
01936,1,6,211,0
01938,28,596,7661,0
01940,29,751,9235,0
01944,18,269,4549,0
01945,35,1048,11309,0
01949,35,664,9387,0
01950,43,1387,15978,0
01951,10,103,2150,0
01952,28,477,6801,0
01960,51,2820,24959,0
01961,1,3,1,0
01965,1,3,1,0
01966,17,254,4067,0
01969,25,318,5268,0
01970,50,2117,19423,0
01982,15,180,3025,0
01983,23,342,5426,0
01984,12,107,2152,0
01985,10,110,1690,0
02019,34,760,9669,0
02021,47,1672,18885,0
02025,25,473,6507,0
02026,42,1723,17895,0
02027,2,9,212,0
02030,11,159,2561,0
02032,13,129,1954,0
02035,41,1180,14625,0
02038,50,1618,17786,0
02043,41,1693,17178,0
02045,15,254,3446,0
02048,44,1122,14187,0
02050,38,977,11800,0
02051,1,3,1,0
02052,25,541,6537,0
02053,33,558,6514,0
02054,22,323,4083,0
02056,24,346,5036,0
02061,35,1119,15622,0
02062,54,2319,22959,0
02066,29,662,8272,0
02067,22,634,6974,0
02071,2,7,2,0
02072,43,1713,17042,0
02081,39,1097,12536,0
02090,32,871,10682,0
02093,32,762,8138,0
02108,34,2060,16181,0
02109,37,2518,18995,0
02110,36,3617,22390,0
02111,31,1708,16962,0
02113,13,294,3276,0
02114,31,1280,12717,0
02115,27,1269,13456,0
02116,43,3894,27285,0
02117,1,8,211,0
02118,38,1667,15210,0
02119,28,779,10678,0
