,fips,naics,employees,firms,wages
0,13000,111110,0,6,0
1,13000,111130,0,1,0
2,13000,111140,0,4,0
3,13000,111150,193,19,3765490
4,13000,111191,49,8,1150133
5,13000,111199,15,4,538849
6,13000,111211,0,2,0
7,13000,111219,0,151,0
8,13000,111331,174,3,3115264
9,13000,111332,57,6,1068081
10,13000,111333,0,5,0
11,13000,111334,690,58,13040963
12,13000,111335,645,82,20281446
13,13000,111336,0,1,0
14,13000,111339,516,8,8264406
15,13000,111411,0,2,0
16,13000,111419,0,12,0
17,13000,111421,1929,128,62961425
18,13000,111422,500,45,15147915
19,13000,111910,90,22,2460943
20,13000,111920,1244,179,29717216
21,13000,111930,0,3,0
22,13000,111940,0,16,0
23,13000,111992,484,78,13134931
24,13000,111998,299,49,8766623
25,13000,112111,0,81,0
26,13000,112112,0,3,0
27,13000,112120,1073,82,36852728
28,13000,112210,0,13,0
29,13000,112310,553,16,20439976
30,13000,112320,709,78,39077861
31,13000,112340,1022,30,42959277
32,13000,112390,165,6,5064037
33,13000,112410,0,1,0
34,13000,112420,0,1,0
35,13000,112511,0,8,0
36,13000,112519,0,1,0
37,13000,112910,208,17,6523114
38,13000,112920,58,26,1615951
39,13000,112990,133,24,4000211
40,13000,113110,554,77,43773368
41,13000,113210,139,17,5324286
42,13000,113310,4290,560,177262350
43,13000,114111,0,2,0
44,13000,114112,9,7,214890
45,13000,114119,0,1,0
46,13000,114210,221,39,7116152
47,13000,115111,964,55,39716108
48,13000,115112,231,69,8867234
49,13000,115113,202,12,2860549
50,13000,115114,2078,80,63687504
51,13000,115115,621,51,12177294
52,13000,115116,57,13,2111876
53,13000,115210,549,123,18942854
54,13000,115310,802,163,42749698
55,13000,212311,356,29,15919317
56,13000,212312,241,4,15519974
57,13000,212313,1210,80,84812649
58,13000,212319,212,10,23154991
59,13000,212321,159,16,6928744
60,13000,212322,67,5,3792618
61,13000,212324,883,22,59204266
62,13000,212325,1247,9,91965406
63,13000,212391,0,1,0
64,13000,212393,100,6,6211922
65,13000,212399,0,5,0
66,13000,213111,97,24,6459487
67,13000,213112,72,15,11566922
68,13000,213115,328,11,15012751
69,13000,221111,63,5,6048226
70,13000,221112,0,27,0
71,13000,221113,0,4,0
72,13000,221114,12,6,1061490
73,13000,221116,0,1,0
74,13000,221117,0,4,0
75,13000,221118,0,2,0
76,13000,221121,0,6,0
77,13000,221122,0,306,0
78,13000,221210,2014,57,256494348
79,13000,221310,1023,92,46922266
80,13000,221320,88,7,4564183
81,13000,236115,7617,2551,530676989
82,13000,236116,829,110,78464030
83,13000,236117,1550,223,121504124
84,13000,236118,5663,1954,250142728
85,13000,236210,4481,262,324451063
86,13000,236220,17891,1968,1264690284
87,13000,237110,5037,464,260297764
88,13000,237120,1204,83,78387605
89,13000,237130,8108,421,446064381
90,13000,237210,1794,284,114905482
91,13000,237310,7642,288,424013726
92,13000,237990,2485,220,184275218
93,13000,238111,1727,253,80771516
94,13000,238112,3382,259,179610828
95,13000,238121,10,5,323888
96,13000,238122,2658,185,144739695
97,13000,238131,374,187,17305405
98,13000,238132,345,53,15952877
99,13000,238141,615,250,24959087
100,13000,238142,1352,222,61069296
101,13000,238151,404,82,18339499
102,13000,238152,1417,126,70716239
103,13000,238161,1334,441,62978483
104,13000,238162,3168,220,161033327
