Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
07950,5614,4,1,0,4
07950,5615,4,1,0,4
07950,5616,3,1,0,4
07950,5617,22,1,0,4
07950,5617,17,210,0,4
07950,6115,3,1,0,4
07950,6116,11,1,0,4
07950,6116,6,210,0,4
07950,6116,4,220,0,4
07950,6211,13,1,0,4
07950,6211,7,210,0,4
07950,6211,4,230,0,4
07950,6212,7,1,0,4
07950,6212,3,210,0,4
07950,6212,3,230,0,4
07950,6213,7,1,0,4
07950,6213,7,210,0,4
07950,6216,4,1,0,4
07950,6216,3,251,0,4
07950,6232,4,1,0,4
07950,6232,3,220,0,4
07950,6241,4,1,0,4
07950,6244,5,1,0,4
07950,6244,4,210,0,4
07950,7139,7,1,0,4
07950,7139,4,210,0,4
07950,7223,3,1,0,4
07950,7225,42,1,0,4
07950,7225,13,210,0,4
07950,7225,9,220,0,4
07950,7225,11,230,0,4
07950,7225,6,241,0,4
07950,8111,4,1,0,4
07950,8121,25,1,0,4
07950,8121,13,210,0,4
07950,8121,3,220,0,4
07950,8121,4,230,0,4
07950,8121,4,241,0,4
07950,8123,5,1,0,4
07950,8123,3,210,0,4
07950,8129,3,1,0,4
07950,8131,7,1,0,4
07950,8131,4,210,0,4
07950,8139,5,1,0,4
07950,8139,4,210,0,4
07950,2361,7,1,0,4
07950,2361,6,210,0,4
07950,2362,3,1,0,4
07950,2362,3,230,0,4
07950,2382,12,1,0,4
07950,2382,7,210,0,4
07950,2382,5,220,0,4
07950,2383,7,1,0,4
07950,2383,6,210,0,4
07950,3231,3,1,0,4
07950,4234,6,1,0,4
07950,4234,4,210,0,4
07950,4239,4,1,0,4
07950,4239,4,210,0,4
07950,4244,4,1,0,4
07950,4244,4,210,0,4
07950,4421,3,1,0,4
07950,4451,7,1,0,4
07950,4452,4,1,0,4
07950,4453,5,1,0,4
07950,4453,3,210,0,4
07950,4461,4,1,0,4
07950,4471,8,1,0,4
07950,4471,3,210,0,4
07950,4471,4,220,0,4
07950,4523,3,1,0,4
07950,4541,4,1,0,4
07950,4841,4,1,0,4
07950,4841,3,210,0,4
07950,5221,8,1,0,4
07950,5221,6,220,0,4
07950,5222,14,1,0,4
07950,5222,4,210,0,4
07950,5222,3,220,0,4
07950,5222,7,230,0,4
07950,5242,8,1,0,4
07950,5242,5,210,0,4
07950,5311,8,1,0,4
07950,5311,5,210,0,4
07950,5312,19,1,0,4
07950,5312,17,210,0,4
07950,5313,8,1,0,4
07950,5313,3,210,0,4
07950,5313,3,220,0,4
07950,5411,10,1,0,4
07950,5411,7,210,0,4
07950,5412,8,1,0,4
07950,5412,7,210,0,4
07950,5413,13,1,0,4
07950,5413,9,210,0,4
07950,5415,31,1,0,4
07950,5415,24,210,0,4
07950,5415,3,230,0,4
07950,5416,11,1,0,4
07950,5416,11,210,0,4
07950,5417,5,1,0,4
07950,5419,4,1,0,4
07950,5511,12,1,0,4
07950,5511,5,210,0,4
07950,5613,19,1,0,4
07950,5613,11,210,0,4
