"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Santa Fe","https://www.facebook.com/beckandbulow/","35.52727","-105.934035","Beck & Bulow","NM","1336 Jorgensen Lane, Unit #1","poultry fowl red-meat non-poultry-meat","https://twitter.com/beckandbulow","farm","https://www.beckandbulow.com","87507"
"Magdalena","","34.012144","-107.287484","Dunhill Ranch All-Natural Grass-Fed Lamb","NM","Mile 1, Forest Rd 234","red-meat non-poultry-meat","","farm","www.dunhillranch.com","87825"
"Espanola","www.facebook.com/pages/J-L-Gardens/253306811388712","36.003598","-106.065805","J&L Gardens","NM","","","","farm","http://www.jandlgardens.com",""
"Mayhill","https://www.facebook.com/pages/Potters-Ranch/241999489144780?ref=bookmarks","32.916604","-105.449651","Potter's Ranch","NM","3757 US Hwy 82 ","bedding plants cut-flowers eggs fresh-fruits fresh-vegetables","","farm","","88339"
"VELARDE","","36.165529","-105.969742","The Fruit Basket","NM","Highway 68, 1413, box 4","baked-goods canned preserved coffee tea cut-flowers dry beans herbs fresh-fruits fresh-vegetables grains flour honey juices ciders nuts prepared-foods soap body-care","","farm","","87582"
"Corrales","https://www.facebook.com/Wagnerfarms?ref=hl","35.2317680","-106.6114190","Wagner Farms","NM","5000 Corrales rd.","canned preserved fresh-fruits fresh-vegetables","","farm","www.wagnerfarmscorrales.com","83646"
"Clovis","https://www.facebook.com/WindrushAlpacas","34.374628","-103.249837","Windrush Alpacas","NM","770 Curry Road M","","https://twitter.com/WindrushAlpacas","farm","www.windrushalpacas.com","88101"
"Espanola","","36.003598","-106.065805","Espanola Farmers Market","NM","1105 N.Railroad  Avenue","organic baked goods flowers eggs herbs vegetables honey jams meat nuts plants poultry prepared-foods soap beans fruits wild","","market","http://www.espanolafarmersmarket.org","87532"
"Las Cruces","https://www.facebook.com/LasCrucesMarket/","32.326444","-106.789695","Farmers and Crafts Market of Las Cruces ","NM","221 N. Main St","organic baked goods crafts eggs herbs vegetables honey jams meat nuts prepared-foods soap trees coffee fruits","","market","https://www.farmersandcraftsmarketoflascruces.com/","88001"
"Fort Sumner","","34.470848","-104.244013","Fort Sumner Farmers Market","NM","213 E Sumner Avenue","baked goods crafts eggs herbs vegetables honey jams nuts plants soap fruits pet food","","market","","88119"
"Kirtland ","https://www.facebook.com/KirtlandGrowersMarket/","36.7507894","-108.3605187","Kirtland Growers Market","NM","47 Road 6500","eggs vegetables prepared-foods fruits","","market","","87417"
"Los Ranchos","https://www.facebook.com/LosRanchosNM","35.158683","-106.654919","Los Ranchos Growers' Market","NM","City Hall, 6718 Rio Grande Blvd. NW","organic baked goods cheese crafts flowers eggs seafood herbs vegetables honey jams meat nuts plants prepared-foods soap trees coffee beans fruits grains juices mushrooms pet food wild","","market","","87107"
"San Felipe Pueblo ","","35.416275","-106.404321","Pueblo of San Felipe Farmers' Market","NM","25 Hagen Road","baked goods vegetables honey jams beans fruits grains","","market","","87001"
"Silver City","www.facebook.com/silvercityfarmersmarket/","32.774517","-108.276185","Silver City Farmers' Market Downtown","NM","901 N Pope ST","baked goods cheese crafts flowers eggs herbs vegetables honey jams meat nuts plants prepared-foods soap trees fruits juices","","market","","88061"
"Silver City","https://www.facebook.com/silvercityfarmersmarket","32.787733","-108.242482","Silver City Farmers' Market Midweek Market","NM","3025 Highway 180 E, Silver City, NM 88061","baked goods eggs herbs vegetables honey jams meat nuts fruits","","market","","88061"
"Deming","www.facebook.com/sleepingdragonfarmersoutlet","32.189126","-107.750939","Sleeping Dragon Farmers Market","NM","6475 Columbus Rd SE","flowers eggs herbs vegetables honey jams nuts soap beans fruits","","market","http://www.davmid.com","88030"
"sunland park","https://www.facebook.com/FarmersMarketAtADC","31.791358","-106.557437","Sunland Park Ardovino's DC Farmers' Market","NM","one Ardovino Dr","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams meat nuts plants poultry prepared-foods soap trees wine coffee fruits grains juices mushrooms","","market","http://www.ardovinos.com","88063"
"Taos ","Www.facebook.com/taosfarmersmarket","36.407207","-105.574539","Taos Farmers' Market","NM","400 Camina de la Placita","baked goods cheese flowers eggs seafood herbs vegetables honey jams meat nuts plants prepared-foods soap coffee beans fruits grains juices mushrooms wild","","market","http://www.taosfarmersmarket.org","87571"
"Hillsboro ","the Farm Market","32.920178","-107.569106","the Farm Market","NM","Main St","baked goods crafts flowers eggs herbs vegetables jams coffee fruits","","market","","88042"
