,fips,relevant_naics,YEAR,estab,emp,payann
1,35,11,2018,77,265,10801
3,35,21,2018,644,15557,1310201
5,35,22,2018,214,4344,390933
7,35,23,2018,4359,40795,2006778
9,35,42,2018,1637,19441,1054012
11,35,51,2018,802,11468,563233
13,35,52,2018,2585,22303,1362407
15,35,53,2018,2380,9535,417356
17,35,54,2018,4567,56396,4175286
19,35,55,2018,206,6718,423030
21,35,56,2018,1866,31948,1214345
23,35,61,2018,582,8103,270635
25,35,62,2018,5143,124512,5549719
27,35,71,2018,706,12088,285188
29,35,72,2018,4439,93788,1731571
31,35,81,2018,4107,26699,798891
33,35,99,2018,26,20,457
