	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS_TTL	NAICS_Sector	GEO_ID	estab	emp	payann
10920	17	17	0	Illinois	221320	Sewage treatment facilities	22	0400000US17	27.444444444444443	245.22222222222223	11502.666666666666
10921	17	17	0	Illinois	221330	Steam and air-conditioning supply	22	0400000US17	3.111111111111111	0.0	0.0
10922	17	17	0	Illinois	236115	New single-family housing construction (except for-sale builders)	23	0400000US17	1518.5555555555557	3866.222222222222	169437.66666666666
10923	17	17	0	Illinois	236116	New multifamily housing construction (except for-sale builders)	23	0400000US17	168.11111111111111	1736.5555555555557	141760.11111111112
10924	17	17	0	Illinois	236117	New housing for-sale builders	23	0400000US17	494.1111111111111	2024.111111111111	129964.0
10925	17	17	0	Illinois	236118	Residential remodelers	23	0400000US17	5397.0	13070.555555555555	531916.3333333334
10926	17	17	0	Illinois	236210	Industrial building construction	23	0400000US17	162.22222222222223	3209.4444444444443	185233.33333333334
10927	17	17	0	Illinois	236220	Commercial and institutional building construction	23	0400000US17	1359.5555555555557	17623.333333333332	1443782.111111111
10928	17	17	0	Illinois	237110	Water and sewer line and related structures construction	23	0400000US17	349.55555555555554	3104.6666666666665	264827.77777777775
10929	17	17	0	Illinois	237120	Oil and gas pipeline and related structures construction	23	0400000US17	36.44444444444444	1828.888888888889	187088.66666666666
10930	17	17	0	Illinois	237130	Power and communication line and related structures construction	23	0400000US17	188.66666666666666	7124.666666666667	652998.6666666666
10931	17	17	0	Illinois	237210	Land subdivision	23	0400000US17	136.55555555555554	523.8888888888889	42786.11111111111
10932	17	17	0	Illinois	237310	Highway, street, and bridge construction	23	0400000US17	420.55555555555554	6636.777777777777	874995.0
10933	17	17	0	Illinois	237990	Other heavy and civil engineering construction	23	0400000US17	212.88888888888889	3450.3333333333335	297773.44444444444
10934	17	17	0	Illinois	238110	Poured concrete foundation and structure contractors	23	0400000US17	825.2222222222222	6470.666666666667	445808.22222222225
10935	17	17	0	Illinois	238120	Structural steel and precast concrete contractors	23	0400000US17	120.55555555555556	1831.6666666666667	145403.11111111112
10936	17	17	0	Illinois	238130	Framing contractors	23	0400000US17	415.0	2276.4444444444443	117057.66666666667
10937	17	17	0	Illinois	238140	Masonry contractors	23	0400000US17	938.8888888888889	4374.555555555556	316354.6666666667
10938	17	17	0	Illinois	238150	Glass and glazing contractors	23	0400000US17	214.55555555555554	1606.3333333333333	107712.22222222222
10939	17	17	0	Illinois	238160	Roofing contractors	23	0400000US17	835.3333333333334	5231.333333333333	351249.44444444444
10940	17	17	0	Illinois	238170	Siding contractors	23	0400000US17	455.44444444444446	1316.111111111111	55576.88888888889
10941	17	17	0	Illinois	238190	Other foundation, structure, and building exterior contractors	23	0400000US17	168.44444444444446	1008.0	64502.22222222222
10942	17	17	0	Illinois	238210	Electrical contractors and other wiring installation contractors	23	0400000US17	2746.4444444444443	26552.88888888889	2011130.0
10943	17	17	0	Illinois	238220	Plumbing, heating, and air-conditioning contractors	23	0400000US17	4004.777777777778	35304.555555555555	2454922.6666666665
10944	17	17	0	Illinois	238290	Other building equipment contractors	23	0400000US17	308.0	5060.0	446609.3333333333
10945	17	17	0	Illinois	238310	Drywall and insulation contractors	23	0400000US17	569.2222222222222	6446.111111111111	425308.3333333333
10946	17	17	0	Illinois	238320	Painting and wall covering contractors	23	0400000US17	1467.111111111111	6016.666666666667	325822.0
10947	17	17	0	Illinois	238330	Flooring contractors	23	0400000US17	783.5555555555555	3287.0	168442.55555555556
10948	17	17	0	Illinois	238340	Tile and terrazzo contractors	23	0400000US17	285.0	1528.6666666666667	84424.33333333333
10949	17	17	0	Illinois	238350	Finish carpentry contractors	23	0400000US17	1318.4444444444443	5531.333333333333	314700.3333333333
10950	17	17	0	Illinois	238390	Other building finishing contractors	23	0400000US17	322.22222222222223	3738.222222222222	204271.0
10951	17	17	0	Illinois	238910	Site preparation contractors	23	0400000US17	1147.7777777777778	8444.333333333334	651944.0
10952	17	17	0	Illinois	238990	All other specialty trade contractors	23	0400000US17	1376.888888888889	7390.333333333333	580763.5555555555
10953	17	17	0	Illinois	311111	Dog and cat food manufacturing	31	0400000US17	18.555555555555557	669.0	38030.444444444445
10954	17	17	0	Illinois	311119	Other animal food manufacturing	31	0400000US17	41.111111111111114	1121.888888888889	60434.11111111111
10955	17	17	0	Illinois	311211	Flour milling	31	0400000US17	12.0	986.5555555555555	54657.333333333336
10956	17	17	0	Illinois	311212	Rice milling	31	0400000US17	1.5	0.0	0.0
10957	17	17	0	Illinois	311221	Wet corn milling	31	0400000US17	5.0	799.3333333333334	69167.0
10958	17	17	0	Illinois	311224	Soybean and other oilseed processing	31	0400000US17	11.222222222222221	1256.111111111111	73645.88888888889
10959	17	17	0	Illinois	311225	Fats and oils refining and blending	31	0400000US17	11.222222222222221	996.7777777777778	58488.444444444445
10960	17	17	0	Illinois	311230	Breakfast cereal manufacturing	31	0400000US17	4.777777777777778	893.1111111111111	57016.555555555555
10961	17	17	0	Illinois	311313	Beet sugar manufacturing	31	0400000US17	1.0	0.0	0.0
10962	17	17	0	Illinois	311314	Cane sugar manufacturing	31	0400000US17	2.0	0.0	0.0
10963	17	17	0	Illinois	311340	Nonchocolate confectionery manufacturing	31	0400000US17	27.77777777777778	4070.5555555555557	223099.22222222222
10964	17	17	0	Illinois	311351	Chocolate and confectionery manufacturing from cacao beans	31	0400000US17	10.88888888888889	743.3333333333334	47924.22222222222
10965	17	17	0	Illinois	311352	Confectionery manufacturing from purchased chocolate	31	0400000US17	58.666666666666664	3234.5555555555557	199089.88888888888
10966	17	17	0	Illinois	311411	Frozen fruit, juice, and vegetable manufacturing	31	0400000US17	3.7777777777777777	277.44444444444446	16828.222222222223
10967	17	17	0	Illinois	311412	Frozen specialty food manufacturing	31	0400000US17	32.77777777777778	4090.777777777778	143055.0
10968	17	17	0	Illinois	311421	Fruit and vegetable canning	31	0400000US17	20.88888888888889	1325.111111111111	89918.22222222222
10969	17	17	0	Illinois	311422	Specialty canning	31	0400000US17	6.0	4.666666666666667	411.1111111111111
10970	17	17	0	Illinois	311423	Dried and dehydrated food manufacturing	31	0400000US17	11.11111111111111	1231.3333333333333	43386.0
10971	17	17	0	Illinois	311511	Fluid milk manufacturing	31	0400000US17	19.333333333333332	1425.0	87004.77777777778
10972	17	17	0	Illinois	311512	Creamery butter manufacturing	31	0400000US17	2.0	0.0	0.0
10973	17	17	0	Illinois	311513	Cheese manufacturing	31	0400000US17	16.0	1757.5555555555557	93331.44444444444
10974	17	17	0	Illinois	311514	Dry, condensed, and evaporated dairy product manufacturing	31	0400000US17	11.555555555555555	756.5555555555555	45785.88888888889
10975	17	17	0	Illinois	311520	Ice cream and frozen dessert manufacturing	31	0400000US17	20.22222222222222	511.0	31241.777777777777
