,fips,relevant_naics,YEAR,estab,emp,payann
614,6,336991,2017,99,1105,54756
616,6,339992,2017,80,2111,92686
618,6,335932,2017,10,282,31385
620,6,332112,2017,8,1938,120807
622,6,331410,2017,3,229,20309
624,6,331491,2017,18,592,28277
626,6,331523,2017,27,1214,51887
628,6,337122,2017,187,1484,51556
630,6,337214,2017,19,429,23995
632,6,339940,2017,47,386,16963
634,6,333132,2017,19,298,13834
636,6,339115,2017,50,1733,41982
638,6,333314,2017,94,3091,252734
640,6,332323,2017,271,3373,192330
642,6,336413,2017,167,17060,1137653
644,6,331318,2017,22,1311,69952
646,6,333318,2017,161,3324,256219
648,6,335929,2017,27,988,52089
650,6,334290,2017,48,795,55395
652,6,334419,2017,264,9331,646264
654,6,333618,2017,19,524,43622
656,6,332618,2017,55,1120,48143
658,6,336419,2017,12,1436,111083
660,6,333249,2017,161,1951,109775
662,6,335129,2017,43,627,33008
664,6,334519,2017,135,4440,324213
666,6,332439,2017,14,340,23506
668,6,332919,2017,10,155,7007
670,6,336390,2017,173,5645,276527
672,6,331529,2017,7,150,8829
674,6,333923,2017,3,38,2225
676,6,333993,2017,51,1108,66127
678,6,333316,2017,63,1736,132212
680,6,332313,2017,56,646,33017
682,6,332913,2017,10,564,57551
684,6,332117,2017,4,168,7800
686,6,332410,2017,11,416,27310
688,6,335311,2017,18,379,19086
690,6,333991,2017,10,556,35038
692,6,332721,2017,420,8631,493887
694,6,332311,2017,33,737,35231
696,6,335912,2017,3,0,0
697,6,334418,2017,147,9918,607443
699,6,333244,2017,18,183,8528
701,6,334220,2017,164,24089,2771982
703,6,336510,2017,3,0,0
705,6,335314,2017,67,2583,185553
707,6,335121,2017,40,272,9655
709,6,331221,2017,8,110,4883
711,6,333519,2017,24,245,15803
713,6,332216,2017,116,1900,93809
715,6,333243,2017,3,0,0
717,6,334511,2017,99,11911,1351685
719,6,331314,2017,3,0,0
721,6,331492,2017,11,343,24457
723,6,334413,2017,257,15207,1921561
725,6,333242,2017,58,1034,145046
727,6,332322,2017,504,13496,720718
729,6,336611,2017,43,9256,463245
731,6,337215,2017,108,2171,88946
733,6,339950,2017,575,6846,343786
736,6,335210,2017,19,88,5097
738,6,334614,2017,78,1496,103059
740,6,333514,2017,132,2060,124866
742,6,333612,2017,6,114,7698
744,6,339920,2017,243,3649,187453
746,6,332613,2017,32,602,29679
748,6,331513,2017,14,255,7116
750,6,331512,2017,7,854,41595
752,6,331222,2017,15,405,24349
754,6,335911,2017,22,1174,94044
756,6,339112,2017,229,18623,2239034
758,6,339113,2017,230,13180,1314094
760,6,335313,2017,30,1039,76662
762,6,334210,2017,40,2143,256128
764,6,334514,2017,13,399,26393
766,6,336214,2017,38,1969,84909
768,6,336212,2017,11,59,2187
770,6,333611,2017,9,1308,121175
772,6,337121,2017,166,7341,261412
774,6,333992,2017,37,628,42176
776,6,337110,2017,624,6360,281613
778,6,337211,2017,35,1336,56464
780,6,423110,2017,745,15366,1395845
782,6,424810,2017,140,6940,392183
784,6,424920,2017,176,1692,90425
786,6,423320,2017,301,3243,199748
788,6,425110,2017,114,343,21448
790,6,423520,2017,11,44,1599
792,6,423430,2017,1543,38601,6431915
794,6,424450,2017,312,3356,162770
796,6,423810,2017,382,6646,491863
798,6,424430,2017,250,3651,206736
800,6,424210,2017,1900,38627,5515126
802,6,423610,2017,1980,24251,1788635
804,6,423820,2017,548,7435,461243
806,6,424910,2017,774,10700,794815
808,6,424460,2017,299,4330,214896
810,6,424930,2017,576,6616,274455
812,6,424340,2017,453,6011,405454
814,6,424480,2017,1190,23398,1406709
816,6,423210,2017,1021,12507,795109
818,6,424410,2017,401,13717,836708
820,6,424510,2017,146,1221,88189
822,6,423710,2017,883,10846,707735
824,6,423220,2017,1381,16483,964876
826,6,423620,2017,573,8509,630565
828,6,424130,2017,730,9957,687494
830,6,423830,2017,2802,31059,2406217
832,6,423840,2017,1159,10775,737291
834,6,423940,2017,1370,6734,366585
836,6,424520,2017,11,70,2209
838,6,423310,2017,644,10570,646219
840,6,424470,2017,324,6376,349031
842,6,423450,2017,1356,31680,3863999
844,6,424320,2017,959,9986,561840
846,6,423510,2017,1069,14204,899533
848,6,423140,2017,199,1971,79976
850,6,423120,2017,2002,25166,1261495
852,6,423420,2017,918,11232,743561
854,6,423460,2017,214,3260,185049
