,fips,relevant_naics,estab,emp,payann
0,6,1141,125,281,15571
2,6,1142,6,26,563
4,6,1133,196,1062,76357
6,6,1152,532,1782,58537
8,6,1151,960,24011,946545
10,6,1153,62,450,25803
12,6,2123,212,4336,330753
14,6,2111,148,4856,642212
16,6,2131,229,5699,366664
18,6,2211,516,21797,2738154
20,6,2212,176,29,2831
22,6,2213,476,4845,408487
24,6,2382,19413,210645,14669437
26,6,2383,13385,124929,6482985
28,6,2381,8332,114687,6400300
30,6,2373,774,22379,2078357
32,6,2372,601,2308,199271
34,6,2362,4663,75356,6695639
36,6,2379,304,5152,495867
38,6,2389,5602,62027,4010935
40,6,2361,20109,94684,5600957
42,6,2371,1435,40041,3265334
44,6,3111,116,2816,157107
46,6,3116,185,16070,650110
48,6,3159,85,715,27203
50,6,3151,22,270,9761
52,6,3118,1761,42248,1468438
54,6,3121,2091,50312,2971174
56,6,3152,2383,30182,870434
58,6,3115,208,13681,846086
60,6,3132,85,1559,59181
62,6,3131,11,259,4636
64,6,3162,40,439,15353
66,6,3114,318,22354,1106928
68,6,3112,72,2617,155319
70,6,3161,6,9,430
72,6,3119,609,33193,1712874
74,6,3169,87,1779,64730
76,6,3149,426,4323,167058
78,6,3117,28,897,32339
80,6,3113,178,8615,369773
82,6,3133,132,3554,134849
84,6,3141,160,3552,192456
86,6,3122,17,227,10055
88,6,3251,147,4508,377455
90,6,3273,559,16472,959530
92,6,3271,103,1123,45574
94,6,3222,358,19023,1079197
96,6,3272,206,5882,300377
98,6,3274,12,179,12072
100,6,3259,224,4354,247239
102,6,3279,225,5156,250731
104,6,3219,936,14648,598310
106,6,3255,189,3322,214292
108,6,3253,80,1629,107967
110,6,3241,156,11228,1308018
112,6,3254,413,30739,2491068
114,6,3261,1070,46770,2330800
116,6,3231,3075,39150,1857014
118,6,3221,10,192,14143
120,6,3252,118,2739,150582
122,6,3262,163,3735,164378
124,6,3211,65,1658,73669
126,6,3256,347,9807,543292
128,6,3212,47,1915,74707
130,6,3364,286,47056,4184284
132,6,3331,156,3960,223303
134,6,3313,37,2198,121756
136,6,3323,1294,30067,1633029
138,6,3343,120,1865,148473
140,6,3324,99,3262,227157
142,6,3328,748,15531,729256
144,6,3333,342,9032,692015
146,6,3342,269,27546,3127193
148,6,3341,244,7369,696060
150,6,3322,139,2077,102257
152,6,3351,229,6716,406893
154,6,3353,191,7714,566928
156,6,3336,59,5623,587661
158,6,3321,223,7841,447941
160,6,3315,138,5354,262508
162,6,3325,66,2632,130907
164,6,3371,1159,20225,820668
166,6,3352,31,873,40587
168,6,3332,328,9262,1195412
170,6,3311,23,150,6595
172,6,3327,2857,45713,2543125
174,6,3346,92,1625,111691
176,6,3391,1548,52732,4746196
178,6,3335,524,9740,570389
180,6,3362,143,6209,271398
182,6,3361,40,491,27005
184,6,3363,507,14385,716812
186,6,3345,967,67696,7103372
188,6,3314,65,2008,126815
190,6,3372,383,8825,441226
192,6,3359,318,14648,1571172
194,6,3329,562,15837,1053985
196,6,3379,119,3750,160222
198,6,3339,598,18582,1319600
200,6,3399,2510,30099,1494428
202,6,3369,156,1782,92560
204,6,3365,3,0,0
206,6,3344,977,53940,4392330
208,6,3366,76,9849,491251
210,6,3326,99,1956,89030
212,6,3312,44,1533,102337
214,6,3334,149,4538,284377
216,6,4243,5347,55193,3121875
218,6,4248,667,23686,1636163
220,6,4246,1285,14416,1122786
222,6,4242,1900,38627,5515126
224,6,4245,279,2738,176176
226,6,4232,2413,29133,1779556
228,6,4244,5890,121356,6924112
230,6,4237,2139,27790,1939135
232,6,4236,5151,108046,14780517
234,6,4233,1574,22212,1363653
236,6,4238,5820,67470,4866891
238,6,4235,1089,14270,902453
240,6,4239,5603,50051,3061792
242,6,4249,4456,42419,2455945
244,6,4231,3250,48248,3060014
246,6,4241,1402,17044,1123007
248,6,4247,490,7502,546185
250,6,4234,5134,100674,12549839
252,6,4251,4532,33319,1842652
254,6,4411,3475,136879,8258760
256,6,4413,5618,53914,1775911
258,6,4453,4088,16291,388164
260,6,4441,5340,111916,3688325
262,6,4481,11544,198111,3886337
264,6,4431,3395,41097,1362225
266,6,4421,2288,20009,809128
268,6,4471,7688,64640,1554686
270,6,4451,10486,314890,9151985
272,6,4461,10564,100439,4256121
274,6,4422,2888,30098,871221
276,6,4483,2801,13821,595984
278,6,4442,1288,11263,360135
280,6,4412,1036,12025,569505
282,6,4482,3012,32838,599520
