SITE_ID,NAME,CITY,COUNTY,COUNTY_FIPS_CODE,ZIP_CODE,LATITUDE,LONGITUDE,VIRTUAL_TOUR,PROPERTY_LINK
4321,Appling County Industrial Park West,Baxley,Appling,13001,31513,31.80306143,-82.40847201,https://roundme.com/tour/463221/view/1587783,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=4321
13,Hamilton Crossing,Cartersville,Bartow,13015,30120,34.22403614,-84.88305096,https://kuula.co/post/71bG9/collection/7lrpl,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=13
5780,Highland 75,White,Bartow,13015,30184,34.28523585,-84.79336022,https://kuula.co/post/71bgq/collection/7lrGP,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=5780
7705,Interstate Centre,Black Creek,Bryan,13029,31308,32.17118485,-81.43763071,https://roundme.com/tour/463798/view/1595277/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=7705
8457,Southern Gateway Commerce Park,Statesboro,Bulloch,13031,30458,32.30276795,-81.86450374,https://kuula.co/post/79SX9/collection/7lc6X,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8457
949,Raymond Tract GRAD,Waynesboro,Burke,13033,30830,33.0924898,-82.04988340,https://roundme.com/tour/504704/view/1671234/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=949
948,Waynesboro Burke County Industrial Park,Waynesboro,Burke,13033,30830,33.1098072,-82.01461532,https://roundme.com/tour/504709/view/1671261/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=948
1809,Camden County Industrial Park,Kingsland,Camden,13039,31569,30.84122678,-81.68177364,https://roundme.com/tour/465929/view/1595173/,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1809
8211,Savannah Manufacturing Center,Savannah,Chatham,13051,31302,32.09880525,-81.35833411,https://roundme.com/tour/465947/view/1595342,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=8211
4481,The Bluffs of Technology Park,Canton,Cherokee,13057,30114,34.27335865,-84.47028554,https://kuula.co/share/collection/7PLSH?fs=1&vr=1&zoom=1&initload=0&thumbs=1&chromeless=1&logo=-1,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=4481
3200,Bridgeport,Newnan,Coweta,13077,30259,33.30084992,-84.78239697,https://roundme.com/tour/511148/view/1692359,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=3200
1674,Coweta Industrial Park,Newnan,Coweta,13077,30265,33.43711561,-84.71950982,https://kuula.co/share/collection/7lB1Z?fs=1&vr=1&zoom=1&initload=0&autorotate=0.06&thumbs=1&chromeless=1&logo=1&logosize=147,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=1674
7220,Mansour Site,Grantville,Coweta,13077,30220,33.23678363,-84.80382653,https://kuula.co/post/7dWgY/collection/7P9SH,https://properties.selectgeorgia.com/viewer/index.html?viewer=SelectGeorgia&SelectSite=7220
