"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Washington","https://www.facebook.com/CommonGoodCityFarm","38.918451","-77.017454","Common Good City Farm","DC","V Street NW between 2nd and 4th Streets NW","crafts woodworking herbs fresh-fruits fresh-vegetables","https://twitter.com/CmmnGoodCtyFarm","farm","http://commongoodcityfarm.org","20001"
"Washington","www.facebook.com/FlannelTieFarm","38.9118966","-77.0256688","Flannel Tie Farm","DC","925 Rhode Island Ave, NW","canned preserved coffee tea cut-flowers herbs fresh-fruits fresh-vegetables honey mushrooms nursery-stock","@flanneltiefarm","farm","www.flanneltie.farm","20001"
"Washington","www.facebook.com/littlewildthingsfarm","38.9115027","-77.0091149","Little Wild Things City Farm","DC","1648 N Capitol St. NW and 2131 Lincoln Rd NE","","@lwtcityfarm","farm","www.littlewildthingsfarm.com","20001"
"DC","CapitalHarvestonthePlaza","38.894748","-77.030256","Capital Harvest on the Plaza","DC","1300 Pennsylvania Avenue","baked goods flowers eggs herbs vegetables honey jams nuts plants prepared-foods coffee fruits grains juices pet food tofu","@CapHarvestDC","market","http://www.capitalharvestdc.com","20004"
"Washington ","https://www.facebook.com/CleParkMainStDC","38.934817","-77.058379","Cleveland Park Farmers Market","DC","3400 Connecticut Ave NW, Washington, DC 20008","baked goods cheese flowers eggs seafood herbs vegetables honey jams maple prepared-foods soap coffee fruits","","market","http://clevelandparkmainstreet.org","20008"
"Washington","https://www.facebook.com/freshfarmdc","38.911806","-77.044967","FRESHFARM Dupont Market","DC","1624 20th St NW ","organic baked goods cheese flowers eggs seafood herbs vegetables honey jams maple meat plants poultry prepared-foods soap wine coffee fruits juices mushrooms wild","https://twitter.com/FRESHFARMDC","market","","20009"
"Washington","facebook.com/MtPFarMar","38.931518","-77.038675","Mount Pleasant Farmers' Market","DC","3200 Mt. Pleasant St NW ","baked goods cheese flowers eggs herbs vegetables honey jams maple meat plants poultry prepared-foods coffee fruits juices mushrooms","twitter.com/mtpfarmermarket","market","http://MtPFM.org","20010"
"Washington","https://www.facebook.com/Parkviewfarmersmarket/","38.932172","-77.023928","Park View Farmers Market","DC","3400 Georgia Ave NW","baked goods cheese eggs seafood herbs vegetables honey jams meat nuts plants poultry prepared-foods coffee fruits mushrooms tofu","https://twitter.com/parkview_market","market","","20009"
"Washington","https://www.facebook.com/Parkviewfarmersmarket/","38.932155","-77.023960","Park View Farmers Market","DC","3400 Georgia Ave NW","organic baked goods cheese eggs seafood herbs vegetables honey jams meat nuts plants poultry prepared-foods coffee fruits mushrooms","https://twitter.com/parkview_market","market","","20010"
"Washington ","https://www.facebook.com/petworthcommunitymarket","38.9411512","-77.0250472","Petworth Community Market","DC","4100 9th St. NW","baked goods cheese crafts flowers eggs herbs vegetables honey jams meat poultry prepared-foods soap coffee fruits juices","https://twitter.com/petworthmarket","market","https://petworthcmarket.wordpress.com/","20010"
"Washington","","38.887743","-77.028494","USDA Farmers Market","DC","Corner 12th St. & Independence Ave. SW","baked goods cheese flowers eggs herbs vegetables honey jams meat plants poultry prepared-foods coffee fruits grains juices","","market","http://www.usda.gov/farmersmarket","20250"
