Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
39090,221,4,1,0,3
39090,236,6,1,0,3
39090,236,4,210,0,3
39090,238,8,1,0,3
39090,238,3,210,0,3
39090,423,6,1,0,3
39090,423,3,210,0,3
39090,424,4,1,0,3
39090,441,4,230,0,3
39090,441,12,1,0,3
39090,441,6,210,0,3
39090,444,7,1,0,3
39090,445,3,1,0,3
39090,446,5,1,0,3
39090,447,8,1,0,3
39090,448,11,1,0,3
39090,448,5,210,0,3
39090,448,5,220,0,3
39090,452,8,1,0,3
39090,452,5,220,0,3
39090,453,7,1,0,3
39090,453,5,210,0,3
39090,484,6,1,0,3
39090,484,3,210,0,3
39090,517,5,1,0,3
39090,517,3,210,0,3
39090,522,24,1,0,3
39090,522,18,210,0,3
39090,522,4,220,0,3
39090,524,6,1,0,3
39090,524,5,210,0,3
39090,531,8,1,0,3
39090,531,8,210,0,3
39090,532,4,1,0,3
39090,532,3,220,0,3
39090,541,27,1,0,3
39090,541,22,210,0,3
39090,541,5,220,0,3
39090,551,3,1,0,3
39090,561,6,1,0,3
39090,561,3,210,0,3
39090,621,22,1,0,3
39090,621,9,210,0,3
39090,621,6,220,0,3
39090,621,4,230,0,3
39090,624,5,1,0,3
39090,713,4,1,0,3
39090,713,4,210,0,3
39090,721,3,1,0,3
39090,722,25,1,0,3
39090,722,6,210,0,3
39090,722,4,220,0,3
39090,722,7,230,0,3
39090,722,6,241,0,3
39090,811,7,1,0,3
39090,811,3,210,0,3
39090,811,3,220,0,3
39090,812,8,1,0,3
39090,812,3,210,0,3
39090,812,5,220,0,3
39090,813,20,1,0,3
39090,813,15,210,0,3
