Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,65124,476928,1225806,7984928,5843880,3556523,11461646,2531885,10565548,4384395,6173026,2267233,18451331,1614674,5818002,2884252,7340
2018,69076,523379,1300486,8889416,6098330,3859396,12439862,2995693,11471118,5121715,6623494,2381899,19322870,1794525,6299344,3114883,7626
2019,75685,742587,1308718,9896636,6646670,4217279,13133134,2838394,12393028,4780031,7071772,2571082,20207199,1968317,6690324,3256026,6393
2020,98432,703358,1362632,10730202,6627232,4112462,14521035,2990656,12896420,4985164,7020512,2711393,20995055,1694524,5883703,3272880,15030
2021,93493,856480,1384363,11675798,7191807,4329792,15698034,3869316,13788325,5413282,7609485,2865299,22421737,1846746,7065087,3572733,10799
