Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,2438,21823,26982,234684,243920,110263,268043,65825,324815,174826,287823,261744,1024410,111023,485578,242667,248
2018,2647,21799,30790,241867,241683,112093,272298,67558,320336,173319,287235,267500,1053236,109510,488994,243507,265
2019,2705,23320,29394,254504,241961,110287,277800,67089,319527,175841,291971,273754,1073806,112892,491891,245890,482
2020,2717,20868,28791,254760,239658,106245,276029,66580,324324,182492,284147,277407,1092057,112698,487660,244361,324
2021,2716,17007,28250,248489,234654,102236,268362,62449,323987,177291,270800,245193,1054321,84209,393805,218913,227
