Naics,Establishments,Employees,Payroll,fips
11,22,219,7141,04019
21,33,2420,162837,04019
22,29,2079,200236,04019
23,1720,22021,1156502,04019
42,740,7459,413384,04019
51,339,7517,521558,04019
52,1266,13284,850152,04019
53,1409,6684,260704,04019
54,2600,17635,1157518,04019
55,136,3412,227818,04019
56,1197,28802,842265,04019
61,359,6763,246709,04019
62,2860,63841,3338810,04019
71,343,7777,171193,04019
72,1898,46323,929269,04019
81,1873,14591,427474,04019
99,18,17,284,04019
11,91,624,23719,04013
21,62,982,64974,04013
22,99,7342,839131,04013
23,8178,129048,7756906,04013
42,4622,77192,5651409,04013
51,1773,45482,3503374,04013
52,6935,148446,11901250,04013
53,7565,41360,2383507,04013
54,13784,124185,10579469,04013
55,734,52800,4462801,04013
56,6064,143725,5501115,04013
61,1584,50331,2093334,04013
62,13090,252407,13480834,04013
71,1504,39959,1631756,04013
72,8408,207957,4474458,04013
81,7462,66714,2449143,04013
99,123,242,4836,04013
21,9,144,9274,04015
22,28,347,26772,04015
21,11,1484,108600,04007
22,6,70,7125,04007
23,126,1038,54985,04007
42,16,124,7058,04007
23,543,3434,134024,04015
51,20,128,3689,04007
52,47,182,8710,04007
42,117,1294,56855,04015
53,75,151,6399,04007
54,87,251,9935,04007
56,34,106,3533,04007
61,11,128,3559,04007
62,151,2142,108757,04007
71,16,588,16803,04007
72,133,2007,39784,04007
81,88,323,7235,04007
11,5,167,919,04009
22,5,48,3751,04009
23,59,410,18784,04009
42,20,245,12319,04009
51,10,68,2423,04009
52,26,117,5460,04009
51,59,596,22236,04015
52,187,1112,66375,04015
53,20,69,2609,04009
54,25,492,17899,04009
56,16,93,3245,04009
61,7,51,1174,04009
62,82,2094,108231,04009
53,261,661,22195,04015
71,10,59,885,04009
72,58,1023,14976,04009
81,48,311,13064,04009
54,246,1257,54650,04015
55,7,483,13263,04015
56,206,1724,53870,04015
11,10,124,2444,04023
21,3,79,8859,04023
22,6,70,5560,04023
23,58,276,9127,04023
42,210,2369,126002,04023
61,27,557,18314,04015
62,500,8916,454372,04015
71,42,655,14667,04015
72,404,7280,132679,04015
81,378,1945,51572,04015
51,14,82,2872,04023
52,36,185,7102,04023
53,41,114,3877,04023
54,56,188,8000,04023
56,26,291,6803,04023
61,11,101,2797,04023
62,72,1608,89289,04023
99,4,6,229,04015
71,15,51,1082,04023
72,100,1365,25117,04023
11,6,46,2043,04003
21,4,17,1090,04003
22,21,625,52755,04003
23,194,1697,78899,04003
81,69,309,8194,04023
42,45,418,18219,04003
21,4,10,1959,04012
22,5,35,2277,04012
23,19,65,2995,04012
42,18,124,5658,04012
51,9,21,1361,04012
52,11,58,1962,04012
53,18,89,1714,04012
54,11,15,768,04012
56,5,35,1090,04012
62,26,415,19355,04012
71,3,20,378,04012
72,74,1360,29383,04012
81,27,79,2222,04012
11,4,13,365,04001
21,6,98,5762,04001
22,7,424,43728,04001
23,29,143,4466,04001
42,13,59,2273,04001
51,9,71,3579,04001
52,15,78,2695,04001
53,16,28,661,04001
51,44,344,15123,04003
52,111,487,24052,04003
53,99,357,11944,04003
54,30,68,2405,04001
56,15,121,4620,04001
61,8,260,9893,04001
62,74,2390,124694,04001
71,4,7,183,04001
72,59,906,16014,04001
81,37,188,4439,04001
54,206,3025,218411,04003
55,6,123,4857,04003
56,91,2150,59121,04003
11,9,65,1854,04025
21,20,892,57490,04025
22,31,312,24029,04025
23,837,5470,248438,04025
61,32,665,26035,04003
62,290,5066,206677,04003
71,31,235,4608,04003
72,250,3932,66213,04003
81,236,1048,24658,04003
42,168,1580,77842,04025
11,11,23,1068,04005
21,6,28,3272,04005
22,17,224,19233,04005
23,353,2613,118356,04005
42,91,958,48132,04005
51,83,730,27419,04025
52,290,1136,71032,04025
53,441,1029,43545,04025
51,53,978,53804,04005
52,162,925,65353,04005
54,569,1918,91308,04025
53,241,884,34976,04005
54,353,1800,90860,04005
55,20,265,14455,04025
56,323,2131,68458,04025
55,9,453,39877,04005
56,176,1660,50398,04005
61,94,2593,75273,04025
62,793,13859,638935,04025
61,42,759,23592,04005
62,422,9660,538368,04005
71,118,1968,53792,04005
71,110,1176,24709,04025
72,565,10287,232136,04025
72,601,16469,384594,04005
81,515,2838,84912,04025
81,340,1979,61192,04005
99,8,4,112,04025
11,36,625,25930,04027
21,6,41,1703,04027
22,10,196,18032,04027
23,329,2948,119097,04027
21,3,2801,215127,04011
22,3,37,2731,04011
23,4,34,1879,04011
51,5,22,953,04011
53,4,7,305,04011
54,4,19,506,04011
56,3,110,2071,04011
62,9,80,4941,04011
72,8,96,2136,04011
81,5,14,259,04011
11,8,75,3700,04017
11,13,281,6502,04021
21,20,840,68941,04021
22,19,286,22809,04021
23,423,3117,147741,04021
42,143,2181,134926,04027
42,128,1381,74189,04021
51,45,665,22657,04027
52,155,1261,62182,04027
51,55,428,18448,04021
52,196,1110,51880,04021
53,172,754,24150,04027
54,255,1237,86901,04027
53,237,1022,33449,04021
54,331,1385,59516,04021
55,11,320,9906,04027
56,154,4481,177550,04027
55,13,156,7054,04021
56,233,6346,273261,04021
61,21,511,14534,04027
62,427,8297,391364,04027
61,43,1044,39697,04021
62,527,9388,453922,04021
71,29,632,14095,04027
72,337,6661,111827,04027
81,276,1612,46561,04027
71,69,1432,23814,04021
72,376,7949,147645,04021
