,fips,relevant_naics,YEAR,estab,emp,payann
0,4,115111,2017,7,0,0
2,4,115113,2017,3,0,0
3,4,115115,2017,17,189,5855
5,4,115116,2017,10,51,2722
7,4,113310,2017,16,116,5286
9,4,115114,2017,17,371,10341
11,4,114112,2017,3,0,0
12,4,115112,2017,31,204,8511
14,4,115210,2017,73,195,5762
16,4,115310,2017,8,10,2109
18,4,212399,2017,3,0,0
19,4,212321,2017,61,700,35695
21,4,212230,2017,14,4115,249154
23,4,211120,2017,6,7,259
25,4,212313,2017,5,75,5659
27,4,212312,2017,3,0,0
29,4,212311,2017,5,67,3098
32,4,212221,2017,3,6,417
33,4,213114,2017,12,361,37010
35,4,213115,2017,4,95,7464
37,4,213112,2017,15,117,8463
39,4,221122,2017,29,342,29197
41,4,221112,2017,42,0,0
43,4,221210,2017,17,0,0
46,4,221320,2017,12,95,7291
48,4,221114,2017,5,0,0
50,4,221330,2017,3,0,0
52,4,221310,2017,130,1285,86335
54,4,221115,2017,3,0,0
55,4,238990,2017,625,6166,282249
57,4,236220,2017,707,12019,856105
59,4,238310,2017,382,8809,347301
61,4,238210,2017,1342,17664,932556
63,4,238350,2017,484,3708,169418
65,4,238330,2017,271,1537,68160
67,4,238130,2017,177,3538,140335
69,4,238150,2017,141,1849,79020
71,4,237310,2017,141,6129,408130
73,4,236210,2017,37,2192,138647
75,4,237210,2017,113,529,41853
77,4,238140,2017,292,5021,182484
79,4,236117,2017,282,3614,345356
81,4,236116,2017,34,448,37943
83,4,236115,2017,766,3337,190748
85,4,237120,2017,14,848,62006
87,4,238290,2017,95,1562,106333
89,4,238390,2017,129,1166,47733
91,4,238190,2017,100,1278,84455
93,4,237990,2017,34,696,41482
95,4,238320,2017,622,4693,180908
97,4,238220,2017,2045,23259,1264360
99,4,238110,2017,382,6510,322092
101,4,237130,2017,119,3006,214510
103,4,236118,2017,1546,6074,248261
105,4,238160,2017,361,5277,229894
107,4,238170,2017,18,147,6674
109,4,238910,2017,468,7972,429131
111,4,238120,2017,90,1968,118099
113,4,238340,2017,232,1667,69110
115,4,237110,2017,197,3302,196928
117,4,316998,2017,7,28,763
119,4,311999,2017,5,28,824
120,4,314999,2017,39,556,18836
122,4,311611,2017,5,0,0
124,4,315990,2017,3,23,447
126,4,312112,2017,7,229,10617
128,4,312120,2017,34,960,31922
130,4,311920,2017,3,17,782
132,4,311812,2017,35,2469,77909
134,4,311352,2017,4,66,1097
136,4,311821,2017,3,69,2038
138,4,314120,2017,19,201,4944
140,4,315210,2017,11,81,1267
142,4,312140,2017,3,33,582
143,4,311111,2017,5,30,1658
145,4,311824,2017,3,121,5671
147,4,311511,2017,6,1139,68037
149,4,316210,2017,3,4,79
150,4,311421,2017,9,309,10138
152,4,312113,2017,3,18,530
154,4,311612,2017,6,120,5273
156,4,311340,2017,6,61,2280
158,4,311119,2017,10,110,4763
161,4,311919,2017,5,765,35628
163,4,311991,2017,12,1972,57356
165,4,311811,2017,58,504,8825
167,4,312111,2017,7,0,0
169,4,311422,2017,3,307,20382
170,4,313310,2017,6,60,1657
172,4,314910,2017,10,230,8287
174,4,311830,2017,16,700,21378
176,4,312130,2017,24,170,4218
178,4,315240,2017,5,11,219
179,4,325520,2017,4,67,3928
181,4,325199,2017,7,214,13972
183,4,322299,2017,7,114,6063
185,4,325998,2017,13,313,20692
187,4,327999,2017,6,117,4493
189,4,321999,2017,47,498,18352
191,4,326199,2017,82,2700,115344
193,4,326299,2017,7,137,5688
195,4,324121,2017,27,306,18785
197,4,324122,2017,3,0,0
199,4,323117,2017,3,24,1013
201,4,327310,2017,3,0,0
203,4,323111,2017,290,4197,203726
205,4,323113,2017,71,408,11776
207,4,327331,2017,18,533,22718
209,4,327332,2017,4,87,4589
211,4,322211,2017,7,563,31983
213,4,325991,2017,3,4,194
215,4,321912,2017,3,124,5999
217,4,327991,2017,25,317,11374
220,4,327215,2017,12,388,19596
222,4,327992,2017,6,0,0
224,4,327420,2017,3,0,0
226,4,325120,2017,7,181,13370
228,4,326130,2017,3,0,0
230,4,321991,2017,4,0,0
232,4,325411,2017,9,392,16310
235,4,327390,2017,24,939,46555
237,4,321918,2017,20,154,5168
239,4,327212,2017,5,29,525
241,4,325510,2017,11,251,13624
243,4,322121,2017,3,213,7235
244,4,322220,2017,7,291,11276
247,4,325412,2017,29,2111,121927
249,4,325992,2017,4,283,10657
251,4,326111,2017,3,26,1227
253,4,326160,2017,7,176,9985
255,4,325211,2017,10,242,12599
257,4,326112,2017,7,121,5663
259,4,326122,2017,4,151,10807
261,4,326191,2017,3,0,0
263,4,325612,2017,7,160,10533
265,4,326140,2017,6,171,8572
267,4,327110,2017,7,145,4606
269,4,321992,2017,9,411,16715
271,4,325910,2017,4,0,0
273,4,327320,2017,99,1334,70608
275,4,321219,2017,3,147,5979
276,4,326220,2017,3,0,0
277,4,321113,2017,8,116,2469
279,4,325611,2017,6,40,2001
281,4,322230,2017,4,250,12988
283,4,323120,2017,27,603,32023
285,4,326212,2017,5,54,1720
287,4,325620,2017,18,338,14110
289,4,321214,2017,10,959,40847
291,4,326121,2017,6,252,13477
293,4,326150,2017,7,112,4910
295,4,321920,2017,36,819,19397
297,4,321911,2017,25,631,25551
299,4,333415,2017,14,695,36661
301,4,336412,2017,22,3321,340753
303,4,336411,2017,11,0,0
305,4,335999,2017,12,470,32372
307,4,332999,2017,65,960,46533
309,4,333999,2017,14,130,9122
311,4,339999,2017,116,750,28123
313,4,336999,2017,7,79,2719
315,4,331524,2017,3,47,1611
317,4,334516,2017,6,0,0
319,4,334310,2017,8,129,7268
321,4,334512,2017,8,172,11257
323,4,336111,2017,3,0,0
325,4,334412,2017,7,286,13700
327,4,337920,2017,7,85,2556
329,4,336612,2017,8,93,3909
331,4,332722,2017,10,383,15003
333,4,334416,2017,5,177,6570
335,4,335991,2017,4,39,2039
337,4,335122,2017,8,243,11461
339,4,334118,2017,11,65,4391
341,4,333120,2017,7,298,15466
343,4,333922,2017,4,59,4712
345,4,335931,2017,5,146,5251
347,4,337212,2017,28,678,28245
349,4,332114,2017,4,224,11044
351,4,333515,2017,18,112,4686
353,4,339114,2017,3,20,565
355,4,339116,2017,123,934,37115
357,4,339930,2017,6,260,10770
359,4,334510,2017,13,943,57813
361,4,334111,2017,3,0,0
363,4,332813,2017,31,617,24931
365,4,332996,2017,7,129,5287
367,4,332312,2017,50,1568,77258
369,4,333111,2017,7,63,3423
372,4,332912,2017,5,0,0
375,4,336414,2017,3,0,0
377,4,332510,2017,8,64,3516
379,4,333414,2017,4,0,0
381,4,337125,2017,6,61,1950
383,4,333413,2017,5,42,1944
385,4,333511,2017,15,744,45411
387,4,333924,2017,5,250,8866
389,4,332911,2017,4,57,3742
390,4,337127,2017,4,38,1803
392,4,334515,2017,16,466,30096
394,4,334513,2017,16,251,15775
396,4,331110,2017,3,0,0
399,4,339910,2017,32,140,4461
401,4,333112,2017,4,390,15654
403,4,332710,2017,277,4249,225310
405,4,333517,2017,13,170,7892
407,4,335220,2017,6,0,0
409,4,337910,2017,9,849,29432
411,4,333914,2017,3,80,4569
413,4,332812,2017,39,694,26441
415,4,332119,2017,10,313,16976
417,4,332811,2017,7,135,6764
419,4,337124,2017,5,37,1342
421,4,332321,2017,27,1383,61014
423,4,333131,2017,6,0,0
425,4,336211,2017,9,211,10217
427,4,336320,2017,7,188,8605
429,4,336310,2017,15,88,7717
431,4,336360,2017,9,517,30080
433,4,336330,2017,3,18,648
435,4,336350,2017,4,113,4687
437,4,336991,2017,6,40,1459
439,4,339992,2017,9,17,549
441,4,337122,2017,39,1225,35462
443,4,337214,2017,3,0,0
445,4,339940,2017,5,63,2402
447,4,339115,2017,4,99,5283
