Zip,Naics,Establishments,Employees,Payroll,NaicsLevel
73703,446110,5,001,0,6
73703,446120,4,001,0,6
73703,447110,13,001,0,6
73703,447110,6,210,0,6
73703,447110,4,220,0,6
73703,447110,3,230,0,6
73703,448120,4,001,0,6
73703,448140,5,001,0,6
73703,448140,3,241,0,6
73703,448190,3,001,0,6
73703,448190,3,210,0,6
73703,448210,5,001,0,6
73703,448210,3,220,0,6
73703,452319,6,001,0,6
73703,452319,4,220,0,6
73703,453220,3,001,0,6
73703,453910,3,001,0,6
73703,453998,8,001,0,6
73703,453998,5,210,0,6
73703,453998,3,220,0,6
73703,484110,3,001,0,6
73703,484121,5,001,0,6
73703,484121,3,210,0,6
73703,484220,4,001,0,6
73703,517312,5,001,0,6
73703,517312,3,210,0,6
73703,522110,9,001,0,6
73703,522110,5,220,0,6
73703,522291,3,001,0,6
73703,522291,3,210,0,6
73703,522390,4,001,0,6
73703,522390,4,210,0,6
73703,523920,11,001,0,6
73703,523920,11,210,0,6
73703,524210,26,001,0,6
73703,524210,18,210,0,6
73703,524210,4,220,0,6
73703,524210,3,230,0,6
73703,531110,10,001,0,6
73703,531110,7,210,0,6
73703,531110,3,220,0,6
73703,531120,3,001,0,6
73703,531120,3,210,0,6
73703,531210,10,001,0,6
73703,531210,9,210,0,6
73703,531311,4,001,0,6
73703,531311,3,210,0,6
73703,532412,5,001,0,6
73703,532412,4,210,0,6
73703,541110,3,001,0,6
73703,541211,4,001,0,6
73703,541211,4,210,0,6
73703,541219,5,001,0,6
73703,541219,3,210,0,6
73703,541360,3,001,0,6
73703,541360,3,210,0,6
73703,541940,7,001,0,6
73703,541940,3,230,0,6
73703,551114,4,001,0,6
73703,561720,4,001,0,6
73703,561730,9,001,0,6
73703,561730,9,210,0,6
73703,561990,3,001,0,6
73703,611620,3,001,0,6
73703,621111,17,001,0,6
73703,621111,11,210,0,6
73703,621111,5,220,0,6
73703,621210,13,001,0,6
73703,621210,4,210,0,6
73703,621210,6,220,0,6
73703,621210,3,230,0,6
73703,621310,5,001,0,6
73703,621310,4,210,0,6
73703,621320,4,001,0,6
73703,621320,3,220,0,6
73703,621330,4,001,0,6
73703,621330,3,210,0,6
73703,621340,3,001,0,6
73703,621399,8,001,0,6
73703,621399,8,210,0,6
73703,621512,3,001,0,6
73703,623210,4,001,0,6
73703,623210,3,210,0,6
73703,623311,3,001,0,6
73703,624120,5,001,0,6
73703,624120,3,210,0,6
73703,624190,4,001,0,6
73703,624190,3,210,0,6
73703,624410,5,001,0,6
73703,713940,6,001,0,6
73703,713940,5,210,0,6
73703,721110,15,001,0,6
73703,721110,6,210,0,6
73703,721110,4,230,0,6
73703,721110,3,241,0,6
73703,722410,3,001,0,6
73703,722511,23,001,0,6
73703,722511,8,210,0,6
73703,722511,3,220,0,6
73703,722511,4,230,0,6
73703,722511,7,241,0,6
73703,722513,33,001,0,6
73703,722513,3,220,0,6
73703,722513,9,230,0,6
73703,722513,15,241,0,6
73703,722513,4,242,0,6
73703,722515,5,001,0,6
73703,722515,3,220,0,6
73703,811111,5,001,0,6
73703,811111,5,210,0,6
73703,811121,3,001,0,6
73703,811192,3,001,0,6
73703,811310,4,001,0,6
73703,811310,3,210,0,6
73703,812112,10,001,0,6
73703,812112,6,210,0,6
73703,812112,3,220,0,6
73703,812199,3,001,0,6
73703,812199,3,210,0,6
73703,812910,4,001,0,6
73703,813110,29,001,0,6
73703,813110,15,210,0,6
73703,813110,8,220,0,6
73703,813110,4,230,0,6
73703,211120,3,001,0,6
73703,211120,3,210,0,6
73703,213112,11,001,0,6
73703,213112,9,210,0,6
73703,236118,5,001,0,6
73703,236118,5,210,0,6
73703,237110,3,001,0,6
73703,238210,7,001,0,6
73703,238210,3,210,0,6
73703,238220,6,001,0,6
73703,238220,5,210,0,6
73703,238320,3,001,0,6
73703,423830,5,001,0,6
73703,423830,3,220,0,6
73703,441110,6,001,0,6
73703,441110,4,241,0,6
73703,441120,3,001,0,6
73703,441310,4,001,0,6
73703,442110,3,001,0,6
73703,443142,3,001,0,6
73703,444190,7,001,0,6
73703,444190,3,210,0,6
73703,445110,4,001,0,6
73703,445310,7,001,0,6
73703,445310,6,210,0,6
