	id	COUNTY	GEO_TTL	NAICS_Sector	NAICS_TTL	state	relevant_naics	estab_agg	estab_api
1	31	999	Statewide	11	Forest nurseries and gathering of forest products	31	1132	2.0	1.0
2	31	999	Statewide	11	Hunting and trapping	31	1142	7.0	2.6
7	31	999	Statewide	21	Metal ore mining	31	2122	3.0	1.2
26	31	999	Statewide	31	Apparel accessories and other apparel manufacturing	31	3159	2.0	1.0
27	31	999	Statewide	31	Apparel knitting mills	31	3151	2.0	1.0
33	31	999	Statewide	31	Fiber, yarn, and thread mills	31	3131	2.0	1.0
34	31	999	Statewide	31	Footwear manufacturing	31	3162	2.0	1.0
37	31	999	Statewide	31	Leather and hide tanning and finishing	31	3161	7.25	2.888888888888889
39	31	999	Statewide	31	Other leather and allied product manufacturing	31	3169	2.0	1.0
41	31	999	Statewide	31	Sugar and confectionery product manufacturing	31	3113	14.75	5.777777777777778
49	31	999	Statewide	32	Lime and gypsum product manufacturing	31	3274	2.0	1.25
67	31	999	Statewide	33	Alumina and aluminum production and processing	31	3313	2.0	1.0
69	31	999	Statewide	33	Audio and video equipment manufacturing	31	3343	3.0	1.25
74	31	999	Statewide	33	Computer and peripheral equipment manufacturing	31	3341	5.0	2.2
81	31	999	Statewide	33	Hardware manufacturing	31	3325	4.0	2.3333333333333335
83	31	999	Statewide	33	Household appliance manufacturing	31	3352	2.0	1.0
85	31	999	Statewide	33	Iron and steel mills and ferroalloy manufacturing	31	3311	6.0	2.2
94	31	999	Statewide	33	Nonferrous metal (except aluminum) production and processing	31	3314	4.0	1.4
98	31	999	Statewide	33	Other furniture related product manufacturing	31	3379	9.25	3.8
104	31	999	Statewide	33	Ship and boat building	31	3366	2.0	1.0
166	31	999	Statewide	48	Scenic and sightseeing transportation, land	31	4871	5.25	2.4
174	31	999	Statewide	48	Support activities for water transportation	31	4883	2.0	1.0
180	31	999	Statewide	51	Cable and other subscription programming	31	5152	3.0	2.7777777777777777
197	31	999	Statewide	52	Monetary authorities - central bank	31	5211	2.0	1.0
