"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Dundas","https://www.facebook.com/auntieanniesfields","44.408731","-93.303168","Auntie Annie's Fields, LLC","MN","12456 Bagley Ave.","","","farm","","55019"
"Stillwater","","45.085194","-92.852251","Blueberry Fields Of Stillwater","MN","9450 Mendel Road North","","","farm","","55082"
"Grand Rapids","http://facebook.com/pages/Blueberry-Meadows/119913568027370","47.1183920","-93.5911110","Blueberry Meadows / 5th Meadow","MN","34625 8 Mile Rd","baked-goods canned preserved crafts woodworking herbs fresh-fruits fresh-vegetables nursery-stock","https://www.twitter.com/bluemeadow5","farm","blueberrymeadows.com","55744"
"Pequot Lakes","","46.5937660","-94.3203680","Brambleberry Farm","MN","4002 Davis Street","honey maple-products nursery-stock","","farm","www.brambleberryfruitfarm.com","56472"
"Pine Island","","44.175289","-92.658230","Byrne Farm","MN","11026 CoRd 113 NW","red-meat non-poultry-meat","","farm","Byrnefarm.com","55963"
"Grey Eagle","https://www.facebook.com/pages/Cornerstone-Pines/203194103124691","45.907281","-94.784708","Cornerstone Pines","MN","19180 281st Ave","crafts woodworking maple-products soap body-care","","farm","http://www.cornerstonepineschristmastrees.com/","56336"
"Forest Lake","","45.219599","-92.981095","Covered Bridge Farm","MN","18655 Forest Blvd. N.","","","farm","www.coveredbridgefarm.net","55025"
"Howard Lake","","45.132957","-94.073601","Crow River Nursery","MN","1339 County Road 6 Southwest","","","farm","www.crowrivernursery.com","55349"
"Northfield","https://www.facebook.com/pages/Fireside-Orchard/142630532262","44.471100","-93.262322","Fireside Orchard and Gardens, Inc.","MN","2225 Lonsdale Blvd E.","baked-goods canned preserved coffee tea dairy products fresh-fruits fresh-vegetables honey juices ciders maple-products prepared-foods","","farm","http://www.firesideorchard.com","55057"
"Hastings","","44.761736","-92.816233","Fischers Croix Farm Orchard","MN","12971 St. Croix Trail  S.","fresh-fruits honey juices ciders maple-products","","farm","fischerscroixfarmorchard.com","55033"
"Hibbing"," Helstrom Farms - Home | Facebookwww.facebook.com › Places › Hibbing, Minnesota › Farm","47.297397","-92.831859","Helstrom Farms","MN","10955 South Townline Road","poultry fowl","","farm","www.helstromfarms.com","55746"
"Princeton ","","45.591976","-93.574450","J.Q. Fruit Farm and Orchard ","MN","8082 33rd Street ","canned preserved fresh-fruits juices ciders","","farm","Jqfruitfarm.com","55371"
"Lake Shore","www.facebook.com/jakeandscoutsberryfarm","46.5291316","-94.3783467","Jake and Scout's Berry Farm","MN","1822 County Road 29","cut-flowers fresh-fruits","","farm","www.jakeandscoutsberryfarm.com","56468"
"Little Falls","","46.0265527","-94.3117590","Januschka's Farm Fresh Meat","MN","16539 183rd Street","poultry fowl","","farm","","56345"
"Northfield","https://www.facebook.com/pages/Little-Hill-Berry-Farm/114731131926590","44.485908","-93.153468","Little Hill Berry Farm","MN","4339 320th St W","fresh-fruits","","farm","www.littlehillberryfarm.com","55057"
"Marine On St. Croix","https://www.facebook.com/LiveFlowersLLC","45.1770790","-92.8532770","Live Flowers LLC","MN","15677 May Avenue","cut-flowers","","farm","www.minnesotaliveflowers.com","55047"
"Deer River","https://www.facebook.com/livingfoodfarm/timeline?ref=page_internal","47.3912040","-93.7441390","Living Food Farm","MN","41587 Co. Rd. 19","","","farm","www.livingfoodfarm.com","56636"
"Frazee","https://www.facebook.com/MapleHillsOrchard","46.759858","-95.791331","Maple Hills Orchard, LLC","MN","29355 130 St","coffee tea crafts woodworking honey prepared-foods","","farm","http://www.maplehillsorchard.com/","56544"
"East Bethel","www.facebook.com/MinnesotaFreshFarm","45.334493","-93.235380","Minnesota Fresh Farm","MN","20241 Highway 65","bedding plants cut-flowers herbs fresh-fruits fresh-vegetables","","farm","www.minnesotafreshfarm.com","55011"
"Finland","","47.415494","-91.196107","Minnesota Syrup Co.","MN","5669 west park hill rd","honey maple-products","","farm","www.mnsyrup.com ","55603"
"Brainerd","www.facebook.com/pages/Nelson-Shine-Produce","46.1977690","-94.0961839","Nelson-Shine Produce","MN","2911 145th Avenue","bedding plants eggs herbs fresh-fruits fresh-vegetables poultry fowl red-meat non-poultry-meat","","farm","www.nelsonshineproduce.com","56401"
