	NAICS_Sector	NAICS_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	GEO_ID	estab	emp	payann	estimate
44	22	Electric power generation, transmission and distribution	10	2211	5	10005	Sussex County, Delaware	0500000US10005	5.545454545454546	347.90909090909093	32535.0	0.18181818181818182
45	22	Natural gas distribution	10	2212	1	10001	Kent County	0500000US10001	3.0	0.0	0.0	1.0
46	22	Natural gas distribution	10	2212	1	10001	Kent County, Delaware	0500000US10001	4.0	108.41666666666667	16469.75	0.6666666666666666
47	22	Natural gas distribution	10	2212	3	10003	New Castle County, Delaware	0500000US10003	2.0	0.0	2928.0	1.0
48	22	Water, sewage and other systems	10	2213	1	10001	Kent County	0500000US10001	3.0	113.0	8138.0	1.0
49	22	Water, sewage and other systems	10	2213	1	10001	Kent County, Delaware	0500000US10001	2.0	96.25	6507.0	1.0
50	22	Water, sewage and other systems	10	2213	3	10003	New Castle County	0500000US10003	6.0	326.0	23569.0	0.0
51	22	Water, sewage and other systems	10	2213	3	10003	New Castle County, Delaware	0500000US10003	8.5	353.3	30458.6	0.1
52	22	Water, sewage and other systems	10	2213	5	10005	Sussex County	0500000US10005	6.0	21.0	1257.0	0.0
53	22	Water, sewage and other systems	10	2213	5	10005	Sussex County, Delaware	0500000US10005	5.9	13.4	1051.7	0.1
54	23	Building equipment contractors	10	2382	1	10001	Kent County	0500000US10001	89.0	670.0	31392.0	0.0
55	23	Building equipment contractors	10	2382	1	10001	Kent County, Delaware	0500000US10001	98.9090909090909	732.7272727272727	39984.63636363636	0.18181818181818182
56	23	Building equipment contractors	10	2382	3	10003	New Castle County	0500000US10003	321.0	4245.0	255798.0	0.0
57	23	Building equipment contractors	10	2382	3	10003	New Castle County, Delaware	0500000US10003	328.45454545454544	5845.363636363636	376624.45454545453	0.18181818181818182
58	23	Building equipment contractors	10	2382	5	10005	Sussex County	0500000US10005	166.0	983.0	39924.0	0.0
59	23	Building equipment contractors	10	2382	5	10005	Sussex County, Delaware	0500000US10005	174.0909090909091	1517.090909090909	74427.72727272728	0.18181818181818182
60	23	Building finishing contractors	10	2383	1	10001	Kent County	0500000US10001	38.0	169.0	7284.0	0.0
61	23	Building finishing contractors	10	2383	1	10001	Kent County, Delaware	0500000US10001	47.45454545454545	258.3636363636364	12304.818181818182	0.18181818181818182
62	23	Building finishing contractors	10	2383	3	10003	New Castle County	0500000US10003	213.0	1706.0	77405.0	0.0
63	23	Building finishing contractors	10	2383	3	10003	New Castle County, Delaware	0500000US10003	235.8181818181818	1892.2727272727273	93730.90909090909	0.18181818181818182
64	23	Building finishing contractors	10	2383	5	10005	Sussex County	0500000US10005	86.0	377.0	14411.0	0.0
65	23	Building finishing contractors	10	2383	5	10005	Sussex County, Delaware	0500000US10005	96.27272727272727	494.90909090909093	23075.0	0.18181818181818182
66	23	Foundation, structure, and building exterior contractors	10	2381	1	10001	Kent County	0500000US10001	54.0	259.0	8070.0	0.0
67	23	Foundation, structure, and building exterior contractors	10	2381	1	10001	Kent County, Delaware	0500000US10001	48.27272727272727	320.6363636363636	16153.454545454546	0.18181818181818182
68	23	Foundation, structure, and building exterior contractors	10	2381	3	10003	New Castle County	0500000US10003	155.0	1313.0	73776.0	0.0
69	23	Foundation, structure, and building exterior contractors	10	2381	3	10003	New Castle County, Delaware	0500000US10003	160.72727272727272	1711.0	99270.90909090909	0.18181818181818182
70	23	Foundation, structure, and building exterior contractors	10	2381	5	10005	Sussex County	0500000US10005	77.0	345.0	11465.0	0.0
71	23	Foundation, structure, and building exterior contractors	10	2381	5	10005	Sussex County, Delaware	0500000US10005	73.45454545454545	440.8181818181818	18489.363636363636	0.18181818181818182
72	23	Highway, street, and bridge construction	10	2373	1	10001	Kent County	0500000US10001	6.0	297.0	15272.0	0.0
73	23	Highway, street, and bridge construction	10	2373	1	10001	Kent County, Delaware	0500000US10001	4.7272727272727275	259.3636363636364	15726.09090909091	0.18181818181818182
74	23	Highway, street, and bridge construction	10	2373	3	10003	New Castle County	0500000US10003	24.0	691.0	41416.0	0.0
