Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,80,375,210,9593,3592,1687,5223,5559,10823,509,4512,1183,8261,1168,5910,5193,47
2018,85,376,213,10150,3591,1750,5213,5792,11144,505,4550,1242,8418,1227,6062,5340,87
2019,83,380,208,10707,3566,1764,5231,5934,11399,470,4722,1254,8615,1292,6144,5421,82
2020,86,362,224,11121,3579,1810,5310,6323,11912,490,4888,1319,9069,1378,6093,5646,201
2021,82,350,235,12029,3592,1924,5407,6694,12540,496,5161,1352,9295,1456,6322,5905,81
