Year,N11,N21,N22,N23,N42,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N99
2017,7364,487247,196004,4420148,3286917,3610401,4427510,877342,5274228,2233219,3196315,1554553,6545497,437890,2053661,1868164,2850
2018,31308,534788,419225,4833495,3631505,3878086,4720844,987496,5742985,2522666,3343106,1659464,6729137,469780,2285118,1974783,2564
2019,33998,647654,447299,5328443,3767770,4317284,5203327,1045470,6223717,2902177,3608634,1869838,7172852,679593,2356148,2040899,4953
2020,37987,588129,468148,5762949,3926554,4791196,5870379,1177258,6868593,2925077,3712097,2028962,7403833,620400,2105151,2145783,4466
2021,38936,626114,471775,6281700,4392513,5412971,6473417,1402232,7651602,3411385,3979472,2175237,7814679,705315,2549649,2265250,4202
