"city","facebook","latitude","longitude","name","state","street","tags","twitter","type","website","zip"
"Acushnet","https://www.facebook.com/pages/Acushnet Farmers Market","41.7201499","-70.9008270","Acushnet Farmers Market","MA","186 leonard street","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey poultry fowl prepared-foods red-meat non-poultry-meat soap body-care wine spirits beer hard-cider","Acushnetfarmmarket@eventsonthefarm","farm","www.acushnetfarmersmarket.com","02743"
"Hancock","","42.570095","-73.302872","Appletree Hill Organic Farm","MA","3210 Hancock Rd / Rte 43","baked-goods bedding plants canned preserved crafts woodworking dairy products eggs herbs fresh-fruits fresh-vegetables honey maple-products soap body-care","","farm","","01237"
"South Amherst ","Atkins Farms Country Market","42.319161","-72.529185","Atkins Farms Country Market","MA","1150 West Street","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts poultry fowl prepared-foods red-meat non-poultry-meat tofu non-animal protein wine spirits beer hard-cider","","farm","www.atkinsfarms.com","01002"
"Groton","https://www.facebook.com/pages/Autumn-Hills-Orchard/67274499610","42.638662","-71.544073","Autumn Hills Orchard","MA","495 Chicopee Row","fresh-fruits maple-products","https://twitter.com/autumnhills","farm","www.autumnhillsorchard.com","1450"
"Nantucket","https://www.facebook.com/Bartlett'sFarm","41.256643","-70.133123","Bartlett's Ocean View Farm","MA","33 Bartlett Farm Road","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables honey juices ciders maple-products mushrooms nursery-stock nuts poultry fowl prepared-foods red-meat non-poultry-meat soap body-care wine spirits beer hard-cider","https://www.twitter.com/BartlettsFarm","farm","www.bartlettsfarm.com","02554"
"Ipswich","https://www.facebook.com/ChickenLittleFarm","42.673694","-70.833784","Chicken Little Farm","MA","15 Ward Street","eggs fresh-vegetables poultry fowl","","farm","http://chickenlittlefarm.webs.com/","01938"
"Truro","http://www.facebook.com/davesgreens","41.984403","-70.057508","Dave's Greens","MA","","bedding plants canned preserved cut-flowers eggs herbs fresh-vegetables honey nursery-stock wild-harvested forest-products","","farm","",""
"South Lancaster","https://www.facebook.com/GeorgeHillOrchards","42.449942","-71.700870","George Hill Orchards","MA","582 George Hill Road","baked-goods canned preserved coffee tea fresh-fruits juices ciders prepared-foods","","farm","www.yourfavoritefarm.com","01561"
"Chester","","42.29833","-72.934729","Jamesons High Meadow Farm","MA","410 Skyline Trail","","","farm","","1011"
"New Ashford","maureen jennings","42.6140437","-73.2488101","Jennings Brook Farm","MA","69 Beach Hill Road","bedding plants crafts woodworking eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products","","farm","","01237"
"North Easton","https://www.facebook.com/langwaterfarm/","42.0737109","-71.0884306","Langwater Farm","MA","209 Washington Street","canned preserved cut-flowers herbs fresh-fruits fresh-vegetables honey maple-products mushrooms","","farm","www.langwaterfarm.com","02356"
"Lexington","meadow mist farm lexington mass","42.445743","-71.230909","Meadow Mist Farm ","MA","142 Marrett Rd, 12 Bacon Street","canned preserved cut-flowers dry beans eggs herbs fresh-fruits fresh-vegetables honey poultry fowl red-meat non-poultry-meat","142 Marrett Rd","farm","meadow-mist.com","02421"
"North Attleboro","millers family farm","41.9509075","-71.3584082","Miller's Family Farm","MA","500 Allen Avenue","honey","","farm","www.millersfamilyfarm.net","02760"
"Woods Hole","https://www.facebook.com/pages/Nobska-Farms-Inc/365738883456610","41.5234110","-70.6599650","Nobska Farms, Inc.","MA","9 Nobska Rd","bedding plants canned preserved fresh-vegetables","https://twitter.com/NobskaFarms/","farm","http://nobskafarms.com/","02543"
"Whately","","42.427147","-72.590481","Nourse Farms","MA","41 River Road","fresh-fruits","","farm","www.noursefarms.com","01093"
"Ashburnham","","42.7010360","-71.9341540","Odd Pine Farm","MA","122 Ferin Road","","","farm","www.oddpinefarm.com","01430"
"Canton","https://www.facebook.com/PakeenFarm","42.200748","-71.137662","Pakeen Farm","MA","109 Elm Street","baked-goods fresh-fruits fresh-vegetables honey maple-products prepared-foods","","farm","http://www.pakeenfarm.com","02021"
"Westport","Paradise Hill Farm","41.561165","-71.065072","Paradise Hill Farm","MA","103 Cadmans /neck","baked-goods bedding plants canned preserved cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products nursery-stock soap body-care","Paradise Hill Farm","farm","","02790"
"Concord","https://www.facebook.com/peteandjen.backyardbirds","42.422589","-71.378431","Pete and Jen's Backyard Birds","MA","Wheeler Road, in Verrill Farm Horse Stable","canned preserved eggs herbs fresh-vegetables grains flour maple-products poultry fowl red-meat non-poultry-meat soap body-care","https://twitter.com/Backyardbirds;   @backyardbirds","farm","www.peteandjensbackyardbirds.com","01742"
"Marlborough","","42.3362604","-71.4932568","Spring Hill Farm","MA","1050 Broadmeadow Street","fish seafood fresh-vegetables","","farm","http://www.cgg-usa.com/springhillfarm.html","01752"
"Upton","","42.1713805","-71.6341376","Town Line Dairy Farm","MA","64 Williams Street","crafts woodworking dairy products eggs fresh-fruits fresh-vegetables maple-products red-meat non-poultry-meat","","farm","www.facebook.com/pages/Town-Line-Dairy-Farm/558566020827767","01568"
"Andover","https://www.facebook.com/andoverfarmersmarket/?view_public_for=153480551390115","42.653616","-71.143138","Andover Farmers Market","MA","41 Central Street","organic baked goods cheese crafts flowers eggs seafood herbs vegetables honey maple plants prepared-foods soap wine coffee beans fruits mushrooms","","market","http://andoverfarmersmarket.com/","01810"
